name,lon,lat
PAWIC,-160.055,70.687
PAWI10,-160.365,70.775
PAWI20,-160.72,70.88
PABRC,-156.87583,71.3128
PTBRC,-156.47,71.42
PTBR10,-156.47,71.555
PTBR20,-156.47,71.72
LNLAC,-153.24,70.94
LNLA10,-153.24,71.09
LNLA20,-153.24,71.25
NUQTC,-150.89,70.52
NUQT10,-150.89,70.65
NUQT20,-150.89,70.82
PABAC,-143.57694,70.18389
PABA10,-143.57694,70.315
PABA20,-143.57694,70.5
PAHPC,-166.21,61.495
PAHP10,-166.455,61.43
PAHP20,-166.755,61.35
PAOMC,-165.47,64.465
PAOM10,-165.576,64.34
PAOM20,-165.72,64.185
PAOT,-162.60624,66.88576
DEERC,-162.75,66.135
DEER10,-162.75,66.284
DEER20,-162.81,66.445
KTZSM,-163.72,66.85
PAOT,-162.60624,66.88576
PAOT10,-163.2,66.845
PAPO10,-167.275,68.34
PAPO20,-167.745,68.34
PAPOC,-166.93,68.34
ICYPC,-161.89,70.365
ICYPC10,-162.205,70.49
ICYPC20,-162.53,70.62
KIVAC,-164.625,67.705
KIVA10,-164.865,67.612
KIVAC20,-165.13,67.483
PPIZC,-166.28,68.915
PPIZ10,-166.535,69.0
PPIZ20,-166.84,69.13
PASCC,-148.531,70.44
PASC10,-148.531,70.6
PASC20,-148.531,70.75
PTTPC,-146.25,70.22
PTTP10,-146.25,70.38
PTTP20,-146.25,70.55
CMPTC,-144.845,70.02
CMPT10,-144.845,70.15
CMPT20,-144.845,70.315
DMPTC,-141.0,69.67
DMPT10,-141.0,69.77
DMPT20,-141.0,69.87
PASHC,-166.1385,66.273
PASH10,-166.345,66.375
PASH20,-166.656,66.525
BRSTC,-168.209,65.665
BRST10,-168.52,65.69
DIOM2,-168.819,65.734
PATCC,-168.163,65.606
PASNC,-170.332,57.12
PASN10,-170.12,57.42
PASN20,-170.12,57.584
PASGC,-169.537,56.64
PASG10,-169.537,56.77
PASG20,-169.537,56.94
PASAC,-170.48,63.73
PASA10,-170.43,63.86
PASA20,-170.36,64.02
PAGMC,-171.81,63.77
PAGM10,-172.11,63.76
PAGM20,-172.49,63.76
PATGC,-160.407,59.01
PATG10,-160.475,58.88
PATG20,-160.585,58.73
PATG40,-160.8,58.41
PAUNC,-160.875,63.88333
PAUN10,-161.18,63.88333
PAUN20,-161.56,63.88333
PTCRC,-166.98,65.242
PTCR10,-167.28,65.2
PTCR20,-167.66,65.15
NRTBC,-161.17,64.68
YKRDC,-164.7,63.11
YKRD10,-164.97,63.17
YKRD20,-165.35,63.24
PAMYC,-166.3,60.405
PAMY10,-166.44,60.52
PAMY20,-166.6,60.675
NUNVC,-167.54,60.22
NUNV10,-167.805,60.22
NUNV20,-168.135,60.22
MRSTC,-165.545,60.415
NECPC,-168.615,63.29
NECP10,-168.315,63.29
NECP20,-167.95,63.29
PADLC,-158.575,58.65
PADL20,-158.293,58.33
PAKNC,-157.835,58.5
PAENC,-162.21,58.64
PAEN10,-162.45,58.62
PAEN20,-162.795,58.565
PLPTC,-157.835,57.565
PLPT10,-158.03,57.645
PLPT20,-158.28,57.74
PAPHC,-158.745,57.0
PAPH10,-158.92,57.08
PAPH20,-159.152,57.19
NSLGC,-161.11,56.06
NSLG10,-161.21,56.17
NSLG20,-161.37,56.315
FLPSC,-163.5,55.11
FLPS10,-163.5,55.11
FLPS20,-163.825,55.35
STMNE,-172.51,60.57
STMSW,-173.075,60.27
STMSE,-171.99,60.18
STMNW,-173.375,60.775
STLISE,-169.635,62.88
STLISE10,-169.565,62.75
STLISE20,-169.465,62.588
STLISW,-171.81,63.35
STLISW10,-172.02,63.245
STLISW20,-172.3,63.135
NRTS1,-162.07,64.41
NRTS2,-162.1,64.41
NRTS3,-163.02,63.94
NRTS4,-164.75,63.75
NRTS6,-166.63,63.52
NRTS7,-163.32,63.4
NRTS8,-164.05,64.31
N77W140,-140.0,77.0
N77W145,-145.0,77.0
N77W150,-150.0,77.0
N77W155,-155.0,77.0
N77W160,-160.0,77.0
N77W165,-165.0,77.0
N77W170,-170.0,77.0
N76W140,-140.0,76.0
N76W145,-145.0,76.0
N76W150,-150.0,76.0
N76W155,-155.0,76.0
N76W160,-160.0,76.0
N76W165,-165.0,76.0
N76W170,-170.0,76.0
N75W1375,-137.5,75.0
N75W140,-140.0,75.0
N75W1425,-142.5,75.0
N75W145,-145.0,75.0
N75W1475,-147.5,75.0
N75W150,-150.0,75.0
N75W1525,-152.5,75.0
N75W155,-155.0,75.0
N75W1575,-157.5,75.0
N75W160,-160.0,75.0
N75W1625,-162.5,75.0
N75W165,-165.0,75.0
N75W1675,-167.5,75.0
N75W170,-170.0,75.0
N75W1725,-172.5,75.0
N74W1375,-137.5,74.0
N74W140,-140.0,74.0
N74W1425,-142.5,74.0
N74W145,-145.0,74.0
N74W1475,-147.5,74.0
N74W150,-150.0,74.0
N74W1525,-152.5,74.0
N74W155,-155.0,74.0
N74W1575,-157.5,74.0
N74W160,-160.0,74.0
N74W1625,-162.5,74.0
N74W165,-165.0,74.0
N74W1675,-167.5,74.0
N74W170,-170.0,74.0
N74W1725,-172.5,74.0
N73W1375,-137.5,73.0
N73W140,-140.0,73.0
N73W1425,-142.5,73.0
N73W145,-145.0,73.0
N73W1475,-147.5,73.0
N73W150,-150.0,73.0
N73W1525,-152.5,73.0
N73W155,-155.0,73.0
N73W1575,-157.5,73.0
N73W160,-160.0,73.0
N73W1625,-162.5,73.0
N73W165,-165.0,73.0
N73W1675,-167.5,73.0
N73W170,-170.0,73.0
N73W1725,-172.5,73.0
N72W1375,-137.5,72.0
N72W140,-140.0,72.0
N72W1425,-142.5,72.0
N72W145,-145.0,72.0
