,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.0017591144816064836,0.041941798740713104,0.03939698982254565,0.04613434116654247,0.04061908097258882,1.0
1,39 days,0.001598674449810631,0.03998342718940725,0.037696224232905355,0.04297648297989021,0.038787274562860546,1.0
2,46 days,0.0013912538696067283,0.037299515675229995,0.03559725422332569,0.04297648297989021,0.036571009643989585,1.0
3,53 days,0.0016216038142337918,0.04026914220881532,0.03964912429149867,0.04297648297989021,0.0406728806064324,1.0
4,60 days,0.0018637247663164944,0.04317087868362763,0.043098041647123546,0.04396195125661513,0.044178574395395534,1.0
5,67 days,0.0017961538900415229,0.0423810557919635,0.042334087931866334,0.04297648297989021,0.04346505645852238,1.0
6,74 days,0.0016566521052587225,0.04070199141637572,0.04051626323445561,0.04272349768878649,0.04169508989223784,1.0
7,81 days,0.0013258395656383488,0.03641207994111774,0.035126276392766775,0.03884336607079268,0.03625734587286936,1.0
8,88 days,0.0015791453990825306,0.03973846246500398,0.03790912668136508,0.04272349768878649,0.039117661689316977,1.0
9,95 days,0.0012500201638837877,0.035355624218556626,0.03242698637395558,0.03446604972411889,0.033622277808816006,1.0
10,102 days,0.0011646493971458375,0.03412695997515509,0.03134965028905719,0.03446604972411889,0.03296746602545645,1.0
11,109 days,0.001243774162769586,0.035267182518165324,0.03243256465072399,0.041077278067298294,0.03434111033359299,1.0
12,116 days,0.003062653770830946,0.055341248367117145,0.04837111926130982,0.04121416409143149,0.051245029780832424,1.0
13,123 days,0.005204523579928384,0.07214238407433167,0.06108278119607167,0.04121416409143149,0.06552244974292493,1.0
14,130 days,0.00784040424100346,0.08854605717367353,0.08101121135633031,0.09751847500943761,0.08848358053303723,1.0
15,137 days,0.011611215157235268,0.10775534862472148,0.10206344141888636,0.11791399662456963,0.1150612416100881,1.0
16,144 days,0.02521811204341162,0.15880211599160643,0.14696921689343714,0.12407264460804461,0.17142709644691512,0.8
17,151 days,0.03324188498903119,0.1823235722254015,0.1720895957604681,0.15945583297649668,0.21091922333414195,0.6000000000000001
18,158 days,0.030848155505261605,0.17563642989215422,0.15661381536572344,0.15945583297649668,0.19828973241383713,0.6000000000000001
19,165 days,0.038306578043622905,0.19572066330263369,0.1784728893720944,0.2608527534428976,0.27055443073509045,0.4
20,172 days,0.044478778398579714,0.2108999250795972,0.19523628686726557,0.2786577031072316,0.34429576417408997,0.2
21,179 days,0.034094705093060534,0.18464751580527838,0.16905602817693385,0.3733748989650195,0.34246943287822557,0.4
22,186 days,0.02744872057323601,0.16567655408426388,0.1500728705938757,0.4393218030375094,0.3545138707455822,0.6000000000000001
23,193 days,0.028506022655179434,0.16883726678426014,0.1588115879336479,0.4393218030375094,0.3971036246258297,0.6000000000000001
24,200 days,0.020683695811364537,0.1438182735655123,0.13532633383800852,0.4393218030375094,0.39760431047285605,0.8
25,207 days,0.013916534967972008,0.11796836426759509,0.11638758878192026,0.4393218030375094,0.45731278702809464,1.0
26,214 days,0.015570944752726548,0.12478359168066348,0.12201706162500534,0.659761308205372,0.7722584584778871,1.0
27,221 days,0.0163734417410066,0.1279587501541282,0.12498881086075578,1.449820442089005,1.0978260093014254,1.0
28,228 days,0.017281744737766877,0.13146004996867633,0.12980112234428243,34.154798236902266,1.442805468243012,1.0
29,235 days,0.016489218416538963,0.1284103516720477,0.12574446593221436,332.3841382081775,1.74358433796038,1.0
30,242 days,0.016196279927832985,0.12726460595088088,0.12460428906178006,inf,1.9754804651441957,1.0
31,249 days,0.01610601266421549,0.12690946640899367,0.12432275223257291,inf,1.9976075420195263,1.0
32,256 days,0.014750945344327223,0.12145346987355785,0.1190850075165137,inf,2.0,1.0
33,263 days,0.014413746661796756,0.1200572640942511,0.1174366414023275,inf,2.0,1.0
34,270 days,0.01429492355534561,0.11956137986551348,0.11674427698602449,inf,2.0,1.0
35,277 days,0.01211588591509192,0.11007218502006727,0.10559774437049915,inf,2.0,1.0
36,284 days,0.0077397255688606385,0.08797571010716901,0.08566592729209581,inf,1.9853090035662362,1.0
37,291 days,0.006368961080482265,0.07980577097229413,0.07873897312210704,inf,1.8726595773017265,1.0
38,298 days,0.004485121024647348,0.06697104616658865,0.06204964969298025,52.45512178883844,1.4906913443822525,1.0
39,305 days,0.010490493383291949,0.10242310961541809,0.08375459482004699,5.10167842418955,1.1954937592000014,0.8
40,312 days,0.03775988391523313,0.19431902612773957,0.14494000179062566,0.461839994554835,0.9155956973390501,0.6000000000000001
41,319 days,0.046190418753708426,0.21491956345039515,0.17572713211719052,0.4152215272408562,0.5886976317691293,0.4
42,326 days,0.04709676344903988,0.21701788739419586,0.18056273156437663,0.2548409435936489,0.3266303517995446,0.4
43,333 days,0.04728390808232232,0.21744863320407953,0.18440868683416353,0.2548409435936489,0.31639202973299835,0.4
44,340 days,0.0399019756116641,0.1997547887077156,0.1486188165024348,0.11890094972704351,0.2145543159698275,0.6000000000000001
45,347 days,0.011661640597148488,0.10798907628620817,0.07452195693421593,0.03974153371433275,0.0955838583893183,0.8
46,354 days,0.002514462826604894,0.050144419695564275,0.032397276594209545,0.014934193823333854,0.03786573355294452,1.0
47,361 days,0.0003341372376864677,0.01827942115293774,0.014659985232376705,0.014934193823333854,0.016200412284720172,1.0
