,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.0818972447411837,0.286176946557866,0.27494865223194076,0.3098039823612602,0.34707746761262503,0.2
1,39 days,0.07724978894631265,0.2779384625169979,0.2683253768572812,0.3098039823612602,0.3365296142230606,0.2
2,46 days,0.08344011603623654,0.2888600284501761,0.27837138583558313,0.3296709868009058,0.34471411389430096,0.2
3,53 days,0.10064211180432014,0.31724140934676254,0.31606662259942897,0.33485856838946976,0.3878193961568208,0.0
4,60 days,0.11193606242531852,0.3345684719535278,0.3344008345479542,0.33574392770522055,0.4088818403756701,0.0
5,67 days,0.11330612767360299,0.33660975576118257,0.33645555294807117,0.3385336611006563,0.41299295982001544,0.0
6,74 days,0.10175551235166436,0.31899139855435654,0.31607146444719003,0.3385336611006563,0.39188686604432527,0.0
7,81 days,0.08055782921289405,0.28382711148319506,0.26363158415470017,0.33574392770522055,0.3301638968039078,0.2
8,88 days,0.07256231866554977,0.269373938356237,0.24973443141951995,0.2704246670614651,0.31200992676912376,0.2
9,95 days,0.04861103288083639,0.22047909851239048,0.19372444587118992,0.2583463493395594,0.2456636991602522,0.4
10,102 days,0.03511455755970594,0.1873887871771039,0.16943300330548083,0.2500446548810233,0.21975954525935593,0.4
11,109 days,0.031408801294814014,0.1772252840167396,0.16062411406759133,0.22728231562910733,0.21171046117579165,0.4
12,116 days,0.043129222698393616,0.20767576338704913,0.19687720932337555,0.2500446548810233,0.2583702028080813,0.2
13,123 days,0.04634440760851715,0.21527751301173365,0.20287737344666368,0.2500446548810233,0.27041241814509853,0.2
14,130 days,0.05275970890611231,0.22969481688996013,0.22686058037603757,0.2500446548810233,0.30657689548545763,0.0
15,137 days,0.0448297579317217,0.21173038972174424,0.20073333820796696,0.249894211675899,0.2795592434197125,0.2
16,144 days,0.0412328998638796,0.20305885812709476,0.18951179734679077,0.249894211675899,0.2781894796752755,0.4
17,151 days,0.03690840246643541,0.19211559662462444,0.18005467728231045,0.249894211675899,0.29509296361357484,0.4
18,158 days,0.02510145349919051,0.158434382313911,0.152460609805145,0.249894211675899,0.29812448139373665,0.4
19,165 days,0.017607266720402227,0.13269237627084016,0.11513681903180674,0.2218852831258041,0.24785539405159243,0.6000000000000001
20,172 days,0.01621513346835507,0.12733865661438035,0.10236981918848469,0.23900736622011487,0.2604173321066996,0.6000000000000001
21,179 days,0.013339928008452975,0.11549860608878783,0.08707008508586879,0.3250108000162447,0.610502603654114,0.6000000000000001
22,186 days,0.005833628470681395,0.07637819368564168,0.05947446488198119,0.3250108000162447,0.9271599651992655,0.8
23,193 days,0.002302794382701873,0.047987439843170145,0.0420726844573655,inf,1.2495449453485352,1.0
24,200 days,0.002908863817645415,0.05393388376193036,0.05175625725713921,inf,1.6426988083783944,1.0
25,207 days,0.003355838692124365,0.057929601173531006,0.05771564587518066,inf,2.0,1.0
26,214 days,0.003369414523373146,0.05804665815852921,0.05783682358895437,inf,2.0,1.0
27,221 days,0.0028321542186888287,0.053217987736185864,0.052930337043084266,inf,2.0,1.0
28,228 days,0.0022651288727549073,0.04759337005040626,0.04591325437571203,inf,2.0,1.0
29,235 days,0.0016663757631934278,0.0408212660655378,0.03667579654938631,inf,2.0,1.0
30,242 days,0.0011201436015677547,0.033468546451373635,0.02696050977975708,inf,2.0,1.0
31,249 days,0.0004862445083038616,0.022050952548673754,0.01600334462955684,inf,2.0,1.0
32,256 days,0.0001256970976914758,0.011211471700516208,0.007798824264125216,inf,2.0,1.0
33,263 days,4.4697053845000055e-05,0.006685585527461305,0.005395616605822929,inf,2.0,1.0
34,270 days,8.846787340783635e-05,0.009405736197014902,0.007029002734285559,inf,2.0,1.0
35,277 days,0.00012504556675816224,0.01118237750919554,0.009075010512797976,inf,2.0,1.0
36,284 days,0.00012504380050619874,0.011182298534120736,0.009074434015413822,inf,2.0,1.0
37,291 days,0.00025784892012037906,0.01605767480429153,0.013944214747257658,inf,2.0,1.0
38,298 days,0.0010107392221020384,0.03179212515863069,0.024236547696830736,inf,2.0,1.0
39,305 days,0.0029201995694158925,0.05403887091174179,0.04059248165841493,inf,2.0,1.0
40,312 days,0.008783583380198766,0.09372077347204709,0.07214124633133841,inf,2.0,0.8
41,319 days,0.021506864235525273,0.14665218796705787,0.1222806719594284,inf,2.0,0.6000000000000001
42,326 days,0.04527653683961793,0.21278283962673758,0.18626039962625912,inf,2.0,0.4
43,333 days,0.08266311228048427,0.2875119341531483,0.2611639102893626,inf,2.0,0.2
44,340 days,0.08531752130038114,0.292091631684958,0.2717253208834291,inf,1.669659609754485,0.2
45,347 days,0.1083275346642232,0.3291314853735862,0.31340906906659827,inf,1.3709302276102533,0.2
46,354 days,0.1052383716469075,0.32440464183933543,0.30686022095871435,0.42174442975448945,1.0341844035973886,0.2
47,361 days,0.08835892546569488,0.2972522926163815,0.2751976926827566,0.4040556707231824,0.6891609878568451,0.2
