,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.06165105943892942,0.2482963137844165,0.24775751889311848,0.30829411259411676,0.35832052635250444,0.0
1,39 days,0.06117461334950214,0.24733502248873315,0.24668380777584573,0.29186456930132854,0.34066453532179136,0.0
2,46 days,0.06919548800820896,0.26305035260993087,0.26062018283398114,0.29186456930132854,0.3451387514945278,0.0
3,53 days,0.07617291353125744,0.2759944085144796,0.27362173668265755,0.30829411259411676,0.3554989286900198,0.0
4,60 days,0.08499160993348087,0.29153320554180595,0.28793722470261773,0.3288320284117806,0.370216930400981,0.0
5,67 days,0.08907114407037027,0.2984478917170806,0.2954362292960353,0.3288320284117806,0.3792912513416361,0.0
6,74 days,0.09687049335329563,0.31124025021403584,0.3106039329691678,0.3288320284117806,0.3958623468793615,0.0
7,81 days,0.09399431334186803,0.30658492027800066,0.30598059567605984,0.3174504862949169,0.3904895902564576,0.0
8,88 days,0.09595344877150719,0.3097635368656343,0.30915312379681115,0.3174504862949169,0.39284488115973126,0.0
9,95 days,0.08744195937651089,0.2957058663207595,0.2953989964718804,0.3148619787652273,0.37964455340053577,0.0
10,102 days,0.09811060645949286,0.31322612671916894,0.3115129544200246,0.3174504862949169,0.40039015645525494,0.0
11,109 days,0.11025697290888765,0.33204965428213845,0.32939018259836156,0.3370140993135821,0.42626464420431087,0.0
12,116 days,0.12428618095786817,0.35254245270303003,0.34945215437059507,0.3854176230970894,0.4600590143467569,0.0
13,123 days,0.14512939988399556,0.3809585277743439,0.3765590017999694,0.3994751525354613,0.5147379868969462,0.0
14,130 days,0.17808640547049873,0.422002850073905,0.41961957291760654,0.4291033428000928,0.613594838553605,0.0
15,137 days,0.1640145978138105,0.4049871575912136,0.39732480489274724,0.5067421880993533,0.6737398502133277,0.0
16,144 days,0.14314529020967676,0.37834546410612185,0.36211977095956505,0.5601907992637912,0.7538049130907029,0.0
17,151 days,0.11143739177090999,0.3338223955502536,0.28937585949220523,0.5601907992637912,0.7152204376807463,0.2
18,158 days,0.07064756175090668,0.2657960905485758,0.2036790049482929,0.6044969247069394,0.6917523055395601,0.4
19,165 days,0.022639550099248344,0.15046444795780944,0.10954552926239547,0.6204544232161412,0.7811183378996922,0.6000000000000001
20,172 days,0.00914530735944051,0.09563110037765178,0.058990487253271134,0.7804157676550997,1.0254891617623674,0.8
21,179 days,0.00046052623285954057,0.02145987494976475,0.017332867508089447,3.823942140980867,1.2455880599335725,1.0
22,186 days,0.0002007221656084899,0.014167645026908668,0.01045714388000922,inf,1.5749092452770874,1.0
23,193 days,9.162666588859484e-05,0.009572181877116358,0.006566581760797687,inf,1.8626359979831009,1.0
24,200 days,4.9621825371734925e-05,0.007044276071516144,0.005292157331707069,inf,2.0,1.0
25,207 days,7.255172982255493e-05,0.008517730321074678,0.006444060490826818,inf,2.0,1.0
26,214 days,0.00014702754790841177,0.012125491656358177,0.010284342026019043,inf,2.0,1.0
27,221 days,0.0002781711756877581,0.016678464428350654,0.015076352658811095,inf,2.0,1.0
28,228 days,0.0003552841679010611,0.01884898320602629,0.018237499915072748,inf,2.0,1.0
29,235 days,0.00032281814794200023,0.017967140783719603,0.016337587773989533,inf,2.0,1.0
30,242 days,0.0003200493634814193,0.017889923518042757,0.01622734082101721,inf,2.0,1.0
31,249 days,0.0002476775141185599,0.015737773480342127,0.013016837806357318,inf,2.0,1.0
32,256 days,0.00011610185200032407,0.010775056937219593,0.008056384426044144,inf,2.0,1.0
33,263 days,3.635028393328012e-05,0.0060291196648665155,0.004494522907994633,inf,2.0,1.0
34,270 days,3.685730675443724e-05,0.006071021887165062,0.004558628858740807,inf,2.0,1.0
35,277 days,6.713559446087195e-06,0.0025910537327672686,0.0021711193587590077,inf,2.0,1.0
36,284 days,4.609426661400204e-06,0.0021469575360030303,0.0015404660326245262,inf,2.0,1.0
37,291 days,9.128458054340012e-06,0.0030213338204078035,0.0023343686988196773,inf,2.0,1.0
38,298 days,8.602269780836934e-05,0.009274842198569706,0.00582451217243483,inf,2.0,1.0
39,305 days,0.0001447189981746336,0.012029920954629486,0.008525255700371409,inf,2.0,1.0
40,312 days,0.00014700193597605421,0.012124435491026138,0.009135656859416193,inf,2.0,1.0
41,319 days,0.00015111390607613158,0.012292839626226789,0.010024384575521777,inf,2.0,1.0
42,326 days,0.00015188325191477746,0.012324092336345807,0.010100977177763096,inf,2.0,1.0
43,333 days,8.803214714709841e-05,0.00938254481188864,0.007831559384085455,inf,2.0,1.0
44,340 days,0.0007479852009600616,0.0273493181077712,0.016324801473001988,inf,2.0,1.0
45,347 days,0.0051961951944083954,0.0720846391016033,0.04548019414030745,inf,2.0,0.8
46,354 days,0.01817541038134105,0.134816209638682,0.09553063955491187,inf,1.999551949239915,0.6000000000000001
47,361 days,0.044902844918284446,0.2119029138975782,0.16760815086473624,inf,1.997685123452392,0.4
