,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.0020683256136894692,0.045478847981116115,0.04272711912288496,0.03731171059450755,0.044058486131669815,1.0
1,39 days,0.0016027721671594997,0.0400346370928912,0.03784323750464056,0.035488020537745676,0.03890209671975341,1.0
2,46 days,0.0011367486870790724,0.03371570386450611,0.033184731929050006,0.035488020537745676,0.03401089936197412,1.0
3,53 days,0.001337826803556611,0.03657631478917212,0.03651614797000942,0.03731171059450755,0.037328563899878334,1.0
4,60 days,0.0014730483929232105,0.038380312569378724,0.0383215101460163,0.038427190884634914,0.039143297344002626,1.0
5,67 days,0.0015067941865837139,0.03881744693541441,0.03876079498816732,0.038673358355482454,0.039634166316375036,1.0
6,74 days,0.0014261539269386152,0.03776445321911354,0.03751385167632519,0.038673358355482454,0.03841870878773787,1.0
7,81 days,0.0011640727063012945,0.034118509731541534,0.032385188961658366,0.038673358355482454,0.033221059431625496,1.0
8,88 days,0.001226634454600235,0.035023341568163294,0.033158676628651,0.03967249082684089,0.033992338136416195,1.0
9,95 days,0.000928096997766705,0.03046468443569874,0.0280415997832967,0.029606936946186522,0.028829284097477387,1.0
10,102 days,0.0007497914589661565,0.027382320189606953,0.025314390748110083,0.027192886403979,0.026247751896053516,1.0
11,109 days,0.0015012205914428246,0.03874558802551362,0.03305144079213236,0.027192886403979,0.034859653898648355,1.0
12,116 days,0.00519896437633783,0.07210384439360935,0.05781919108126843,0.04237505454273316,0.061599678984963685,1.0
13,123 days,0.009681223940709872,0.09839321084663247,0.0804613413988747,0.0705329398546736,0.08744764946214063,1.0
14,130 days,0.017458147622065927,0.13212928374159125,0.11675990133802712,0.13684141310662815,0.12929662575318918,0.8
15,137 days,0.03006931544371784,0.17340506175921694,0.16207318652095695,0.1588304806923613,0.18415995652580586,0.6000000000000001
16,144 days,0.050623965784955836,0.22499770173260844,0.21403159307208017,0.20336157505389876,0.251009483702377,0.4
17,151 days,0.06545395274326464,0.25583970126480493,0.24764445461110152,0.2622932480049814,0.3050138174944383,0.2
18,158 days,0.06155635065815095,0.2481055232318518,0.23026619092993583,0.2622932480049814,0.2949502843852444,0.2
19,165 days,0.054960612765596564,0.23443679908580173,0.20640720389485112,0.2622932480049814,0.2863550456814453,0.4
20,172 days,0.05694019270725918,0.2386214422621303,0.21018665617063792,0.3384280962211454,0.4522697627010104,0.4
21,179 days,0.04790278497896695,0.21886704863676248,0.19452630488868514,0.34499664315496487,0.6891114857948218,0.4
22,186 days,0.03435025626437051,0.18533822127227428,0.16524672084339098,2.6054189218737998,0.8470919092519912,0.6000000000000001
23,193 days,0.03496102816939772,0.1869786837299849,0.16914051131688523,2.6054189218737998,0.9322104161539565,0.6000000000000001
24,200 days,0.03696917994829661,0.19227371101712426,0.17889290549474543,3.0429638078435097,1.188413029851152,0.6000000000000001
25,207 days,0.025232622706056224,0.15884779729683451,0.14907186851547113,5.468496316312451,1.3195155539490868,0.8
26,214 days,0.015820843180380885,0.12578093329428305,0.1238006312316413,5.468496316312451,1.400275320463166,1.0
27,221 days,0.012950815324395123,0.11380164904075478,0.11283026494746429,16.776748238928278,1.5589121916530269,1.0
28,228 days,0.011988254704014458,0.1094908886803576,0.10607873324074339,861.2600174253391,1.8493507850681052,1.0
29,235 days,0.009068058211666426,0.09522635250636467,0.08864594990698002,inf,1.9564673941039386,1.0
30,242 days,0.006421918253554071,0.08013687199756471,0.07246933653304334,inf,1.9990732803745668,1.0
31,249 days,0.004132753783075975,0.06428649767311931,0.06001479712740368,inf,2.0,1.0
32,256 days,0.002672459591879696,0.05169583727806037,0.05097694199245872,inf,2.0,1.0
33,263 days,0.0031588718985258923,0.05620384238222412,0.05478190239037351,inf,2.0,1.0
34,270 days,0.0037309159013475725,0.0610812238036172,0.06012495581314773,inf,2.0,1.0
35,277 days,0.0047265584520491885,0.06874997056035143,0.0682112822679527,inf,2.0,1.0
36,284 days,0.004855841173854599,0.06968386595083971,0.06923220249202991,inf,2.0,1.0
37,291 days,0.005512648599164461,0.07424721273667087,0.07392818140891719,inf,1.9972208244765035,1.0
38,298 days,0.0065372192696287875,0.0808530721100243,0.07975050584192916,inf,1.8509046304917978,1.0
39,305 days,0.01762766375606273,0.13276921238021536,0.11533239978761313,285.855154608411,1.5873802100840244,0.8
40,312 days,0.046519629295005326,0.21568409606414035,0.17673199468051787,3.4676107832850227,1.3162887587445078,0.6000000000000001
41,319 days,0.056922412048107336,0.23858418230911146,0.2110356074659817,0.5087858041775588,0.9810583097679088,0.4
42,326 days,0.060377828523252734,0.24571900317894166,0.22565101531064335,0.48745118220137634,0.619716330385585,0.4
43,333 days,0.05828799095509638,0.24142905988115096,0.20676388366086548,0.2787168431356208,0.36786440226210637,0.4
44,340 days,0.046304530778538,0.21518487581272527,0.1584070161367358,0.16462760465664442,0.2320413201794549,0.6000000000000001
45,347 days,0.016144971648884794,0.1270628649483585,0.08439251283385907,0.01969499176921867,0.10711094491900025,0.8
46,354 days,0.005264470910169936,0.07255667378105157,0.04574717311503651,0.01969499176921867,0.051614010014748316,1.0
47,361 days,0.0007412712532428074,0.027226297090181165,0.022095260296650897,0.01969499176921867,0.02343787195623814,1.0
