,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,2.6419838273230196e-140,1.625418046941469e-70,1.6053504250028227e-70,inf,2.0,1.0
1,39 days,3.277496546928138e-140,1.810385745339412e-70,1.7923043229101904e-70,inf,2.0,1.0
2,46 days,3.843415444832484e-140,1.960463068979491e-70,1.9459178208562618e-70,inf,2.0,1.0
3,53 days,3.6734693090678486e-08,0.0001916629674472314,8.571428479626776e-05,inf,2.0,1.0
4,60 days,2.3673471208965947e-07,0.00048655391488473245,0.000285714294295758,inf,2.0,1.0
5,67 days,2.5877550698930823e-06,0.0016086500768946249,0.0009714285726659,1.0,2.0,1.0
6,74 days,9.11836717490259e-06,0.0030196634207975215,0.0021142857032828036,1.0,2.0,1.0
7,81 days,9.706122264353445e-06,0.0031154650157486034,0.002457142842467875,1.0,2.0,1.0
8,88 days,9.685714104851443e-06,0.0031121879931732023,0.002428571420023218,1.0,2.0,1.0
9,95 days,1.0175509946204118e-05,0.0031899075137383085,0.002599999966332689,1.0,2.0,1.0
10,102 days,7.824489588400692e-06,0.0027972289124061143,0.0019142856879625471,1.0,2.0,1.0
11,109 days,1.2938774833911854e-06,0.001137487355266504,0.0007714285573456437,1.0,2.0,1.0
12,116 days,7.061223939403297e-07,0.0008403108912422412,0.00042857141816057267,inf,2.0,1.0
13,123 days,6.897958603516537e-07,0.0008305394995734121,0.0003714285558089614,inf,2.0,1.0
14,130 days,3.884890790655904e-140,1.9710126307702608e-70,1.926260860554288e-70,inf,2.0,1.0
15,137 days,2.8126480095492e-140,1.67709511046607e-70,1.6178720631996995e-70,inf,2.0,1.0
16,144 days,1.8789110303866082e-140,1.3707337562001631e-70,1.3104017190045061e-70,inf,2.0,1.0
17,151 days,1.2141317624055909e-140,1.101876473297071e-70,1.0169678193223754e-70,inf,2.0,1.0
18,158 days,7.4872464601875e-141,8.652887645282065e-71,7.568597499307436e-71,inf,2.0,1.0
19,165 days,3.454532747936001e-141,5.877527326976882e-71,4.922192780704226e-71,inf,2.0,1.0
20,172 days,2.2670917860254185e-141,4.761398729391836e-71,4.157365596803804e-71,inf,2.0,1.0
21,179 days,2.2879403420952723e-141,4.78324193627635e-71,4.171205545423225e-71,inf,2.0,1.0
22,186 days,4.0525972292481033e-141,6.366001279648083e-71,5.414101383655119e-71,inf,2.0,1.0
23,193 days,7.740272600470914e-141,8.797881904453431e-71,7.684745829442666e-71,inf,2.0,1.0
24,200 days,1.3894039105155046e-140,1.1787297868958367e-70,1.0998044378007511e-70,inf,2.0,1.0
25,207 days,2.1807720203586885e-140,1.4767437219635263e-70,1.3974776078444914e-70,inf,2.0,1.0
26,214 days,2.906079646988806e-140,1.7047227478357897e-70,1.655978117775842e-70,inf,2.0,1.0
27,221 days,3.519379444097578e-140,1.87600091793623e-70,1.857226122933207e-70,inf,2.0,1.0
28,228 days,3.7359469088331628e-140,1.9328597747465188e-70,1.9269109878657902e-70,inf,2.0,1.0
29,235 days,3.835935489894838e-140,1.958554438838716e-70,1.95429851657219e-70,inf,2.0,1.0
30,242 days,3.7022147114570105e-140,1.9241140068761546e-70,1.920690529931543e-70,inf,2.0,1.0
31,249 days,3.098593784571103e-140,1.7602823025217014e-70,1.728202584435038e-70,inf,2.0,1.0
32,256 days,2.469898415007813e-140,1.5715910457265316e-70,1.519267584107274e-70,inf,2.0,1.0
33,263 days,2.0589868894214368e-140,1.4349170322431318e-70,1.3667071343395198e-70,inf,2.0,1.0
34,270 days,1.4629005414446584e-140,1.2095042544136248e-70,1.1436763116575117e-70,inf,2.0,1.0
35,277 days,8.061805947729911e-141,8.978756009453599e-71,8.804009989500972e-71,inf,2.0,1.0
36,284 days,6.058712111632146e-141,7.783772935814704e-71,7.477729761818853e-71,inf,2.0,1.0
37,291 days,4.267696798842845e-141,6.532761130519655e-71,6.039407725181808e-71,inf,2.0,1.0
38,298 days,2.4371745170493237e-141,4.936774774130702e-71,4.3662539386526936e-71,inf,2.0,1.0
39,305 days,1.2242576884281408e-141,3.498939394199535e-71,2.8101428167718317e-71,inf,2.0,1.0
40,312 days,5.90795895702081e-142,2.4306293335308885e-71,1.979759311818463e-71,inf,2.0,1.0
41,319 days,6.736563826025178e-142,2.595489130400121e-71,2.0724925341673564e-71,inf,2.0,1.0
42,326 days,1.6472110133212454e-141,4.058584745106655e-71,3.0376959342181582e-71,inf,2.0,1.0
43,333 days,3.3458920776814106e-141,5.7843686584461495e-71,4.641308119151283e-71,inf,2.0,1.0
44,340 days,5.903084214858693e-141,7.683153138431314e-71,6.9014106947582576e-71,inf,2.0,1.0
45,347 days,9.872880832129941e-141,9.93623713089112e-71,9.392843335748474e-71,inf,2.0,1.0
46,354 days,1.448635363855834e-140,1.2035926901804589e-70,1.1632620242835556e-70,inf,2.0,1.0
47,361 days,1.9230643519762906e-140,1.3867459579808735e-70,1.3563707290958399e-70,inf,2.0,1.0
