,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.04793283404705217,0.21893568472739242,0.19880230040691335,0.1920645066006953,0.2608925283477172,0.6000000000000001
1,39 days,0.05430500401795382,0.2330343408554924,0.2085901854505764,0.1920645066006953,0.26785639096685737,0.6000000000000001
2,46 days,0.07191928844916523,0.26817771803258605,0.25162363888151706,0.3225112155946274,0.31869952640640725,0.4
3,53 days,0.09388748092737122,0.3064106410152415,0.2978238081140077,0.331768626635003,0.37224902966801704,0.2
4,60 days,0.11479062386571298,0.33880765024673365,0.33821650699757944,0.3508348447722843,0.4180801952862704,0.0
5,67 days,0.11759705656050422,0.34292427234085404,0.3425127174065399,0.3508348447722843,0.4232697669673493,0.0
6,74 days,0.10972985685343753,0.33125497257163933,0.33018832248181834,0.34056883088834267,0.40944220352634497,0.0
7,81 days,0.10818007806434202,0.32890740044021816,0.3276552508509115,0.34056883088834267,0.4037383735734178,0.0
8,88 days,0.10336954874164948,0.3215113508752832,0.3204821617891507,0.3313985403692312,0.3949734840689983,0.0
9,95 days,0.08157470335179291,0.28561285571870343,0.27712411795000785,0.3116876109980485,0.3491208892446653,0.2
10,102 days,0.09557834818741665,0.3091574812088762,0.2954030138699909,0.3116876109980485,0.37915425898379973,0.2
11,109 days,0.11600099323070501,0.34058918542828837,0.32381573293809995,0.3313985403692312,0.42762808124457996,0.2
12,116 days,0.14929995568574975,0.3863935243838201,0.36514093235947476,0.4378852778356758,0.4929772919828048,0.2
13,123 days,0.1789387045277918,0.42301147091750574,0.4014490902378495,0.4607693937223081,0.5541114599443728,0.2
14,130 days,0.19999699936096707,0.44721024067094783,0.44377599234611054,0.4607693937223081,0.625337470403425,0.0
15,137 days,0.1632927327452603,0.4040949551098854,0.36153066868338934,0.4607693937223081,0.5219015612713958,0.2
16,144 days,0.12808224861447906,0.357885803873916,0.2946424323697627,0.4426654985905243,0.4639737957100738,0.4
17,151 days,0.0768730649671859,0.2772599231176152,0.1961938334859148,0.36555109023562044,0.33442542884535875,0.6000000000000001
18,158 days,0.03067761321166148,0.17515025895402347,0.123204020856194,0.36555109023562044,0.34524399620994184,0.8
19,165 days,0.008388786836668428,0.09159032064944651,0.07618824997855703,0.36555109023562044,0.40117509804063933,1.0
20,172 days,0.011416736026483663,0.10684912740160148,0.0975402325480291,1.2179712245417174,0.6487437975614032,1.0
21,179 days,0.012597584317272648,0.11223896078132872,0.10293384455096846,1.4726645448634699,0.9796309367746133,1.0
22,186 days,0.014209415975066118,0.11920325488452956,0.11831230939636349,3.5655685299928757,1.3699841357125044,1.0
23,193 days,0.011437006284631141,0.10694393991541148,0.10430403545251103,107.58241526315125,1.6185879746464376,1.0
24,200 days,0.009449101181874968,0.0972064873445953,0.09358025343456866,inf,1.8489586279775534,1.0
25,207 days,0.008451166330651197,0.09193022533775927,0.08917525613799517,inf,1.99269955861003,1.0
26,214 days,0.008042543892822444,0.08968023133791775,0.08745323656550082,inf,2.0,1.0
27,221 days,0.007718950444387302,0.08785755769646286,0.08557530345950383,inf,2.0,1.0
28,228 days,0.007335167300875696,0.08564559125183091,0.08210234582745383,inf,2.0,1.0
29,235 days,0.006553006508752289,0.08095064242334515,0.07306941957811741,inf,2.0,1.0
30,242 days,0.004552517900208592,0.0674723491528833,0.056882405942043475,inf,2.0,1.0
31,249 days,0.00290714441548551,0.0539179414989622,0.047938311165543965,inf,2.0,1.0
32,256 days,0.0021623931392471575,0.04650153910621838,0.04243905670219977,inf,2.0,1.0
33,263 days,0.0020299403829183225,0.04505485970368039,0.04088781808250447,inf,2.0,1.0
34,270 days,0.002352510180529386,0.04850268219933188,0.04578268143683975,inf,2.0,1.0
35,277 days,0.003039719466867284,0.05513365094810323,0.05399287752986845,inf,2.0,1.0
36,284 days,0.0029383937319420574,0.05420695280074372,0.05324510065869264,inf,2.0,1.0
37,291 days,0.003769267740648084,0.06139436245004979,0.0592646541667299,inf,2.0,1.0
38,298 days,0.004451725382215001,0.06672125135378533,0.06552866356722115,inf,2.0,1.0
39,305 days,0.0047945729650288775,0.06924285497456671,0.0687486749843215,inf,2.0,1.0
40,312 days,0.005090628426261047,0.07134863997485198,0.07093094094675594,inf,2.0,1.0
41,319 days,0.006679647625659368,0.08172911124966041,0.07992257669413938,inf,2.0,1.0
42,326 days,0.011834984105725425,0.10878871313571746,0.09935535086625782,inf,2.0,0.8
43,333 days,0.018849690068368154,0.13729417346838924,0.12532463574090524,inf,1.8195984082801777,0.6000000000000001
44,340 days,0.023310812033253532,0.15267878710958355,0.14535450739062286,inf,1.4873480519527464,0.6000000000000001
45,347 days,0.04357162196233667,0.20873816604142298,0.19601927374156006,2.4345506731584794,1.1868844608216205,0.4
46,354 days,0.046335675790247735,0.21525723167932764,0.2061658335293414,0.398515131636788,0.8374268024981874,0.4
47,361 days,0.05048691858524325,0.22469294289150082,0.21622352416445345,0.2896833577066056,0.5035108543514591,0.4
