,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.037383903069106446,0.19334917395506618,0.1853795872598183,0.20033562601449062,0.23156104417559822,0.4
1,39 days,0.04099724056652773,0.20247775326323564,0.19245415128715906,0.20033562601449062,0.23466169351754282,0.4
2,46 days,0.053409822895681226,0.23110565310195513,0.22565120847746795,0.2573314899372447,0.2696910582729939,0.2
3,53 days,0.06356362999296787,0.25211828571717654,0.2496322178790763,0.2736480729880319,0.2943017862983066,0.0
4,60 days,0.07203789730143031,0.26839876546182234,0.26828662890151067,0.2738976426044556,0.31338176416639985,0.0
5,67 days,0.07336086245814244,0.27085210440043184,0.27083697739333185,0.2738976426044556,0.31571010191356297,0.0
6,74 days,0.07197545822998544,0.26828242251400936,0.26823835501942345,0.2738976426044556,0.31255843106660525,0.0
7,81 days,0.07160010626530357,0.26758196177116195,0.2675385839746164,0.26944927272289654,0.31136707933957325,0.0
8,88 days,0.07262208642911526,0.26948485380279774,0.2693881108935488,0.26944927272289654,0.3140914458612907,0.0
9,95 days,0.06753506580421816,0.2598750965448943,0.25913820813938654,0.26612552975447834,0.30709429785825104,0.0
10,102 days,0.07585304230541924,0.2754143102771155,0.2729848014324959,0.26944927272289654,0.3287389867686163,0.0
11,109 days,0.08859621026398908,0.29765115532110586,0.29345598235932047,0.2853071973371886,0.36094913271886486,0.0
12,116 days,0.10809944462662277,0.32878479987162235,0.3222665754758899,0.34381939154450336,0.4040358584207392,0.0
13,123 days,0.1311388249230549,0.3621309499656925,0.35420014121346705,0.37551382303230824,0.451639358659733,0.0
14,130 days,0.15794742252723765,0.39742599629017433,0.395383036813865,0.41699297636212135,0.5111945122426875,0.0
15,137 days,0.1371580487772267,0.37034855039169073,0.34656825078847464,0.41699297636212135,0.4631202246527666,0.2
16,144 days,0.1129007071284165,0.33600700458236954,0.29414804558020347,0.41699297636212135,0.4269927150692866,0.4
17,151 days,0.08015662452312382,0.28311945274587513,0.22588958336986553,0.32785443055145747,0.36754014685519226,0.6000000000000001
18,158 days,0.044946777676973665,0.21200655102372112,0.16464908016318008,0.32785443055145747,0.3707132834219015,0.8
19,165 days,0.010549902863232674,0.10271272006539732,0.10047952736762727,0.32785443055145747,0.35439633057265957,1.0
20,172 days,0.011980568178306292,0.10945578184045963,0.1071316390672247,0.6653194464713764,0.4619652676463769,1.0
21,179 days,0.014819392468782083,0.12173492707018016,0.11821749682674515,0.8301804484865387,0.6913638122367356,1.0
22,186 days,0.01767399549303915,0.13294358011216317,0.13198953983909398,1.1072034339775754,1.0446230293413095,1.0
23,193 days,0.01563379327069579,0.12503516813559212,0.12284048716197642,5.001234891256516,1.3272905180619692,1.0
24,200 days,0.013828911781280873,0.1175963935725959,0.11142474441261419,966.4738784602596,1.6274421569430506,1.0
25,207 days,0.011932762017505254,0.10923718239457321,0.10200108433706043,966.4738784602596,1.8762021275039102,1.0
26,214 days,0.009430999561854945,0.09711333359459423,0.09253011566154373,inf,1.9904676838558446,1.0
27,221 days,0.007409629413605175,0.0860792043039733,0.08384363551559354,inf,1.9912937257530943,1.0
28,228 days,0.006688194288263126,0.08178138106111393,0.07915279441969825,inf,1.9912937257530943,1.0
29,235 days,0.006244579671746398,0.07902265290248359,0.07270251726658755,inf,1.9912937257530943,1.0
30,242 days,0.00505991147246488,0.07113305471062578,0.05801000189787414,inf,2.0,1.0
31,249 days,0.003027002725222887,0.05501820358047768,0.04429424231573294,inf,2.0,1.0
32,256 days,0.0014229098555287437,0.037721477377334306,0.031483968341624154,inf,2.0,1.0
33,263 days,0.0006650827192628158,0.025789197724295648,0.022730600760164334,inf,2.0,1.0
34,270 days,0.0008234996837783473,0.028696684194839433,0.02578819013703786,inf,2.0,1.0
35,277 days,0.0014860247635623033,0.03854899173211024,0.03660475446948587,inf,2.0,1.0
36,284 days,0.0017852019660471899,0.04225165045352891,0.03974309046525665,inf,2.0,1.0
37,291 days,0.0022894326113645615,0.04784801575159164,0.04538475589097969,inf,2.0,1.0
38,298 days,0.002599458515537803,0.050984885167447445,0.05006664598125515,inf,2.0,1.0
39,305 days,0.0025859024474744995,0.05085176936424631,0.04986147848301467,inf,2.0,1.0
40,312 days,0.0023443250721900256,0.04841823078335293,0.047531542199648696,inf,2.0,1.0
41,319 days,0.0032351714592476826,0.05687856766170965,0.053791043431964086,inf,2.0,1.0
42,326 days,0.0072883696329580135,0.08537194874757173,0.07283682461817122,inf,2.0,1.0
43,333 days,0.01511584097654063,0.12294649639798863,0.10444284075763774,inf,1.8659117672891643,0.8
44,340 days,0.014984382501464059,0.12241071236400865,0.10194058952027225,inf,1.4758155526268761,0.8
45,347 days,0.018101050277881017,0.1345401437411192,0.11934610958201577,3.966220777368424,1.1222148613018026,0.8
46,354 days,0.026929933836006472,0.16410342420561025,0.1474509657213916,0.2777186630247621,0.786715046506737,0.6000000000000001
47,361 days,0.03287217632301365,0.1813068568008768,0.1628782071205887,0.2687876454866391,0.44881895762680163,0.4
