,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.044585627685275825,0.21115309063633386,0.2048293993606811,0.2875659214876178,0.302434076498385,0.4
1,39 days,0.04939328103058297,0.22224599215865057,0.2170712323922641,0.2875659214876178,0.30939864261050903,0.2
2,46 days,0.06501800667727325,0.2549862872337908,0.25352933327481575,0.29003914102333894,0.3477567433977628,0.0
3,53 days,0.06216291416892659,0.24932491686337047,0.2474249057485697,0.2875659214876178,0.33594895974397976,0.0
4,60 days,0.07862734617532574,0.28040568142483446,0.27443316753722335,0.29003914102333894,0.36221138935629554,0.0
5,67 days,0.0940845343206175,0.30673202363075414,0.29928524850153065,0.3293791330986975,0.38757465747813,0.0
6,74 days,0.10980729516577911,0.33137183822072014,0.3260383731785425,0.3650076692761385,0.4150854624501245,0.0
7,81 days,0.11393585535948979,0.33754385694230876,0.3324595217424694,0.3650076692761385,0.41961294631756335,0.0
8,88 days,0.1217663161940869,0.3489503061957202,0.3477104656969406,0.3650076692761385,0.43438598264171835,0.0
9,95 days,0.11272487451805993,0.33574525241328423,0.334374378884017,0.3450263074140368,0.4206026474684534,0.0
10,102 days,0.10607130711217999,0.32568590253828916,0.32485034024442494,0.3450263074140368,0.4151304439400137,0.0
11,109 days,0.10755334836890897,0.32795327162403637,0.326876114216762,0.3450263074140368,0.42680512036692486,0.0
12,116 days,0.09298803902164732,0.30493940221238597,0.29991693500813227,0.3321184294294183,0.40679192003876974,0.0
13,123 days,0.09036040272549561,0.3006000710670169,0.2952785991284552,0.33531889141613397,0.41231269300306705,0.0
14,130 days,0.08876744494152816,0.29793865969613303,0.29261464723541425,0.35612054729916703,0.4193160195055471,0.0
15,137 days,0.07637005498975998,0.2763513252903991,0.2694488153564327,0.33531889141613397,0.4028029567638029,0.0
16,144 days,0.053657347117737356,0.23164055585699442,0.2262438421802786,0.3022970885874062,0.36603712522115056,0.2
17,151 days,0.051311713172475536,0.22652088904221512,0.21997425440840745,0.33531889141613397,0.3888425697629577,0.2
18,158 days,0.0366014521765293,0.19131505998360218,0.16877856198693625,0.3022970885874062,0.3238934257028011,0.4
19,165 days,0.020949802808933042,0.1447404670744607,0.1272785588854487,0.3022970885874062,0.40667384023478825,0.6000000000000001
20,172 days,0.013165422048128317,0.11474067303327237,0.09954049554198596,0.3545311335436357,0.6352708690511556,0.8
21,179 days,0.009875099420248817,0.09937353480806052,0.0859198297581576,1.4697238941519521,0.9710630929322681,0.8
22,186 days,0.005302273700749103,0.07281671305922222,0.06777935153530937,5.985785043496892,1.2848794790648983,1.0
23,193 days,0.005730507364395457,0.07570011469208918,0.0744151069971793,inf,1.6692561003308515,1.0
24,200 days,0.004601216269081681,0.06783226569326489,0.06532091456005,inf,1.8998219967551635,1.0
25,207 days,0.003855325715649309,0.062091269238511375,0.05835903288758709,inf,2.0,1.0
26,214 days,0.0035059753836561187,0.05921127750400357,0.0562122378940169,inf,2.0,1.0
27,221 days,0.002820412114151376,0.053107552326871324,0.05117912594766212,inf,2.0,1.0
28,228 days,0.0024721813703944746,0.049721035491977386,0.04649036501820159,inf,2.0,1.0
29,235 days,0.002162463069531284,0.04650229101379075,0.03867464320678544,inf,2.0,1.0
30,242 days,0.001910746223067247,0.04371208326157937,0.032846170531271646,inf,2.0,1.0
31,249 days,0.0007567162672996677,0.027508476280951436,0.018121113829674566,inf,2.0,1.0
32,256 days,0.00014155440289015362,0.011897663757652324,0.0075435508061251644,inf,2.0,1.0
33,263 days,1.2883465365838486e-05,0.0035893544497358413,0.0027741653672188316,inf,2.0,1.0
34,270 days,1.2874300392340402e-05,0.00358807753432676,0.0027536307537283063,inf,2.0,1.0
35,277 days,2.4572094804102006e-05,0.00495702479357346,0.0034257068018551666,inf,2.0,1.0
36,284 days,6.16172254282798e-05,0.007849664032828399,0.005714078276980078,inf,2.0,1.0
37,291 days,0.00013213519184393827,0.011495007257237304,0.008979399242040156,inf,2.0,1.0
38,298 days,0.00023094117029571516,0.015196748675151379,0.013122613869584975,inf,2.0,1.0
39,305 days,0.0002380289123114452,0.015428185645481624,0.01427935359316531,inf,2.0,1.0
40,312 days,0.00023468082196149255,0.015319295739735967,0.014111324839710056,inf,2.0,1.0
41,319 days,0.00028304228994671665,0.016823860732504792,0.01550841902367029,inf,2.0,1.0
42,326 days,0.0007199959831771088,0.026832740880817763,0.021804366589910616,inf,2.0,1.0
43,333 days,0.0028770475697897538,0.05363811676214736,0.038591099843210415,inf,2.0,1.0
44,340 days,0.009857560530573545,0.09928524830292537,0.0747834320567178,inf,2.0,0.8
45,347 days,0.02555886471886107,0.15987140056577057,0.12894539840361613,inf,1.99878077783658,0.6000000000000001
46,354 days,0.037197433983300957,0.19286636301672969,0.17321068737966888,inf,1.7905705874424114,0.4
47,361 days,0.04448975169987288,0.21092593889769196,0.202622293432667,654.1560509660741,1.4640341550357134,0.2
