,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.052585509542839956,0.22931530594977728,0.21937592273329376,0.2776160230410996,0.330993007536174,0.4
1,39 days,0.06528653311431301,0.25551229542687964,0.24036250544986706,0.2776160230410996,0.3391924751904771,0.4
2,46 days,0.08978215196483763,0.29963669996320147,0.28652691247631507,0.35113924698549825,0.38443848036620476,0.2
3,53 days,0.11157055720844226,0.3340217915173234,0.32926952270349386,0.36865259153653684,0.4305575465215315,0.0
4,60 days,0.13511441133428875,0.3675791225495387,0.3665496904153498,0.3807172038584947,0.4697790308534827,0.0
5,67 days,0.14546404049914285,0.3813974836035797,0.38084489545992944,0.3886025998863308,0.485216345353122,0.0
6,74 days,0.1481682804653796,0.3849263312185588,0.38455601466151224,0.3886025998863308,0.48898045641712357,0.0
7,81 days,0.14304919692064363,0.3782184513223061,0.3775068093800371,0.38107896965147053,0.4796815897569653,0.0
8,88 days,0.1370909377487869,0.3702579340794561,0.3687399882516756,0.38107896965147053,0.46714380290741275,0.0
9,95 days,0.12116191400984766,0.34808319983855535,0.3461443821654789,0.3578446827388348,0.44200636798651677,0.0
10,102 days,0.11401935319529433,0.3376675187152213,0.3365917482806547,0.3578446827388348,0.43444361473657744,0.0
11,109 days,0.11446020146238862,0.3383196734781893,0.3371794051613515,0.3578446827388348,0.442711685520089,0.0
12,116 days,0.11516639588373073,0.33936174782042056,0.33819402306789537,0.3774729721792118,0.4554364286117488,0.0
13,123 days,0.12377911276614423,0.351822558637368,0.3505413023468035,0.3996459398494739,0.4818398922650736,0.0
14,130 days,0.13286481190198135,0.3645062576993451,0.3642921511283113,0.40772049996691895,0.5113243873811372,0.0
15,137 days,0.1273933225179997,0.35692201181490574,0.35598175279639643,0.40935449971861815,0.5212068178491327,0.0
16,144 days,0.11288856572348827,0.3359889369063932,0.33330944201640633,0.4173951305478192,0.5242781909496035,0.0
17,151 days,0.09302186891089394,0.3049948670238467,0.2938917663274677,0.4173951305478192,0.512514572918265,0.2
18,158 days,0.06475688137303612,0.25447373415155466,0.22854733963161417,0.4173951305478192,0.4769344300934411,0.4
19,165 days,0.039756435105967575,0.19939015799674661,0.17352833371766696,0.4173951305478192,0.6108295187340766,0.6000000000000001
20,172 days,0.021369232101517734,0.14618218804463742,0.12313427316358927,0.44149132139377834,0.8377639205719404,0.8
21,179 days,0.008517322663113813,0.09228934208842218,0.08465578243493277,3.061245433954254,1.132268192963747,1.0
22,186 days,0.004537361039313295,0.06735993645568035,0.06604654420979503,9.40817925234488,1.444142430313442,1.0
23,193 days,0.004263546980596035,0.06529584198550498,0.06302913419895151,inf,1.7718110126221034,1.0
24,200 days,0.002775940823982479,0.05268719791355846,0.04999480805829988,inf,1.9298748746575345,1.0
25,207 days,0.0022708640446090058,0.04765358375409982,0.04384742140783964,inf,2.0,1.0
26,214 days,0.0018835527264999979,0.04339991620383613,0.04078018737748451,inf,2.0,1.0
27,221 days,0.0015667802686127837,0.039582575315570155,0.0377878867961266,inf,2.0,1.0
28,228 days,0.0013462716115424647,0.03669157412189432,0.033846910444107176,inf,2.0,1.0
29,235 days,0.0012503543562073917,0.035360350057760906,0.03113869926662305,inf,2.0,1.0
30,242 days,0.0011830925650549594,0.03439611264452655,0.02960074199031513,inf,2.0,1.0
31,249 days,0.0005879604172409586,0.02424789510949267,0.0205182374167199,inf,2.0,1.0
32,256 days,0.0001875423168009744,0.013694609041552607,0.013023854307631894,inf,2.0,1.0
33,263 days,0.00012201221234711733,0.011045913830331891,0.009580980267122221,inf,2.0,1.0
34,270 days,9.810705898701794e-05,0.009904900756040816,0.007461379773450847,inf,2.0,1.0
35,277 days,6.463607913199356e-05,0.00803965665510621,0.006366493563656065,inf,2.0,1.0
36,284 days,9.900993975476679e-05,0.009950373850000149,0.007659766995099755,inf,2.0,1.0
37,291 days,0.00016602151435153478,0.012884933618437263,0.01005762277590727,inf,2.0,1.0
38,298 days,0.00022449199659947545,0.014983056984456658,0.013300203682708692,inf,2.0,1.0
39,305 days,0.0002245229147987056,0.01498408872099687,0.013336158688494061,inf,2.0,1.0
40,312 days,0.00019623296161628512,0.014008317586929742,0.01162659022325133,inf,2.0,1.0
41,319 days,0.00014964141961884678,0.012232800971929804,0.009587611687401063,inf,2.0,1.0
42,326 days,0.00024700051898272207,0.015716250156532954,0.011545546284912712,inf,2.0,1.0
43,333 days,0.0015944112247806273,0.03993007919827642,0.02489034500170169,inf,2.0,1.0
44,340 days,0.006973080196189548,0.08350497108669368,0.05758492189417303,inf,2.0,0.8
45,347 days,0.019408043979671673,0.13931275598333295,0.1066610798000511,inf,1.9710894507547438,0.6000000000000001
46,354 days,0.019407595962963303,0.1393111480211232,0.10662516948260707,inf,1.57466619664614,0.6000000000000001
47,361 days,0.022441706378199207,0.149805561906757,0.12601616572768892,25.671560066651644,1.228545375249166,0.6000000000000001
