,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.05423925554114201,0.23289322777002772,0.22891576655563778,0.2359270477153731,0.2942750430095077,0.0
1,39 days,0.05649100707361576,0.23767836896448058,0.23271123122414697,0.2359270477153731,0.295517207093712,0.0
2,46 days,0.0665477736282058,0.25796855162636745,0.2531821510856096,0.2896855153674856,0.31620609514639464,0.0
3,53 days,0.07805379679734524,0.279381095991381,0.27685181099016853,0.3057223560813227,0.3413823745830593,0.0
4,60 days,0.09082045976385644,0.3013643306097396,0.3009045931278078,0.3117824277932374,0.3672999046334132,0.0
5,67 days,0.09579967415045434,0.30951522442434776,0.30934570326870287,0.3125422995446776,0.3767693397804163,0.0
6,74 days,0.09068937546284991,0.3011467673126343,0.3003360626899989,0.3125422995446776,0.3676661890913349,0.0
7,81 days,0.08379498719021522,0.2894736381610858,0.2872880309408769,0.3125422995446776,0.3529966452281088,0.0
8,88 days,0.07838013773346116,0.279964529420177,0.2775445240981323,0.27871635607988243,0.34104883960549287,0.0
9,95 days,0.06567814032265815,0.2562774674501411,0.2536489646321334,0.2689159152897495,0.3148777875334213,0.0
10,102 days,0.058560824676115605,0.2419934393245313,0.24115382115010836,0.2689159152897495,0.30339096134335297,0.0
11,109 days,0.05969257714420537,0.24432064412203355,0.2432780750506021,0.2689159152897495,0.31048523351615503,0.0
12,116 days,0.06790176697194322,0.26057967490182965,0.25850112799044384,0.28227703392574177,0.3344053935985923,0.0
13,123 days,0.07535805997796208,0.27451422545646353,0.27153253258123466,0.30459513181904774,0.358101030674066,0.0
14,130 days,0.08535981054432494,0.2921640130890951,0.2911392398942551,0.3382778042154508,0.39079510027459713,0.0
15,137 days,0.0890621634987102,0.298432845877779,0.2979786317878713,0.3533463133686424,0.4122850370479126,0.0
16,144 days,0.08731869513467352,0.29549736908249036,0.29466941095956867,0.35369446954589007,0.4276537942446125,0.0
17,151 days,0.07805135886931573,0.27937673287035864,0.27710234462867783,0.35804064656549556,0.4356350136270749,0.0
18,158 days,0.05853865962319753,0.24194763818478893,0.22599529478434885,0.35804064656549556,0.38968582593805945,0.2
19,165 days,0.043981800485068834,0.2097183837556184,0.1932357379895379,0.3580732321159372,0.5400860049430681,0.4
20,172 days,0.02918822402507958,0.17084561459130163,0.1544867771713575,0.3653769315697315,0.803804607121234,0.6000000000000001
21,179 days,0.017562786513316556,0.13252466379250527,0.12016040808399947,2.8880845831169966,1.1165721582398789,0.8
22,186 days,0.010207460723723976,0.10103197871824532,0.09769199590405145,14.307022645612635,1.4271626940945814,1.0
23,193 days,0.011317339127375283,0.10638298326036587,0.10459505762593013,inf,1.78727809262991,1.0
24,200 days,0.008844203106121204,0.09404362342084233,0.0936418327075586,inf,1.950941381674279,1.0
25,207 days,0.008169019983926908,0.09038263098586424,0.08962126570363585,inf,2.0,1.0
26,214 days,0.008419526915578134,0.09175798011932332,0.0910590538376197,inf,2.0,1.0
27,221 days,0.0070997888641564,0.08426024486171638,0.08364214237001695,inf,2.0,1.0
28,228 days,0.005500825132900481,0.07416754770720467,0.07196189366784643,inf,2.0,1.0
29,235 days,0.004053416402034522,0.06366644643793559,0.056595011966452405,inf,2.0,1.0
30,242 days,0.0029622751316722967,0.05442678689461924,0.04236640659777243,inf,2.0,1.0
31,249 days,0.0013166683542803345,0.03628592501618685,0.02432319596353007,inf,2.0,1.0
32,256 days,0.00033179562694182324,0.018215258080571443,0.011428686064391,inf,2.0,1.0
33,263 days,5.4267476606835806e-05,0.007366646225171656,0.006050485741570285,inf,2.0,1.0
34,270 days,4.504800067798721e-05,0.006711780738223441,0.005395800608232322,inf,2.0,1.0
35,277 days,5.039224245819276e-05,0.007098749358738676,0.006014549697469195,inf,2.0,1.0
36,284 days,5.939419858403938e-05,0.007706763171658993,0.007261205631578611,inf,2.0,1.0
37,291 days,0.00011435585316174156,0.01069372961888141,0.009593323649452649,inf,2.0,1.0
38,298 days,0.00019197734857612336,0.013855589073587719,0.011773078627214845,inf,2.0,1.0
39,305 days,0.00022337188384726674,0.014945630928377253,0.013421151242671335,inf,2.0,1.0
40,312 days,0.0005035519454367483,0.022439963133587103,0.01982514057541488,inf,2.0,1.0
41,319 days,0.0019247035784407992,0.04387144376973248,0.03539245539533086,inf,2.0,1.0
42,326 days,0.007428938782992179,0.08619129180486959,0.06523517647460575,inf,2.0,0.8
43,333 days,0.022649091542096583,0.15049615125343432,0.11595269480600133,inf,2.0,0.6000000000000001
44,340 days,0.053339097188143204,0.2309525864504297,0.1916166443333934,inf,1.99970864079659,0.4
45,347 days,0.05362320299118836,0.23156684346250514,0.1947275620768237,inf,1.620548982807207,0.4
46,354 days,0.0768548925267792,0.27722714969277307,0.24804572436555203,2743.7516036456277,1.318461796530002,0.2
47,361 days,0.08744871797006055,0.2957172939989485,0.27153109372404516,0.39329300642303433,0.9973570146991187,0.2
