,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.0059456184250639595,0.07710783634017984,0.07296941903328188,0.0864372839689176,0.07777452132448934,1.0
1,39 days,0.005211114814389893,0.07218805174258337,0.06876927509600024,0.07789453929611294,0.0731189900563248,1.0
2,46 days,0.005106835751378355,0.07146212809158677,0.06820207207898736,0.07789453929611294,0.07232999437795912,1.0
3,53 days,0.006585055402399125,0.08114835428028794,0.07983574784008061,0.0864372839689176,0.08403276788597908,1.0
4,60 days,0.006841426439413333,0.08271291579562005,0.08203354524737481,0.0864372839689176,0.08637711541867034,1.0
5,67 days,0.006203037139311279,0.07875936223276113,0.07782005353007901,0.07789453929611294,0.08219473861469041,1.0
6,74 days,0.005056456962107921,0.07110876853179164,0.06516373862667042,0.06710045955666812,0.06897912126446741,1.0
7,81 days,0.003648706507511248,0.06040452389938396,0.053852458231969026,0.0658122012066838,0.05761041594184728,1.0
8,88 days,0.0030059341586732785,0.05482640019801846,0.04997694225017171,0.0658122012066838,0.05367969515554755,1.0
9,95 days,0.0023304167800930276,0.04827439052016118,0.04248677565640813,0.03899682557032512,0.04596051623403863,1.0
10,102 days,0.0015802005800606535,0.03975173681816498,0.033927007448094675,0.029895917813374966,0.03707686195628547,1.0
11,109 days,0.0018655287476340109,0.04319176712793783,0.03922856162978805,0.03899682557032512,0.0428537548833647,1.0
12,116 days,0.0041146324322754915,0.06414540071022623,0.05470799795535286,0.04291653364622478,0.059038197861434334,1.0
13,123 days,0.005830189297471492,0.07635567626228905,0.06367525850262068,0.04291653364622478,0.06919702891997231,1.0
14,130 days,0.008288323133930135,0.09104022810785425,0.08119280223576275,0.11247141710387147,0.08863686437678095,1.0
15,137 days,0.012769118075137413,0.11300052245515245,0.1069781977429258,0.11911175628966601,0.11720242695011938,0.8
16,144 days,0.017992025183611066,0.13413435497146534,0.13224869885351065,0.12073092008015605,0.14569361525876667,0.6000000000000001
17,151 days,0.017998946914918806,0.13416015397620415,0.13227975907968112,0.12351860495274952,0.14818880701094228,0.6000000000000001
18,158 days,0.01853190109659665,0.1361319253393437,0.13443798551996675,0.1419452107727247,0.15304919588686566,0.6000000000000001
19,165 days,0.019108935111389405,0.13823507192962792,0.13684292966918143,0.1419452107727247,0.15786194648684607,0.6000000000000001
20,172 days,0.020564042976536016,0.14340168400871733,0.14131907853329406,0.1419452107727247,0.16548375251954917,0.6000000000000001
21,179 days,0.023246125841178043,0.15246680242327523,0.14858087542018245,0.1419452107727247,0.1780805185454866,0.6000000000000001
22,186 days,0.029842768306899917,0.1727505956774098,0.1689024919322298,0.18672097387742437,0.21041120190797175,0.4
23,193 days,0.053962149431073955,0.23229754503884442,0.21721123735652834,0.22166691939484137,0.28689570878289394,0.2
24,200 days,0.09893212566737324,0.3145347765627407,0.29014176308262224,0.2557905656708134,0.4107699123614578,0.0
25,207 days,0.14421184964683767,0.3797523530497707,0.35670329124413414,0.42222241783849385,0.551782757814742,0.0
26,214 days,0.13835040027709303,0.3719548363405066,0.337892167377866,0.42222241783849385,0.5794060894682367,0.2
27,221 days,0.13160374120421647,0.3627722993893228,0.3168873782581706,0.5560033686088548,0.7724006868337204,0.4
28,228 days,0.10545181246970677,0.32473344833833606,0.258859971149904,0.625907721219327,1.0653583704484002,0.6000000000000001
29,235 days,0.0582823812853264,0.24141744196583312,0.17469590556634296,3.3928384101538676,1.3113404575192815,0.8
30,242 days,0.007955537076982419,0.08919381748183233,0.08745482099341041,inf,1.5291379283631645,1.0
31,249 days,0.007201112154651116,0.08485936692346412,0.08365495558394129,inf,1.8516551138462214,1.0
32,256 days,0.0052487559032875575,0.07244829813934595,0.07080318860528884,inf,2.0,1.0
33,263 days,0.0040322886941405334,0.06350030467754099,0.05855057255711025,inf,2.0,1.0
34,270 days,0.0031129367472563776,0.05579369809625795,0.047917168969465754,inf,2.0,1.0
35,277 days,0.002157919149577202,0.04645340837416779,0.0364705978621654,inf,2.0,1.0
36,284 days,0.0005671901611271324,0.023815754473187123,0.0205665151268187,inf,1.9891524136860967,1.0
37,291 days,0.0007986882742728363,0.02826107348054628,0.022897581832180096,inf,1.977163756840882,1.0
38,298 days,0.002847160752964269,0.053358792649049594,0.03969054505734515,inf,1.977163756840882,1.0
39,305 days,0.01135359764887933,0.10655326202833647,0.07774216377233038,1448.3279685016582,1.9766121574665512,0.8
40,312 days,0.033058396482718154,0.18181968123038317,0.14106021765756482,71.7491250910492,1.8998569166997388,0.6000000000000001
41,319 days,0.040146298232453775,0.20036541176673628,0.1767167770241244,64.72974381774203,1.5698038571420407,0.4
42,326 days,0.04580416665438711,0.21401908011760798,0.20104208707528837,8.422741066378173,1.2264999772138911,0.2
43,333 days,0.046066169498840646,0.21463030890077162,0.20227722430458564,0.2574577968666449,0.8515468135424145,0.2
44,340 days,0.03831383806944744,0.19573920933080177,0.1736205937221669,0.20106459604817398,0.4661464584767737,0.4
45,347 days,0.018113452362725845,0.13458622649708937,0.12522527854596893,0.11785447714361676,0.16170417561087094,0.6000000000000001
46,354 days,0.012977478368762667,0.11391873581093967,0.10738298194240492,0.10108292123295491,0.12389757246422405,0.8
47,361 days,0.00784332045108201,0.08856252283602815,0.08705667413482804,0.08979161981265484,0.09565498013211697,1.0
