,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.006995502464387933,0.08363912041854538,0.08133722156354287,0.08250797413837954,0.08704009133670543,1.0
1,39 days,0.005422252461875789,0.07363594544701514,0.07193626029717604,0.0810782125994373,0.07711222133266371,1.0
2,46 days,0.005175976152579465,0.07194425725921051,0.07061477716284677,0.0810782125994373,0.07559267864149541,1.0
3,53 days,0.005946854326246447,0.07711585003257403,0.07542549484925454,0.08250797413837954,0.07938359441886805,1.0
4,60 days,0.005769973537181658,0.07596034187114785,0.07358313470728106,0.08250797413837954,0.07754618004672628,1.0
5,67 days,0.005032557074241914,0.0709405178599784,0.0682357297807535,0.06174257769488609,0.07217773784522138,1.0
6,74 days,0.00440383956992158,0.06636143134322511,0.06056996474330505,0.05751315797093036,0.06429198857569653,1.0
7,81 days,0.00397973566764185,0.06308514617278659,0.058031381657793916,0.05751315797093036,0.06314855072179304,1.0
8,88 days,0.0033142826711361237,0.05756980694023668,0.05397394501350344,0.05751315797093036,0.058992705860738875,1.0
9,95 days,0.0035659158458672957,0.059715289883473695,0.05650425732511041,0.06578582073953942,0.06238808827361913,1.0
10,102 days,0.0035408147650664353,0.05950474573566746,0.05627611547798961,0.06578582073953942,0.06293902356830512,1.0
11,109 days,0.0037772083668999156,0.06145899744463715,0.060053820766707865,0.06578582073953942,0.0670022258512692,1.0
12,116 days,0.004962483868674733,0.07044489952207138,0.06641947341836946,0.06578582073953942,0.07267675268497115,1.0
13,123 days,0.006730618431474879,0.082040346363694,0.07571558177228224,0.06578582073953942,0.08330126702624485,1.0
14,130 days,0.00881757094007488,0.09390192191896223,0.08780916363914565,0.11056128075748542,0.09663301455335946,1.0
15,137 days,0.013956468854256228,0.11813749977994382,0.1107784075464192,0.12137544773610937,0.12187936149369182,0.8
16,144 days,0.019000954408079543,0.1378439494794006,0.13542314139262457,0.12237388860471557,0.1501614213198002,0.6000000000000001
17,151 days,0.018490092492564156,0.1359782794881747,0.1329384451104886,0.12237388860471557,0.14993047896551667,0.6000000000000001
18,158 days,0.018139646023758036,0.13468350316114455,0.13140832174142264,0.12389401015649114,0.1505021488864996,0.6000000000000001
19,165 days,0.01769138910292601,0.13300898128670113,0.12939805236932284,0.12389401015649114,0.1498358706809073,0.6000000000000001
20,172 days,0.017994765069813668,0.13414456779837813,0.1302825351683191,0.12389401015649114,0.1527412082229102,0.6000000000000001
21,179 days,0.01925505733360254,0.13876259342345307,0.13392375705916962,0.12389401015649114,0.1607138310881694,0.6000000000000001
22,186 days,0.028509452177232858,0.16884742277344023,0.1617657479773252,0.1840708474299541,0.20223373894600127,0.4
23,193 days,0.06078099923410288,0.2465380279674981,0.22296075163875656,0.20294989536671276,0.29506857433928874,0.2
24,200 days,0.11929661572056334,0.34539342165212605,0.31192416486041535,0.27844117698845056,0.4388254667763787,0.0
25,207 days,0.15180863638639708,0.38962627784377823,0.36498538048728735,0.45931625127287096,0.5696536164191145,0.0
26,214 days,0.14517234254053005,0.38101488493302993,0.32880086276471615,0.45931625127287096,0.5255950287954277,0.2
27,221 days,0.13820451634452163,0.3717586802544382,0.3104592527093139,0.5944211568106715,0.8398599825622193,0.4
28,228 days,0.10498120382490594,0.32400803049447086,0.24443921572918345,0.5998662161053592,1.1206100062702395,0.6000000000000001
29,235 days,0.04472073425395573,0.21147277426173736,0.14440170769741947,36.02296395465773,1.351449475805253,0.8
30,242 days,0.007072947289484979,0.08410081622365492,0.07000952206299095,inf,1.5800755048303488,1.0
31,249 days,0.009229958958630104,0.09607267540060548,0.09053333993331314,inf,1.9789600831499092,1.0
32,256 days,0.006088022581347364,0.07802578151705604,0.07593155004190713,inf,2.0,1.0
33,263 days,0.004736366434037615,0.06882126440307251,0.06404165578965103,inf,2.0,1.0
34,270 days,0.004268052767510275,0.0653303357370087,0.05710395335992102,inf,2.0,1.0
35,277 days,0.003412874400972487,0.05841981171633889,0.04666298014473167,inf,2.0,1.0
36,284 days,0.0013070741640026833,0.03615348066234679,0.029101217010059202,inf,2.0,1.0
37,291 days,0.001395566734154867,0.03735728488735319,0.029710616296325307,inf,2.0,1.0
38,298 days,0.005292154618651101,0.0727471966377475,0.052725602361978874,inf,2.0,1.0
39,305 days,0.018392921458278002,0.13562050530166153,0.10073668837516203,inf,2.0,0.8
40,312 days,0.03199968635762776,0.17888456154075388,0.15001764712356827,inf,1.7750543699462793,0.6000000000000001
41,319 days,0.04357622145238676,0.20874918311789092,0.19503229057460894,inf,1.4420453256237673,0.4
42,326 days,0.04560500364762286,0.21355328058267534,0.20521763103329455,1.5564149426194545,1.0729218539051129,0.4
43,333 days,0.04385632642869726,0.2094190211721401,0.19820360070628776,0.2869047242266211,0.6967829454860113,0.4
44,340 days,0.03127233995287847,0.1768398709366145,0.1575939690038741,0.1433196113257961,0.3084599496062057,0.6000000000000001
45,347 days,0.019629526654907276,0.140105412653856,0.12538315357646898,0.11258920459956573,0.15459523823407004,0.8
46,354 days,0.01055928752459654,0.10275839393741291,0.09977632388069582,0.11258920459956573,0.11158122686125202,1.0
47,361 days,0.008655690525006941,0.0930359636108905,0.09041258229017354,0.10061813315111852,0.09767034306399026,1.0
