,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.28548490305948016,0.5343078729154944,0.5182313737220361,0.6880008643647603,1.0302284876437757,0.0
1,39 days,0.34945483076205663,0.5911470466491875,0.5836330048533755,0.6963277868125634,1.0618316490680617,0.0
2,46 days,0.3357238270139341,0.5794167990436022,0.5731384360957499,0.6963277868125634,1.0349027679088132,0.0
3,53 days,0.3260139697903523,0.5709763303240795,0.5648961364508779,0.6963277868125634,1.026530957061447,0.0
4,60 days,0.35307460785058853,0.5942008144142757,0.5868375924078534,0.6990640694060348,1.0600296583235966,0.0
5,67 days,0.3692486793187798,0.6076583574005873,0.6044989581098841,0.7009040432625929,1.1044659444039873,0.0
6,74 days,0.3549925610286497,0.5958125217118634,0.5930757993847481,0.7029932426694031,1.1150900006183138,0.0
7,81 days,0.350257858420254,0.5918258683263633,0.589247541337409,0.7067539066529878,1.1187465382836383,0.0
8,88 days,0.3513268728696192,0.5927283297343052,0.5901840223171175,0.7067539066529878,1.1137458255555566,0.0
9,95 days,0.32455018541246955,0.5696930624577322,0.5684949970014004,0.7067539066529878,1.0896867051497798,0.0
10,102 days,0.3285357447192815,0.5731803771233638,0.5723888022134378,0.7080021568820567,1.1036390932145719,0.0
11,109 days,0.3330863806740121,0.577136362287122,0.5761506076800323,0.7080021568820567,1.1475861755632764,0.0
12,116 days,0.2987312262744932,0.5465631036527193,0.5435797394204867,0.7296853882172204,1.1954475141278986,0.0
13,123 days,0.24007433465317554,0.48997381017068203,0.4664623703864202,0.7296853882172204,1.2024675065839305,0.2
14,130 days,0.1767118646187459,0.4203711034535389,0.3568741983073625,0.7296853882172204,1.0583691908131068,0.4
15,137 days,0.12245901531827807,0.34994144555665035,0.25791986354234003,0.799627463696169,1.1416526135809215,0.6000000000000001
16,144 days,0.047020956709687166,0.21684316154697422,0.13721453154309618,0.799627463696169,1.0022743951443431,0.8
17,151 days,0.007290953652447938,0.08538708129716074,0.0510783923729425,0.9503323312460564,1.1358146288593298,1.0
18,158 days,0.00025981042563007553,0.016118635972999562,0.014083366855552629,7.200549689296185,1.3169905441614342,1.0
19,165 days,0.00021412556545272074,0.014633029947783226,0.011165476438760076,inf,1.641892779798423,1.0
20,172 days,0.0001050632280495354,0.010250035514549958,0.0084240084520331,inf,1.7288441062969593,1.0
21,179 days,0.000145731483277185,0.012071929558988696,0.009847561904481404,inf,2.0,1.0
22,186 days,0.00010559400676951508,0.010275894451069214,0.007937818177178315,inf,2.0,1.0
23,193 days,0.0001133611332703192,0.0106471185430763,0.008775651623617589,inf,2.0,1.0
24,200 days,0.0001170907476190905,0.010820847823488255,0.009539154404386121,inf,2.0,1.0
25,207 days,8.597036186181904e-05,0.009272020376477773,0.007689957169058656,inf,2.0,1.0
26,214 days,2.5830176110575516e-05,0.005082339629597329,0.004962077630592171,inf,2.0,1.0
27,221 days,2.68062251773969e-05,0.005177472856268481,0.005044241442776908,inf,2.0,1.0
28,228 days,5.508627045754026e-05,0.007422012561127895,0.006430972704699354,inf,2.0,1.0
29,235 days,0.00011442816631927524,0.010697110185432103,0.00911399932797267,inf,2.0,1.0
30,242 days,0.00014381663512193845,0.01199235736300159,0.010895908062285862,inf,2.0,1.0
31,249 days,0.0001548064178797233,0.012442122724025964,0.01175953081192714,inf,2.0,1.0
32,256 days,0.00014793852512044059,0.012162998196186686,0.010900509099986595,inf,2.0,1.0
33,263 days,0.00011106801966073454,0.010538881328714852,0.008473641594779785,inf,2.0,1.0
34,270 days,4.7945672548443934e-05,0.006924281374153129,0.0049553788290065065,inf,2.0,1.0
35,277 days,1.835061903833334e-05,0.004283762252778898,0.0031457197247750568,inf,2.0,1.0
36,284 days,1.150908317595158e-05,0.0033925039684503805,0.0026809202768032186,inf,2.0,1.0
37,291 days,1.7907408019043743e-05,0.004231714548388601,0.0035011219699701236,inf,2.0,1.0
38,298 days,2.2574532934457582e-05,0.004751266455847071,0.004208681195526869,inf,2.0,1.0
39,305 days,4.1768224888421915e-05,0.006462834121994925,0.0061332611167962976,inf,2.0,1.0
40,312 days,4.241716932479371e-05,0.006512846484049329,0.006217259942523964,inf,2.0,1.0
41,319 days,3.586902791804085e-05,0.005989075714836209,0.005453976879322689,inf,2.0,1.0
42,326 days,6.77071001329089e-05,0.008228432422576544,0.007053797402871096,inf,2.0,1.0
43,333 days,0.00021017500196603546,0.014497413630231961,0.01147368920972718,inf,2.0,1.0
44,340 days,0.0006961265367215169,0.026384209988580612,0.019565488233577386,inf,2.0,1.0
45,347 days,0.0020733666356572023,0.04553423586332818,0.03536752925145939,inf,2.0,1.0
46,354 days,0.004612856199335883,0.06791801086115437,0.05743290126644946,inf,2.0,1.0
47,361 days,0.008487551775722931,0.0921279098629885,0.08262008053596315,inf,2.0,1.0
