,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.026294428245702904,0.1621555680379274,0.16166433285507947,0.16900807382746674,0.19096626680189585,0.6000000000000001
1,39 days,0.026663242244258492,0.16328883073945533,0.16266930661314238,0.16900807382746674,0.187310082487461,0.6000000000000001
2,46 days,0.02910470343708365,0.17060100655354776,0.16990071279060712,0.17456566902985082,0.19173607164774503,0.4
3,53 days,0.031124480082006134,0.17642131413751042,0.1760765328513605,0.17986180954954303,0.19614677384042217,0.4
4,60 days,0.03231050725476637,0.17975123714391056,0.1796497632583814,0.17986180954954303,0.19859419538100564,0.2
5,67 days,0.032383670719867065,0.17995463517194288,0.17986241076412937,0.17986180954954303,0.19811947572258506,0.2
6,74 days,0.03166268761280285,0.1779401236731133,0.17787105710153736,0.1763270922576812,0.19568151980704043,0.2
7,81 days,0.030965943362746835,0.17597142768855073,0.1759580337973096,0.1763270922576812,0.1934695810208152,0.4
8,88 days,0.03043754706063618,0.17446359809609618,0.17444998795145808,0.17499314731519708,0.19186167151675199,0.2
9,95 days,0.02892477341406778,0.17007284737449355,0.16981851316028065,0.17317880094750773,0.18757814678103996,0.4
10,102 days,0.027388341966604255,0.16549423544826042,0.1650351994918567,0.17317880094750773,0.18359084510692647,0.6000000000000001
11,109 days,0.026329135967553336,0.16226255257314712,0.16188612448462056,0.16793361869504822,0.1815810880509138,0.8
12,116 days,0.025951519092200788,0.16109475190769185,0.1608048702553397,0.16793361869504822,0.1815854144130511,0.6000000000000001
13,123 days,0.02657060663140598,0.1630049282426945,0.16256540609330536,0.16793361869504822,0.18432802680425794,0.6000000000000001
14,130 days,0.028995393302132987,0.17028033739141166,0.1697136794121492,0.17825758358331995,0.1931451530355333,0.4
15,137 days,0.03487299195438789,0.18674311755560868,0.1853645580114977,0.18454866055824432,0.2137410548857677,0.2
16,144 days,0.048013929007767686,0.2191208091619043,0.2137692449070388,0.19367473624231998,0.254782799661141,0.0
17,151 days,0.06596989712125235,0.256846057242957,0.24847575703643437,0.2393813893262944,0.31307146959063675,0.0
18,158 days,0.080168670110604,0.28314072492420445,0.27676579549708813,0.32533382002828104,0.37248336624788353,0.0
19,165 days,0.08081559501119767,0.2842808382765143,0.2784531711046285,0.32533382002828104,0.40040813666852654,0.0
20,172 days,0.07950969392061226,0.28197463347012663,0.2754779281434698,0.3917292724808883,0.5047494210821823,0.0
21,179 days,0.06643136879405127,0.25774283461243164,0.2472679405099024,0.4002356975420837,0.5726683612816985,0.2
22,186 days,0.04863546084877249,0.2205344890233101,0.2130238356513548,1.1449765643681613,0.874584793718614,0.2
23,193 days,0.029141905133797198,0.1707100030279339,0.16418992875730554,1.3157464750561443,1.1745111273848543,0.4
24,200 days,0.021716643096738746,0.1473656781504389,0.13209512474120205,1219.6010559102028,1.5036982370606187,0.6000000000000001
25,207 days,0.013849104253439399,0.11768221723539797,0.10467865065331969,inf,1.7449712071197827,0.8
26,214 days,0.01293957870260496,0.11375226899980924,0.10172354169111184,inf,1.9993451217186418,0.8
27,221 days,0.01019827514206815,0.10098650970336658,0.09268409979831813,inf,2.0,1.0
28,228 days,0.01040853406367884,0.10202222338137333,0.09398585160079714,inf,2.0,1.0
29,235 days,0.010160953121457221,0.1008015531698655,0.08774847467078185,inf,2.0,1.0
30,242 days,0.009048539707460076,0.09512381251537427,0.07423072880073493,inf,2.0,1.0
31,249 days,0.005017060918720247,0.07083121429652499,0.05215686675714473,inf,2.0,1.0
32,256 days,0.0019727991398913493,0.04441620357359856,0.03390787933190866,inf,2.0,1.0
33,263 days,0.0005973595892643207,0.024440940842453688,0.019797337811334154,inf,2.0,1.0
34,270 days,0.000607914571325601,0.024655923655900643,0.02063032855644294,inf,2.0,1.0
35,277 days,0.0008357539670765595,0.02890940966323179,0.026068608445983275,inf,2.0,1.0
36,284 days,0.0007764258889355199,0.02786441976671181,0.02519482105903198,inf,2.0,1.0
37,291 days,0.0005618068657346121,0.02370246539359592,0.021404365557799194,inf,2.0,1.0
38,298 days,0.0005396532547518461,0.023230438109339353,0.02039070256322252,inf,2.0,1.0
39,305 days,0.0006166575812037458,0.024832591109341485,0.02297738371318287,inf,2.0,1.0
40,312 days,0.0003947610633870804,0.019868594902183706,0.017899180617166263,inf,2.0,1.0
41,319 days,0.00029764689007704304,0.01725244591578374,0.016121910489120244,inf,2.0,1.0
42,326 days,0.0014433601568531087,0.037991580078395114,0.02795414729244218,inf,2.0,1.0
43,333 days,0.006492828860459749,0.08057809169035805,0.05809860923870052,inf,1.9950346225763567,1.0
44,340 days,0.00767408271236182,0.0876018419461704,0.0697809373144094,inf,1.656621957931025,1.0
45,347 days,0.007666003407148241,0.08755571601642145,0.06926757610128426,159.11564776337977,1.2595230679350866,1.0
46,354 days,0.015349972034162052,0.12389500407265037,0.10416006465838053,0.3639777218102293,0.9176460768083868,0.8
47,361 days,0.02449298610709057,0.15650235176217184,0.1340794747222807,0.2579578754866144,0.5768772221077398,0.6000000000000001
