,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,32 days,0.002926477640681572,0.054096928200051915,0.051764474764112285,0.05320361989341882,0.048073308804215564,0.05478824461332709,1.0
1,39 days,0.0031784191189902335,0.056377469959108965,0.05439370330481219,0.05566010672052955,0.05539480325969283,0.057370368651368485,1.0
2,46 days,0.002924126696861601,0.0540751948388686,0.052500261936272864,0.05366774633569453,0.05539480325969283,0.055235374350742994,1.0
3,53 days,0.0026383527860719376,0.05136489838471344,0.050202355755124065,0.051275413100611254,0.05539480325969283,0.052683940470696924,1.0
4,60 days,0.0031149870856056073,0.05581206935426788,0.055576332018234156,0.056495091402295354,0.05737093173348515,0.05815034286578975,1.0
5,67 days,0.00336795379472527,0.05803407442809155,0.05797387311737217,0.058797123468905615,0.058661381269954654,0.06058149922708588,1.0
6,74 days,0.003361620284755341,0.05797948158405127,0.05791559541550604,0.058755506323649814,0.058661381269954654,0.06053748197532557,1.0
7,81 days,0.003019357096310171,0.05494867692956921,0.05478008053642165,0.05576219499165219,0.05737093173348515,0.05737084167375194,1.0
8,88 days,0.0032515777132675876,0.0570226070367498,0.05667789278521891,0.05761209273178956,0.058661381269954654,0.05934099806999634,1.0
9,95 days,0.0033057608149002706,0.05749574605916746,0.05713761114058169,0.05814641655202281,0.05958346913726685,0.059908882570084344,1.0
10,102 days,0.002714927837133304,0.05210496940919651,0.049847865082500144,0.05097741108034234,0.05518671753341389,0.05243098495867397,1.0
11,109 days,0.00252905447153095,0.05028970542298841,0.04797033892365095,0.049309449886925455,0.04800847528414043,0.05067455135684838,1.0
12,116 days,0.0033133006378432087,0.05756127724298001,0.054250363191303455,0.05555761297729228,0.06133300037112094,0.05734052233366693,1.0
13,123 days,0.0036862402544716286,0.06071441554088805,0.05682707190874073,0.05824236384609702,0.06133300037112094,0.06023357019975482,1.0
14,130 days,0.004251437093467452,0.06520304512419225,0.060855495803903724,0.06233094667417104,0.07924929073597455,0.06463131713008066,1.0
15,137 days,0.005438090697836143,0.07374341121643439,0.0724335654940904,0.07419084522511697,0.08004417477819561,0.07715358598007284,1.0
16,144 days,0.0075767597503292716,0.08704458484207545,0.08601207283696202,0.08809249059667532,0.08177591451149105,0.0922679851242099,1.0
17,151 days,0.010451972418170707,0.10223488845873852,0.09900710470155295,0.1021830015975481,0.0830379345335942,0.10812692004178746,1.0
18,158 days,0.014393981044263229,0.11997491839656832,0.11544522217215075,0.12092053819109666,0.11635513842412121,0.12950244088021928,0.8
19,165 days,0.01993599488814138,0.14119488265564506,0.13635787963034995,0.14519668078110703,0.1497018457403384,0.15767524717122747,0.6000000000000001
20,172 days,0.025710910649789562,0.16034622118961694,0.15789903182136178,0.17139015885847797,0.1737318577459384,0.1882779286824437,0.4
21,179 days,0.03247836727906157,0.18021755541306614,0.17850479927990576,0.19757351642568213,0.20315662746154287,0.22000074670144773,0.2
22,186 days,0.038150929073342936,0.1953226281651538,0.19408348178724516,0.2204698467172829,0.2140053249204489,0.24851620422503173,0.0
23,193 days,0.04611219972147537,0.2147375135403113,0.21315818975803544,0.2481339568274556,0.247271926260142,0.28441279419269005,0.0
24,200 days,0.057203461681487114,0.23917245176124927,0.2360682760922988,0.28158257771829354,0.2641834971983422,0.3301055022450896,0.0
25,207 days,0.07224919143513309,0.2687920970473892,0.26498219123546574,0.3236097874713468,0.31205240829680186,0.3898355876524208,0.0
26,214 days,0.09398484361649,0.30656947600256945,0.3006318073158956,0.37384187368667915,0.3703997319157328,0.46618079216256014,0.0
27,221 days,0.12353220466478658,0.3514714848530199,0.3451051588141781,0.4322661868367656,0.4241413736857152,0.5594362718459021,0.0
28,228 days,0.15159650728590282,0.3893539614359957,0.3846156886736135,0.4863323101020619,0.49843235733680363,0.6498152357237756,0.0
29,235 days,0.17317460107850974,0.4161425249581082,0.4136287544940409,0.5307593559074865,0.5563050629487745,0.7272950772156361,0.0
30,242 days,0.18805580400596916,0.43365401417024746,0.4331447646828628,0.5670221554740676,0.5823830246232831,0.7932992891717255,0.0
31,249 days,0.18920048707818476,0.4349718233152405,0.43458434909551574,0.5855264118470496,0.5909536392017135,0.8282826431509298,0.0
32,256 days,0.17390691758830923,0.41702148336543676,0.4152241580093571,0.5883773027166845,0.5909536392017135,0.8338084929192744,0.0
33,263 days,0.14982558826815948,0.3870731045528215,0.382968322417518,0.5794067381921331,0.5909536392017135,0.8165010082904715,0.0
34,270 days,0.12878894901152102,0.35887177238049944,0.35485295256471316,0.5685843369253515,0.570559517296949,0.7954572020614005,0.0
35,277 days,0.11603426852727061,0.3406380315338712,0.33846162668413904,0.5593421330794349,0.5592443522890381,0.7770574154433381,0.0
36,284 days,0.09475730288737219,0.3078267416703302,0.3049410425236067,0.5291961738158657,0.5384229546089477,0.7221916377751522,0.0
37,291 days,0.1214756781344023,0.3485336111975462,0.3363645885124968,0.5350109095538192,0.5384229546089477,0.7338109945992586,0.0
38,298 days,0.1367871093333356,0.3698474135820549,0.35838317788731694,0.5285687988339229,0.5384229546089477,0.722022646696221,0.0
39,305 days,0.13892445853249646,0.37272571487958334,0.3618042817180958,0.5002661567742083,0.5053196484010447,0.6737048321762028,0.0
40,312 days,0.12724882862234319,0.35671953776369353,0.34230152313650475,0.4468363124569069,0.4402238428838682,0.5868508185157296,0.0
41,319 days,0.1240762678399922,0.3522446136422702,0.3349281659087003,0.4013351493919449,0.39690974431037407,0.5215637547503219,0.0
42,326 days,0.07601830795507498,0.2757141780088122,0.25735504809442333,0.30628682258373635,0.2920951307025317,0.3768131181506206,0.2
43,333 days,0.04378207280785991,0.2092416612624262,0.18318874160928422,0.21232714072076603,0.21271802755905805,0.2488143277123787,0.4
44,340 days,0.023186736308954486,0.1522719156934544,0.11988167609265449,0.13393336858955704,0.12439156194567337,0.1507687950487892,0.6000000000000001
45,347 days,0.010694348767226216,0.10341348445549166,0.07337945370260318,0.07948586901188937,0.03552123908619291,0.08636998557017223,0.8
46,354 days,0.0031088499048121036,0.05575706147935079,0.03956952976031434,0.04291500114651407,0.029863688232181627,0.04482621533924287,1.0
47,361 days,0.0006883571767128221,0.02623656183101784,0.023652084906736384,0.02570865709867611,0.029863688232181627,0.0261199507771021,1.0
