,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.12957691965348025,0.3599679425358323,0.3582296642686638,0.5477723433603977,0.7542701056972042,0.0
1,39 days,0.14883809694541608,0.38579540814454505,0.3838348192049309,0.5477723433603977,0.7515487304270676,0.0
2,46 days,0.15990245392596045,0.39987804881733685,0.39860365499111217,0.5411125485795035,0.7450691245761161,0.0
3,53 days,0.16205792549395742,0.402564188042053,0.40167990072386894,0.5411125485795035,0.7314753243338132,0.0
4,60 days,0.17654912559713162,0.4201774929683069,0.41832566323421055,0.5411125485795035,0.7387390697824123,0.0
5,67 days,0.17949744770495055,0.4236713911806538,0.42188674763939404,0.539764344772781,0.7382327780929354,0.0
6,74 days,0.1800989307468781,0.4243806436995897,0.4225674144385826,0.539764344772781,0.7375162397629635,0.0
7,81 days,0.20355479923595166,0.4511704769108365,0.44733934065340686,0.5466104468659778,0.762990160300806,0.0
8,88 days,0.24303169929529522,0.49298245333408697,0.4898506815696918,0.5742773807580315,0.810632608098456,0.0
9,95 days,0.25850367140044916,0.5084325632770281,0.5048869879058087,0.5961763056108743,0.833595394356089,0.0
10,102 days,0.2985881532393234,0.5464322036989798,0.5434783534679255,0.623886302319704,0.8846839862388156,0.0
11,109 days,0.33161016813779987,0.5758560307384128,0.5750765086544463,0.6303287189772893,0.9346761173672472,0.0
12,116 days,0.3258014654516786,0.5707902114189404,0.5695066600371604,0.6492360522039001,0.9570614282133237,0.0
13,123 days,0.2942872921098082,0.5424825270087583,0.5373646619688092,0.6492360522039001,0.9660754719932283,0.0
14,130 days,0.2606579215142667,0.5105466888681844,0.5008796310537982,0.6643189156828445,0.9927751419215709,0.0
15,137 days,0.20846660753449603,0.4565814358189523,0.4464992553096095,0.6676205481202441,1.0362386620516664,0.0
16,144 days,0.13613055747438385,0.36895874765938785,0.32867139690701075,0.6492360522039001,0.8760117598094713,0.2
17,151 days,0.08476130933429948,0.2911379558461924,0.23256185247212208,0.690202464093903,0.877985331068864,0.4
18,158 days,0.05118929624421923,0.22625051656122075,0.15295582844183808,0.7546872195341644,1.0162939302247036,0.6000000000000001
19,165 days,0.023870950358909456,0.15450226651706264,0.08045940382808292,1.887855071487419,1.2055125093797079,0.8
20,172 days,0.0003291504571495528,0.01814250415873048,0.016463242003197785,9.215470369939325,1.3631036201842215,1.0
21,179 days,0.0003723741812913878,0.019296999282048692,0.017830623489034823,inf,1.7229009684646388,1.0
22,186 days,0.0002363565631134778,0.015373892256467708,0.013811643778526133,inf,1.928669955551376,1.0
23,193 days,0.00020982975958817995,0.01448550170301947,0.011998800384186024,inf,2.0,1.0
24,200 days,0.00020457108227416195,0.014302834763576133,0.011567161003925311,inf,2.0,1.0
25,207 days,0.00010018986104416461,0.010009488550578627,0.008210928705837653,inf,2.0,1.0
26,214 days,2.67142428126602e-05,0.005168582282663226,0.0046610874748197915,inf,2.0,1.0
27,221 days,1.757005995583157e-05,0.004191665534824023,0.003534169935471347,inf,2.0,1.0
28,228 days,2.0135912744015497e-05,0.004487305733289798,0.0038846529964564414,inf,2.0,1.0
29,235 days,3.169736430674502e-05,0.005630041234906279,0.004703505025841412,inf,2.0,1.0
30,242 days,4.916201792925314e-05,0.0070115631587580485,0.005625998020807308,inf,2.0,1.0
31,249 days,8.957100953491301e-05,0.009464196190639382,0.008189196158099597,inf,2.0,1.0
32,256 days,0.00011611516010414661,0.010775674461682044,0.010258617141426302,inf,2.0,1.0
33,263 days,0.00014190709541512628,0.011912476460212892,0.01179702402415465,inf,2.0,1.0
34,270 days,0.0001751047779883099,0.013232716198434465,0.01313112808742207,inf,2.0,1.0
35,277 days,0.0001709791633825791,0.013075900098371014,0.012948845494950185,inf,2.0,1.0
36,284 days,0.00014128340352249295,0.011886269537684771,0.011583929849660694,inf,2.0,1.0
37,291 days,0.0001372887695556802,0.01171702904134321,0.011404616451198241,inf,2.0,1.0
38,298 days,0.00013935097282900873,0.011804701301981711,0.01148752925489871,inf,2.0,1.0
39,305 days,0.0001312382082558062,0.011455924591922129,0.011218999122115342,inf,2.0,1.0
40,312 days,0.0001099127303233106,0.010483927237600927,0.009720040774119813,inf,2.0,1.0
41,319 days,0.00010108747520765283,0.0100542267334516,0.0089084412901444,inf,2.0,1.0
42,326 days,9.393680516006777e-05,0.009692100141871614,0.00854271947580683,inf,2.0,1.0
43,333 days,9.2234092589965e-05,0.009603858213757897,0.008474461421630974,inf,2.0,1.0
44,340 days,0.0002079522103036016,0.014420548197055533,0.011198066068551069,inf,2.0,1.0
45,347 days,0.0011133724919599364,0.03336723680438547,0.023998435277702367,inf,2.0,1.0
46,354 days,0.003983279779555036,0.06311322982984657,0.04728444821212876,inf,2.0,1.0
47,361 days,0.010019179194814421,0.10009585003792326,0.08030175809983323,inf,2.0,0.8
