,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.1292175900650152,0.35946848271443105,0.35748270112254465,0.5395090872606267,0.7486720509265706,0.0
1,39 days,0.1544705533812327,0.3930274206480162,0.3880837689483343,0.5395090872606267,0.7414817753639523,0.0
2,46 days,0.17264323207405133,0.4155035885212682,0.4117740168692135,0.5374394084916266,0.7407066352628106,0.0
3,53 days,0.18147802074859642,0.42600237176405065,0.42382945366681324,0.5374394084916266,0.7348764266702269,0.0
4,60 days,0.19877952474468644,0.44584697458285666,0.4447214947335462,0.5451209102545677,0.74670218935288,0.0
5,67 days,0.19659120704304975,0.443386069969558,0.4421310231253953,0.5374394084916266,0.7390746202099894,0.0
6,74 days,0.18492093898589476,0.43002434696874403,0.4293686075652634,0.526183137494356,0.7245770689117981,0.0
7,81 days,0.18834287084205648,0.43398487397841007,0.4331519906313738,0.526183137494356,0.7293886208109059,0.0
8,88 days,0.17712062261065495,0.4208570096964704,0.41744782280341736,0.526183137494356,0.7139122978433767,0.0
9,95 days,0.18428997499296976,0.4292900825700144,0.4248421816737519,0.526183137494356,0.7302303689512153,0.0
10,102 days,0.2192902781341987,0.4682843987730092,0.45964075716541597,0.5501926141370287,0.7786960305196965,0.0
11,109 days,0.2393751170698004,0.4892597644092557,0.48065675973526734,0.5979121179446351,0.820386092984951,0.0
12,116 days,0.2531791480031347,0.5031691047780404,0.4945595772234015,0.6313049356640384,0.8615641357942877,0.0
13,123 days,0.2653304868060728,0.5151024041936446,0.511426651227689,0.6313049356640384,0.9219781844319421,0.0
14,130 days,0.2503791164134414,0.5003789727930635,0.49527685890954837,0.6457020567363061,0.9690214415991786,0.0
15,137 days,0.1915736753839275,0.43769130147162794,0.42375164894347395,0.6508717022439123,0.9767016530487443,0.0
16,144 days,0.14125129382914886,0.37583413074007643,0.3521404520494051,0.663084126505672,1.0078388489840064,0.0
17,151 days,0.08596781409507878,0.29320268432447677,0.2610793168975213,0.663084126505672,0.9898155603065131,0.2
18,158 days,0.05359904592619584,0.2315146775610476,0.18219194475294498,0.663084126505672,0.8806003242399161,0.4
19,165 days,0.017895153367879384,0.1337727676617307,0.09815839362517795,0.663084126505672,1.062979423375157,0.6000000000000001
20,172 days,0.007215841116661486,0.08494610713070662,0.05640473217854064,0.7005298643040642,1.2645872463797403,0.8
21,179 days,0.001330515830246314,0.0364762365142885,0.025231808241648827,2.354440330652624,1.4489517053816727,1.0
22,186 days,0.00019121921794795725,0.013828203713713407,0.011653543123903416,inf,1.6739995140172863,1.0
23,193 days,0.00017878437458026305,0.013371027431736989,0.010251540555746192,inf,2.0,1.0
24,200 days,0.0001797718845746297,0.013407903809866391,0.010428138058410773,inf,2.0,1.0
25,207 days,6.947088017913458e-05,0.008334919326492284,0.005903807561204209,inf,2.0,1.0
26,214 days,1.7914974655993522e-05,0.004232608493115507,0.0033411548939795647,inf,2.0,1.0
27,221 days,1.5306735062177117e-05,0.0039123822745454106,0.003169039316045523,inf,2.0,1.0
28,228 days,1.839407931371089e-05,0.0042888319288252475,0.0037905961054115816,inf,2.0,1.0
29,235 days,3.224790531469425e-05,0.005678723916047887,0.004929168405517708,inf,2.0,1.0
30,242 days,6.891191973049437e-05,0.008301320360671209,0.007466996222836488,inf,2.0,1.0
31,249 days,0.000122134026005253,0.011051426424007582,0.010079862114444841,inf,2.0,1.0
32,256 days,0.0001445546024816237,0.012023086229484661,0.011205345589634996,inf,2.0,1.0
33,263 days,0.00018996228747271033,0.013782680707058055,0.013517723765820912,inf,2.0,1.0
34,270 days,0.0002448862395208843,0.015648841475357986,0.015496608530238199,inf,2.0,1.0
35,277 days,0.00023867038552332717,0.015448960661589088,0.0152569651037749,inf,2.0,1.0
36,284 days,0.0001949232568395355,0.013961491927424357,0.013472008562661222,inf,2.0,1.0
37,291 days,0.00018465646082574784,0.013588835889278663,0.013032312931187692,inf,2.0,1.0
38,298 days,0.00016697031012441563,0.012921699196484015,0.012401691067484281,inf,2.0,1.0
39,305 days,0.000135254194276305,0.01162988367423789,0.011435242655311914,inf,2.0,1.0
40,312 days,0.00010591257535277692,0.010291383549007244,0.009463475955294141,inf,2.0,1.0
41,319 days,9.46142235761574e-05,0.009726984300190753,0.00831610192637635,inf,2.0,1.0
42,326 days,7.272595213434841e-05,0.008527951227249626,0.006511005940757837,inf,2.0,1.0
43,333 days,4.317366914819411e-05,0.006570667328985247,0.004556446752573422,inf,2.0,1.0
44,340 days,4.275056476681484e-05,0.006538391603966134,0.004541286688547232,inf,2.0,1.0
45,347 days,0.0006502741415169822,0.025500473358684585,0.015073434303678026,inf,2.0,1.0
46,354 days,0.0030598726573641383,0.05531611571110302,0.03661892456932686,inf,2.0,1.0
47,361 days,0.008636812206056515,0.0929344511258151,0.06970775314588168,inf,2.0,0.8
