,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.023230845964012897,0.15241668532025257,0.12377338212054204,0.12578198662845047,0.17004365875873406,0.6000000000000001
1,39 days,0.02484223628603872,0.1576142007753068,0.13236836112931827,0.1486260577152979,0.17848727467191766,0.6000000000000001
2,46 days,0.026016879136338867,0.16129748645387773,0.14328586576208863,0.1486260577152979,0.19299364047721917,0.6000000000000001
3,53 days,0.010364088526672855,0.10180416753096533,0.09500078407143042,0.11850824989028204,0.13416659319568175,0.8
4,60 days,0.007086972342879961,0.08418415731525714,0.08082670913290542,0.1067175211242203,0.11301348220171047,1.0
5,67 days,0.006172214174915468,0.07856344044729373,0.07428528863490445,0.1001018550286102,0.10313164307728023,1.0
6,74 days,0.0038621308774654224,0.06214604474514386,0.05955118776182389,0.07961110386858913,0.08229193951681366,1.0
7,81 days,0.021684792948787352,0.14725757348532995,0.10520042218840583,0.07961110386858913,0.13350570772986495,0.8
8,88 days,0.043584605801676314,0.20876926450432381,0.16362211774829957,0.1001018550286102,0.20548417545083025,0.6000000000000001
9,95 days,0.05077656008580135,0.22533654849092136,0.18876465630742015,0.2674758386308903,0.24616299306939637,0.4
10,102 days,0.09650745285472227,0.3106564869026917,0.27428513213475203,0.31138246266699837,0.3575712791974406,0.2
11,109 days,0.14565736911904792,0.38165084713524206,0.36546773665668053,0.34732644902787313,0.4789113388234371,0.0
12,116 days,0.1539793713968895,0.39240205325264227,0.37770822664496234,0.43021574641006943,0.5147751815588701,0.0
13,123 days,0.13704728407422534,0.3701989790291504,0.34360026088920065,0.43021574641006943,0.4911291109522687,0.0
14,130 days,0.13150179302325402,0.3626317595347297,0.3266392275081335,0.43021574641006943,0.4811442990053295,0.2
15,137 days,0.10006783128555023,0.31633499851510305,0.28494125608591836,0.43021574641006943,0.4655065858572238,0.2
16,144 days,0.05622640304561506,0.23712107254652645,0.21907425553276372,0.35503657688749696,0.41922771642546675,0.2
17,151 days,0.0316219775049771,0.17782569416419297,0.16886362459521645,0.3194800302909154,0.3856466828030186,0.4
18,158 days,0.02873248424712275,0.16950659057134843,0.15827772790293948,0.35503657688749696,0.4714889773094092,0.6000000000000001
19,165 days,0.03071129664084381,0.17524638838174045,0.1654016692616623,0.4346973244892771,0.6976064710190796,0.4
20,172 days,0.018564237145983466,0.13625064090118427,0.1342056822389065,1.152838122169556,0.9865232073691418,0.6000000000000001
21,179 days,0.013978237288513789,0.11822959565402306,0.11519293877957175,4.551293149010269,1.300190205212603,0.8
22,186 days,0.01278240731855585,0.11305930885405169,0.10951411188450576,inf,1.6241470671245217,0.8
23,193 days,0.011822970565934635,0.10873348410648229,0.10460620170542245,inf,1.8778867039218268,0.8
24,200 days,0.0076885504146962744,0.08768437953647316,0.08572694652099085,inf,2.0,1.0
25,207 days,0.005694636782097739,0.07546281721548527,0.07446877463035642,inf,2.0,1.0
26,214 days,0.006416623772710781,0.08010383119870598,0.07877470808930306,inf,2.0,1.0
27,221 days,0.005697008164073895,0.07547852783456958,0.0742671029878606,inf,2.0,1.0
28,228 days,0.004921424655677171,0.07015286633970967,0.0688819483776584,inf,2.0,1.0
29,235 days,0.004599628378539095,0.06782056014616139,0.06595558804478631,inf,2.0,1.0
30,242 days,0.004085291347188197,0.0639162838968928,0.06043897399847713,inf,2.0,1.0
31,249 days,0.0023700087946334613,0.04868273610463427,0.04538118451920847,inf,2.0,1.0
32,256 days,0.001499255947112406,0.03872022658911497,0.03538965475536311,inf,2.0,1.0
33,263 days,0.0008574294458099035,0.029281896212675563,0.026638218002910552,inf,2.0,1.0
34,270 days,0.0004425169168578983,0.021036086063189092,0.019915814537158228,inf,2.0,1.0
35,277 days,0.0002453964587656881,0.015665135133974686,0.015268149255899564,inf,2.0,1.0
36,284 days,0.00017483917965089232,0.013222676720350246,0.012304019494220709,inf,2.0,1.0
37,291 days,0.00010597604199500763,0.010294466571659147,0.008828624940377065,inf,2.0,1.0
38,298 days,7.242451336330297e-05,0.008510259300591431,0.007298975231656995,inf,2.0,1.0
39,305 days,9.122094287943432e-05,0.00955096554697138,0.007902817331692643,inf,2.0,1.0
40,312 days,0.0017547682439542833,0.04188995397412467,0.024326201273661353,inf,2.0,1.0
41,319 days,0.008760985619462293,0.09360013685600194,0.06087185920896938,inf,2.0,0.8
42,326 days,0.028412366091022895,0.1685596810955185,0.12332049639975443,inf,2.0,0.6000000000000001
43,333 days,0.06435437861540344,0.2536816481643941,0.2066883907551383,inf,2.0,0.4
44,340 days,0.1143464653264482,0.33815154195485814,0.3033240401081994,inf,2.0,0.2
45,347 days,0.1709451845275541,0.4134551783779641,0.3929467678771077,inf,2.0,0.0
46,354 days,0.16411382994935414,0.4051096517603032,0.3614844018908317,inf,1.6103735983074108,0.2
47,361 days,0.1481349320895294,0.38488301091309474,0.32589470635274714,inf,1.2514587127894088,0.4
