,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.0969419132360552,0.311354963403597,0.302926793121633,0.4296317849828591,0.506633254805113,0.0
1,39 days,0.09145601422404614,0.30241695426025,0.2938435274497562,0.37108794750154656,0.48472861668186573,0.0
2,46 days,0.09371723567304825,0.30613270925049524,0.29731564399727034,0.37108794750154656,0.4818353015822741,0.0
3,53 days,0.08746697976110344,0.2957481694974686,0.2832834885438831,0.37108794750154656,0.4602064143140461,0.0
4,60 days,0.1051145760561828,0.3242137814100178,0.3148996070629814,0.4206619938671141,0.5024683738800257,0.0
5,67 days,0.0929214528413698,0.3048302032958181,0.2986184623497884,0.41467294692802603,0.48521981501550554,0.0
6,74 days,0.10367408017906261,0.321984596182896,0.3153605613760839,0.4206619938671141,0.5010429495058801,0.0
7,81 days,0.12108477976055723,0.34797238361766186,0.3376764838704232,0.4219303808603685,0.5162950202564525,0.0
8,88 days,0.15624579651445697,0.3952793904499158,0.3920219769674961,0.4427630502828788,0.5738136930107662,0.0
9,95 days,0.15764147711482698,0.39704090106036555,0.3939447255287395,0.4441374331244665,0.5742675006261369,0.0
10,102 days,0.19908681712125542,0.4461914579205382,0.4400866416671454,0.4668261926060114,0.6312317982849598,0.0
11,109 days,0.2266661739798291,0.4760947111445674,0.4713465137942051,0.48114810305667133,0.6890026467046843,0.0
12,116 days,0.19889883388852483,0.4459807550651988,0.43114992425716264,0.48114810305667133,0.6778518595825276,0.0
13,123 days,0.17251930026411633,0.41535442728363486,0.39553219552059615,0.5134008976749929,0.6892792757486716,0.0
14,130 days,0.1613942581057642,0.40173904229706653,0.37841414835560583,0.5696824108616845,0.734411383838807,0.0
15,137 days,0.10191182447378741,0.3192363144659257,0.294645781101208,0.5134008976749929,0.694290339055107,0.2
16,144 days,0.048378441650827345,0.21995099829468232,0.19970008079159202,0.46587822021524605,0.5885200073552496,0.4
17,151 days,0.03680640707534551,0.19184995980021863,0.15992210885001798,0.5134008976749929,0.6041761081591505,0.6000000000000001
18,158 days,0.021714128369985757,0.14735714563598792,0.11575374507817322,0.5696824108616845,0.8660350594064516,0.8
19,165 days,0.005931148865055495,0.07701395240510316,0.06460226927691833,0.9228947397479699,1.1067187187034373,1.0
20,172 days,0.0016924342750926698,0.04113920605812258,0.03616165095142885,inf,1.3852477308446742,1.0
21,179 days,0.0013260562759727305,0.03641505562226605,0.02972479557851601,inf,1.726298730802403,1.0
22,186 days,0.0011615015157125184,0.034080808612949876,0.027717806091666342,inf,2.0,1.0
23,193 days,0.0005731521025641383,0.0239405952842476,0.020960735526024444,inf,2.0,1.0
24,200 days,0.00044236249746018125,0.021032415397670836,0.01699130612670912,inf,2.0,1.0
25,207 days,0.00044023123272484983,0.020981688033255327,0.016509916457086056,inf,2.0,1.0
26,214 days,0.0004966880590918138,0.02228649948044362,0.018208913793379876,inf,2.0,1.0
27,221 days,0.00024069973598084027,0.015514500829251331,0.011774142653599409,inf,2.0,1.0
28,228 days,9.974770962601926e-05,0.009987377514944515,0.006897074818782192,inf,2.0,1.0
29,235 days,9.594400195345032e-05,0.009795100915940087,0.006564569762531444,inf,2.0,1.0
30,242 days,9.797508856515868e-05,0.00989823663917764,0.007031140558213485,inf,2.0,1.0
31,249 days,1.8354856265619038e-05,0.004284256792679337,0.004077412315155729,inf,2.0,1.0
32,256 days,2.2219977086801383e-05,0.0047138070693232,0.004479292833555871,inf,2.0,1.0
33,263 days,3.694983972844764e-05,0.006078637983006361,0.0058025198335655585,inf,2.0,1.0
34,270 days,4.220684327142729e-05,0.006496679403466612,0.006241610563147391,inf,2.0,1.0
35,277 days,4.4244143411064666e-05,0.006651627125077342,0.0064973925522304795,inf,2.0,1.0
36,284 days,4.007704194126969e-05,0.006330643090655932,0.0060860499249958495,inf,2.0,1.0
37,291 days,4.4142695598341594e-05,0.006643996959537353,0.006394744728682426,inf,2.0,1.0
38,298 days,3.2845052195121694e-05,0.005731060302869068,0.005563539488882896,inf,2.0,1.0
39,305 days,2.4602552065537327e-05,0.004960095973420003,0.004745747691723069,inf,2.0,1.0
40,312 days,2.2551306646826117e-05,0.00474882160612779,0.004487876719991207,inf,2.0,1.0
41,319 days,0.000230240559785312,0.01517367983665505,0.010175859828102691,inf,2.0,1.0
42,326 days,0.0022421336798951453,0.04735117400756971,0.02881773591097847,inf,2.0,1.0
43,333 days,0.009574127776990259,0.09784747200101931,0.06617936113006163,inf,2.0,0.8
44,340 days,0.02553422564708876,0.15979432295012475,0.12208149595312481,inf,2.0,0.6000000000000001
45,347 days,0.04983669249822132,0.22324133241454486,0.19113540193971484,inf,2.0,0.4
46,354 days,0.06402598513791864,0.25303356523971016,0.23830612224377884,inf,1.8175035029399975,0.2
47,361 days,0.06580211825565066,0.25651923564452367,0.245756782588379,inf,1.4779198445719617,0.2
