,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,8.226498755237776e-05,0.009070004826480401,0.004060752356412724,inf,1.999819787351151,1.0
1,39 days,0.0002057834344614564,0.01434515369250035,0.009029466914419875,inf,1.9996351382402695,1.0
2,46 days,0.0004408761802585155,0.02099705170395395,0.01588515270825855,0.9999802881989917,1.999619369110301,1.0
3,53 days,0.0006243878528721867,0.024987754058181915,0.021942152941741476,0.9999802881989917,1.999619369110301,1.0
4,60 days,0.0007909831438092108,0.028124422550680234,0.027714028638979954,0.9999802881989917,1.999619369110301,1.0
5,67 days,0.0008498642777706609,0.029152431764274157,0.028970917475166624,0.9999802881989917,1.9996237770236684,1.0
6,74 days,0.0008143819042669408,0.028537377319349806,0.028196732077350385,0.9999802881989917,1.9990653355508066,1.0
7,81 days,0.0007782856228516865,0.027897770929801658,0.027648392859652315,0.9997801957773691,1.9983700012308843,1.0
8,88 days,0.0006722781250831192,0.025928326692694983,0.025527257736740822,0.9991103298782706,1.9972056880784903,1.0
9,95 days,0.0006391469941180912,0.025281356651059912,0.024921502063440456,0.9990702731812651,1.9964456176015941,1.0
10,102 days,0.0005744511261305623,0.023967710072732486,0.023518633173281255,0.9990490083780602,1.9957971644726549,1.0
11,109 days,0.0005920605906589765,0.02433229521970701,0.023919178879691184,0.9990490083780602,1.995956535269332,1.0
12,116 days,0.00039452475206600007,0.019862647156559974,0.018150998320918998,0.9989686150104883,1.9931908938326783,1.0
13,123 days,0.0003170205731299031,0.01780507155643872,0.014214743707578449,0.9990490083780602,1.9943552069850725,1.0
14,130 days,0.00018355641581449395,0.013548299369828449,0.009049060051382837,0.9992698174886924,1.995115277461969,1.0
15,137 days,0.00010710621445244305,0.010349213228668306,0.0051409397574455114,inf,1.9959395353263893,1.0
16,144 days,1.4606848734146314e-06,0.0012085879667672649,0.0005463294138187224,inf,1.9965232551134555,1.0
17,151 days,6.382114703529798e-11,7.988813869110857e-06,7.4831114929811625e-06,inf,2.0,1.0
18,158 days,7.000905922414158e-11,8.367141640019103e-06,8.030963423904942e-06,inf,2.0,1.0
19,165 days,7.920635680204904e-11,8.899795323604305e-06,8.792491044209712e-06,inf,2.0,1.0
20,172 days,7.678796299704147e-11,8.762874128791391e-06,8.675659195077277e-06,inf,2.0,1.0
21,179 days,7.54944929439565e-11,8.68875669724711e-06,8.610935989946296e-06,inf,2.0,1.0
22,186 days,7.655557626535887e-11,8.749604349075384e-06,8.674357596865058e-06,inf,2.0,1.0
23,193 days,7.448218315585795e-11,8.630306087031789e-06,8.51789655215866e-06,inf,2.0,1.0
24,200 days,7.002595522593604e-11,8.368151243012761e-06,8.206929716221807e-06,inf,2.0,1.0
25,207 days,5.920460159888515e-11,7.694452651026267e-06,7.567268333561186e-06,inf,2.0,1.0
26,214 days,4.780812914045081e-11,6.9143422782250815e-06,6.860635809309759e-06,inf,2.0,1.0
27,221 days,3.844769850899954e-11,6.200620816418267e-06,6.172802190327421e-06,inf,2.0,1.0
28,228 days,3.306976207537946e-11,5.750631450143493e-06,5.61816592419423e-06,inf,2.0,1.0
29,235 days,3.006663910772784e-11,5.483305491008853e-06,5.356245890929901e-06,inf,2.0,1.0
30,242 days,2.5937290931939996e-11,5.092866671329615e-06,5.012081551388627e-06,inf,2.0,1.0
31,249 days,1.8571633535136296e-11,4.309481817473685e-06,4.088964415963281e-06,inf,2.0,1.0
32,256 days,1.3901852362465504e-11,3.7285187893405477e-06,3.3885851951824922e-06,inf,2.0,1.0
33,263 days,1.2453319728014602e-11,3.5289261437460834e-06,3.1316935287995303e-06,inf,2.0,1.0
34,270 days,8.413178486791436e-12,2.9005479631944437e-06,2.588784668756564e-06,inf,2.0,1.0
35,277 days,4.009548674787601e-12,2.002385745751203e-06,1.9799949589833987e-06,inf,2.0,1.0
36,284 days,3.966544292033865e-12,1.991618510667609e-06,1.9669567610020466e-06,inf,2.0,1.0
37,291 days,3.759370577173447e-12,1.9389096361546733e-06,1.8928335690971647e-06,inf,2.0,1.0
38,298 days,3.2673254655756277e-12,1.807574470271039e-06,1.7593778325316772e-06,inf,2.0,1.0
39,305 days,3.4338222352387666e-12,1.8530575369477242e-06,1.7933768369434364e-06,inf,2.0,1.0
40,312 days,3.841759511073349e-12,1.9600406911779533e-06,1.8814841456388777e-06,inf,2.0,1.0
41,319 days,4.264293342856968e-12,2.0650165478409535e-06,1.992955787706067e-06,inf,2.0,1.0
42,326 days,4.370849875390928e-12,2.0906577614212538e-06,2.033515179832686e-06,inf,2.0,1.0
43,333 days,4.322580198736815e-12,2.0790815757773466e-06,2.017083028839931e-06,inf,2.0,1.0
44,340 days,3.825830264537329e-12,1.9559729713207514e-06,1.9071161275412308e-06,inf,2.0,1.0
45,347 days,3.694942540584679e-12,1.922223332650158e-06,1.8806099629014842e-06,inf,2.0,1.0
46,354 days,4.042879060993028e-12,2.010691189863085e-06,1.954376930159164e-06,inf,2.0,1.0
47,361 days,4.405877550520706e-12,2.099018234918579e-06,2.062131775544819e-06,inf,2.0,1.0
