,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.14884129484540748,0.3857995526765259,0.376045748754731,0.7741828491432124,1.2395200843215877,0.0
1,39 days,0.17557163115674732,0.4190126861525165,0.41551071083407903,0.7583844700744904,1.2219794582371988,0.0
2,46 days,0.18575097584538333,0.4309883708934422,0.4282946484819734,0.7403266068986044,1.1985881067711994,0.0
3,53 days,0.22097326073045503,0.47007793048648333,0.468482633322765,0.7583844700744904,1.2162896175584734,0.0
4,60 days,0.22490102694873298,0.4742373107935867,0.4725255790363697,0.7553949979290702,1.205793115041698,0.0
5,67 days,0.25228862582701256,0.5022834118573025,0.49857047852912617,0.7553949979290702,1.2173552392539142,0.0
6,74 days,0.25924368415193194,0.5091597825358283,0.5061904330261779,0.7553949979290702,1.2139385610325935,0.0
7,81 days,0.2801661298335224,0.529307216872699,0.5277994956602254,0.7562633487052366,1.2258134480037486,0.0
8,88 days,0.28487315658447493,0.5337350996369593,0.532083295350211,0.7562633487052366,1.2240275272299574,0.0
9,95 days,0.28461974157271985,0.5334976490789063,0.531827435967413,0.7625737758447387,1.2277565037385545,0.0
10,102 days,0.25286033864291374,0.5028522035776652,0.5009085054638097,0.7614209667760763,1.2177739970416976,0.0
11,109 days,0.2253438176845,0.47470392634198844,0.46530291266285484,0.7614209667760763,1.2096945919463389,0.0
12,116 days,0.17204185270541583,0.41477928191438856,0.3880599684218678,0.7614209667760763,1.140767168611089,0.0
13,123 days,0.11110943849661858,0.33333082440215245,0.2950740764364765,0.7171040897334812,1.0395264535749098,0.2
14,130 days,0.06226933675612177,0.24953824708072664,0.20021886348820594,0.6069890576052813,0.8487776837728677,0.4
15,137 days,0.024348403802447214,0.15603975071258994,0.11842988351159578,0.6069890576052813,0.7985053856819533,0.6000000000000001
16,144 days,0.0066831714806586335,0.08175066654565352,0.061110997058000376,0.6069890576052813,0.6941503724912361,0.8
17,151 days,0.0020676120496608357,0.045471002294438546,0.031016614445591128,0.5434340915862451,0.5648571519138879,1.0
18,158 days,0.0002826993355756569,0.016813665144032604,0.014299531927954273,0.8493494794819004,0.8156200762835618,1.0
19,165 days,0.00023346298465611552,0.015279495562881502,0.012816502895974687,1.9144527119168673,1.1598656571410457,1.0
20,172 days,0.0001583857787214532,0.012585141187982485,0.011207205429311952,inf,1.3642364999831473,1.0
21,179 days,0.00019007016832459808,0.013786593789787168,0.01236428247658265,inf,1.645002339961985,1.0
22,186 days,0.00019830437706219901,0.014082058694033306,0.013390125755375534,inf,2.0,1.0
23,193 days,0.00017168797174493293,0.013102975682833763,0.011301264350835815,inf,2.0,1.0
24,200 days,0.00013979206590255982,0.011823369481774636,0.0092417654559994,inf,2.0,1.0
25,207 days,6.533270833947725e-05,0.008082865107093972,0.005491241459189823,inf,2.0,1.0
26,214 days,1.0910371920372513e-05,0.0033030852123995397,0.0025164950687426527,inf,2.0,1.0
27,221 days,3.5791833016942513e-06,0.001891872961299001,0.0017152524955973004,inf,2.0,1.0
28,228 days,3.243816792063825e-05,0.005695451511569407,0.0038988963378281507,inf,2.0,1.0
29,235 days,7.276357743732676e-05,0.008530156940955234,0.006266862637849734,inf,2.0,1.0
30,242 days,0.00011506298460263992,0.010726741565015907,0.009067487658759784,inf,2.0,1.0
31,249 days,0.000133386764284546,0.011549318780107596,0.010670065610903265,inf,2.0,1.0
32,256 days,0.00013269230676716973,0.011519214676668272,0.01051021015211336,inf,2.0,1.0
33,263 days,0.00011631906639708398,0.010785131728313937,0.009693645574767965,inf,2.0,1.0
34,270 days,9.854754110338465e-05,0.009927111417899199,0.008993053087391449,inf,2.0,1.0
35,277 days,7.016982561033173e-05,0.008376743138614895,0.007754642930695211,inf,2.0,1.0
36,284 days,6.0395929655406564e-05,0.007771481818508396,0.0071616302738160215,inf,2.0,1.0
37,291 days,7.104664055271806e-05,0.008428916926433553,0.008309065985721311,inf,2.0,1.0
38,298 days,6.614997314929794e-05,0.008133263376363631,0.007965451733516139,inf,2.0,1.0
39,305 days,6.847210189728871e-05,0.008274787120965028,0.008069200616342169,inf,2.0,1.0
40,312 days,7.910361134498134e-05,0.008894021100997082,0.008615669358334656,inf,2.0,1.0
41,319 days,7.804499987689225e-05,0.008834308115347361,0.008534939774759198,inf,2.0,1.0
42,326 days,6.726839365760359e-05,0.008201731137851545,0.007350007589885629,inf,2.0,1.0
43,333 days,7.48433354938405e-05,0.008651204279974003,0.0078533546695115,inf,2.0,1.0
44,340 days,0.00011813461557699749,0.010868974909208204,0.00929190437482033,inf,2.0,1.0
45,347 days,0.0003403271871753014,0.01844795888913734,0.014098934501292626,inf,2.0,1.0
46,354 days,0.0007453103860202121,0.02730037336778038,0.021917104315079153,inf,2.0,1.0
47,361 days,0.0013552694905388921,0.03681398498585683,0.03264963913461283,inf,2.0,1.0
