,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.0034284925071820056,0.05855333045337392,0.051910618522552014,0.06840659310662268,0.05432042781524946,1.0
1,39 days,0.002980413912433927,0.05459316726875193,0.04827763195224004,0.05357288236935183,0.05048722597517388,1.0
2,46 days,0.002780666782455348,0.052732028051795506,0.04696755692872943,0.05357288236935183,0.049037114736572185,1.0
3,53 days,0.0037544438093952597,0.06127351637857305,0.05938871033709388,0.06840659310662268,0.06185439341338432,1.0
4,60 days,0.003991386425165225,0.06317742021612804,0.06233904266057708,0.06840659310662268,0.06487853079795347,1.0
5,67 days,0.0033357218617202783,0.05775570847734688,0.056137603845833446,0.05357288236935183,0.05858602681683971,1.0
6,74 days,0.002785556478295242,0.0527783713115064,0.046379943938486615,0.04853647081580463,0.04840098667600908,1.0
7,81 days,0.002459260693629675,0.04959093358296126,0.04393978004247234,0.04853647081580463,0.0468973590769801,1.0
8,88 days,0.0020285042526708495,0.04503891931064565,0.040437429863610964,0.04853647081580463,0.0434383549784025,1.0
9,95 days,0.0017618541090181435,0.04197444590483766,0.03701710770238402,0.03860675521455114,0.040168501248486074,1.0
10,102 days,0.002600219118538668,0.050992343724707026,0.04449511974954406,0.05414729706666356,0.04908053934526902,1.0
11,109 days,0.00272307172984776,0.05218305979767534,0.04875036633275261,0.05414729706666356,0.05366967763204536,1.0
12,116 days,0.0038218340351704036,0.06182098377711571,0.055766736134418626,0.05414729706666356,0.06028151392916301,1.0
13,123 days,0.005063765943222171,0.07116014293986607,0.06418313654689452,0.08760297645875055,0.06946712769929861,1.0
14,130 days,0.006205215377751821,0.07877318946032223,0.07438613526794931,0.08760297645875055,0.0805738086692747,1.0
15,137 days,0.008095809367532545,0.08997671569652087,0.0839640761016334,0.09647481435055537,0.09051672688522086,1.0
16,144 days,0.012395828926955389,0.1113365570105138,0.10870085821800544,0.0966720482444824,0.11806957751409526,0.8
17,151 days,0.012289372282045664,0.11085744125698403,0.1081371879316298,0.1039689290621788,0.11973071755247897,0.8
18,158 days,0.014434436569058956,0.12014340002288497,0.11725593705396067,0.12527076337149184,0.13183982322937654,0.8
19,165 days,0.01536003433349553,0.12393560559216035,0.1221907950644893,0.12527076337149184,0.13899577990353923,0.8
20,172 days,0.013113931694968568,0.11451607614203592,0.11000794051942338,0.11738799482629458,0.12768803691586994,0.8
21,179 days,0.012107890904852363,0.11003586190352836,0.10640875455646785,0.11738799482629458,0.12954270046407382,1.0
22,186 days,0.021116381879884502,0.14531476827867326,0.1341488956464179,0.14997047231645702,0.17779792691446294,0.8
23,193 days,0.03350658455601936,0.1830480389297284,0.163220886139379,0.16016285378534761,0.25412705383685497,0.6000000000000001
24,200 days,0.06156069805390607,0.24811428426010879,0.2198512970180555,0.2985574071854096,0.3979853842362508,0.4
25,207 days,0.07261348415552356,0.2694688927418591,0.25611642583694116,0.42753282297199385,0.5304243462796187,0.2
26,214 days,0.06919826236323914,0.26305562598667065,0.23091211903267872,0.42753282297199385,0.5010141571919723,0.2
27,221 days,0.06065138073124077,0.24627501036694885,0.20550665894032036,0.5397716242293527,0.766668835222241,0.4
28,228 days,0.04501833188621175,0.2121752386264989,0.16018750574487017,0.5935298599247482,1.0579141777724013,0.6000000000000001
29,235 days,0.015528988482069775,0.12461536214315543,0.09511620712533311,10.469589448570648,1.2891143311171447,0.8
30,242 days,0.004783167278535965,0.06916044591047664,0.061127681332647926,inf,1.5412548227866119,1.0
31,249 days,0.006587578853174264,0.08116390117025095,0.07920022503015864,inf,1.935843918254125,1.0
32,256 days,0.004997389295082184,0.0706922152367726,0.06923425404772403,inf,2.0,1.0
33,263 days,0.004614861026148173,0.06793276842693939,0.0653722314578649,inf,2.0,1.0
34,270 days,0.0041589705895544275,0.06449008132693296,0.061087808612167345,inf,2.0,1.0
35,277 days,0.00333481421620953,0.05774785031678262,0.05346352247660437,inf,2.0,1.0
36,284 days,0.001662567514741039,0.040774593986219396,0.039670951015139046,inf,2.0,1.0
37,291 days,0.0015815820132849317,0.03976910878162763,0.03890627830056685,inf,1.9491813690572362,1.0
38,298 days,0.0032655568923680217,0.05714505133752197,0.05094185307970144,inf,1.9348628108712411,1.0
39,305 days,0.005582383575022833,0.07471535033059025,0.06558620596746033,53.87154723318952,1.6713410703926481,1.0
40,312 days,0.019420590592452,0.13935777908840252,0.11166043589987389,13.742258009686019,1.3695636741694575,0.8
41,319 days,0.03102459452620581,0.17613799853014628,0.15488999798650938,1.0358026572953187,1.0365337009203048,0.6000000000000001
42,326 days,0.03351225152767929,0.1830635177409177,0.169211966340791,0.3942920414779513,0.7171031912594292,0.6000000000000001
43,333 days,0.03290488953951452,0.18139704942339752,0.16590298262619002,0.28682794575412546,0.3498702097842244,0.6000000000000001
44,340 days,0.03037598986193852,0.17428709034790418,0.14821994013433437,0.13845631135281303,0.2193528819169974,0.6000000000000001
45,347 days,0.01721597995054378,0.131209679332524,0.10873514248918806,0.08817554412250973,0.13550094479853364,0.8
46,354 days,0.0068669585973404,0.082867114088403,0.0769607808305119,0.08407645532553122,0.08608411437626254,1.0
47,361 days,0.0046835253983290555,0.06843628714599481,0.06527780442707126,0.06936140906998302,0.07000464252897586,1.0
