,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.003409781769957628,0.05839333669142078,0.05567405545747783,0.05947109226700742,0.05817030148802506,1.0
1,39 days,0.0029792187307262135,0.05458221991387134,0.05209015454590164,0.05119706333425305,0.054296428011918585,1.0
2,46 days,0.0023730024213893045,0.04871347268866493,0.047612699007915225,0.05119706333425305,0.049478504801906784,1.0
3,53 days,0.0026660917976035225,0.05163421150364865,0.05105190336019978,0.05211638066748988,0.05291862415668307,1.0
4,60 days,0.003317736678094628,0.05759979755254899,0.057259547689547816,0.05659990893885277,0.05929968251711143,1.0
5,67 days,0.0032988848743050777,0.05743591972193949,0.05709998184537711,0.05659990893885277,0.05931267081634733,1.0
6,74 days,0.0031399958686364133,0.056035666040803095,0.055405056730238676,0.05659990893885277,0.05772527353448357,1.0
7,81 days,0.002665528573439644,0.051628757233151024,0.04983244368587017,0.05211638066748988,0.0521025394556557,1.0
8,88 days,0.0031865766793002723,0.05644977129537614,0.0540511299840077,0.05953222711685569,0.0564074894822273,1.0
9,95 days,0.0022843829779058706,0.047795219195081326,0.04258434994583509,0.04363197284324959,0.04458409622421805,1.0
10,102 days,0.0016029850070364649,0.040037295201305306,0.03204237402600731,0.02968735452576689,0.03364685862161037,1.0
11,109 days,0.0027668714003963642,0.05260105892846991,0.04099359432972054,0.02968735452576689,0.0439472946245535,1.0
12,116 days,0.007057973643570829,0.08401174705700881,0.06511575708742251,0.07232215916810913,0.0705148363950261,1.0
13,123 days,0.011755869048194928,0.1084244854642849,0.08454762984244302,0.09170070500962887,0.09342518311399932,1.0
14,130 days,0.01577998505040192,0.12561841047554262,0.11086272146503165,0.15069297663312198,0.12532601708293162,1.0
15,137 days,0.019895314187467684,0.1410507503966841,0.1383839491618071,0.15777781083044762,0.16138981293819268,1.0
16,144 days,0.03305412883257535,0.18180794491048885,0.17510218578461953,0.17100334662447506,0.21223398600286275,0.8
17,151 days,0.03605040489398206,0.18986944170661604,0.18385627248701192,0.17317168578007777,0.23569876407144033,0.6000000000000001
18,158 days,0.031874672888711944,0.17853479461637708,0.1676709616450454,0.18610816123171262,0.23183418582051407,0.6000000000000001
19,165 days,0.038891676570208304,0.19720972737217682,0.18626156539382033,0.24584197018525675,0.3115062102982432,0.4
20,172 days,0.046821097015154634,0.2163818315274058,0.20664320453338222,0.2981099691215449,0.40902963660184355,0.2
21,179 days,0.03525670338316775,0.18776768460831525,0.17743421196933018,0.3779425203461239,0.40253872306213734,0.4
22,186 days,0.02999825879283255,0.17320005425181756,0.15977269041416067,0.3779425203461239,0.4088753083357156,0.6000000000000001
23,193 days,0.02855148859440247,0.16897185740354065,0.14698303379534575,0.3779425203461239,0.3893577773767458,0.6000000000000001
24,200 days,0.019038974029925937,0.13798178876187225,0.11755752258507386,0.3779425203461239,0.3511079876062614,0.8
25,207 days,0.010970528936300211,0.10474029280224594,0.09668755921922959,0.3779425203461239,0.39197655004118326,1.0
26,214 days,0.013461013440748475,0.11602160764594013,0.10520339911477054,0.4667024829881746,0.7077001382191509,1.0
27,221 days,0.017817304294937625,0.13348147547482994,0.12045261991033838,1.568087854163623,1.0434185706101733,1.0
28,228 days,0.0207918602067268,0.14419382860138918,0.14041693602801877,36.64416749669733,1.4288832281510497,1.0
29,235 days,0.021862513952562068,0.14785977800795613,0.14570220474459047,422.23894593267454,1.7532028433122897,1.0
30,242 days,0.021761735931645942,0.14751859520631946,0.14534287246953698,inf,1.9774125692769895,1.0
31,249 days,0.02079072221753936,0.14418988250754405,0.14230706325292103,inf,1.9981142702534271,1.0
32,256 days,0.016490589993813688,0.12841569216343338,0.12732430119169297,inf,2.0,1.0
33,263 days,0.015065996036035473,0.12274361912553937,0.12072313290620629,inf,2.0,1.0
34,270 days,0.01371372818697637,0.11710562833176025,0.11375912302497074,inf,2.0,1.0
35,277 days,0.01091911044511258,0.10449454744202005,0.10064428940475836,inf,2.0,1.0
36,284 days,0.007046782374642409,0.08394511525182635,0.08257841780071568,inf,1.9927610739589476,1.0
37,291 days,0.006164400210385457,0.07851369441304783,0.07790261615167407,inf,1.9002899233736903,1.0
38,298 days,0.004496799810669277,0.06705818227978802,0.06042924205846879,108.51363081528565,1.5058779873279118,1.0
39,305 days,0.01291108452592531,0.11362695334261722,0.0885025162014086,6.6513468788560735,1.2266952446475057,0.8
40,312 days,0.07047901597484078,0.2654788428007791,0.1820617224344463,0.5607798455904545,0.9825518295827049,0.6000000000000001
41,319 days,0.0786556078718399,0.28045607119803967,0.2119581199368284,0.46395258844295806,0.6477242505188674,0.4
42,326 days,0.08113614343588084,0.28484406863384193,0.22316389067995945,0.2530214345136726,0.37269547641638234,0.4
43,333 days,0.08366112968313119,0.289242337293715,0.24484354064315403,0.2530214345136726,0.3943898393827312,0.4
44,340 days,0.07397987586564404,0.2719924187650164,0.20158297191044255,0.1502893394355722,0.2744020310086811,0.6000000000000001
45,347 days,0.015476942263899136,0.12440635941903909,0.09880442084842447,0.1463973200681723,0.1247178481543326,0.8
46,354 days,0.006831870982553636,0.08265513282642305,0.06425906239044615,0.04399884718669595,0.07539470003065132,1.0
47,361 days,0.00301492411675546,0.054908324658064916,0.03898354589884903,0.03134570615905786,0.045580329878387005,1.0
