,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.016491967483364088,0.12842105545183816,0.12636259319792398,0.1355289699663903,0.14173986980247172,0.8
1,39 days,0.013709372214918155,0.11708702838025294,0.11654890308395215,0.12331676315244289,0.13095291437277184,1.0
2,46 days,0.01483780361301221,0.12181052340833369,0.12092207365376545,0.1355289699663903,0.13514418084899718,1.0
3,53 days,0.016741767283701414,0.12938998138844218,0.12823814150907542,0.1355289699663903,0.13943904033087373,1.0
4,60 days,0.016350116016433998,0.12786757218479594,0.12618402958384664,0.1355289699663903,0.1376685711127798,1.0
5,67 days,0.015125702745438153,0.12298659579579456,0.12119224859150893,0.12041938731535864,0.13291329011666228,1.0
6,74 days,0.012868043401884847,0.11343739860330387,0.10765686226995241,0.11463420640396843,0.11858206673527838,1.0
7,81 days,0.009090686178606061,0.09534508995541438,0.08495580074394003,0.09623340667889169,0.09422389123153163,1.0
8,88 days,0.008238478566685591,0.09076606506115373,0.08193055039891413,0.09623340667889169,0.09103900345528215,1.0
9,95 days,0.00837319782177694,0.09150517920739208,0.08266249698438044,0.11463420640396843,0.09442086596545704,1.0
10,102 days,0.006215190365725669,0.07883647864869199,0.06796725107993729,0.05492710627311223,0.07877372602553515,1.0
11,109 days,0.008813405347660628,0.0938797387494268,0.08291266618194375,0.12540666275102252,0.09604045501763678,1.0
12,116 days,0.01645449096591522,0.12827505979696607,0.11707222136147005,0.13329387149313776,0.1343356788645374,0.8
13,123 days,0.020868725333416816,0.14446011675689874,0.13033310362609365,0.13329387149313776,0.15120484597714137,0.6000000000000001
14,130 days,0.025125290393957934,0.15850959085796018,0.14625568784539658,0.1884967371393814,0.16922557150230025,0.4
15,137 days,0.035042685780272656,0.18719691712277917,0.1840548894086268,0.19986978588842413,0.2145882471837079,0.2
16,144 days,0.043730986783941384,0.20911955141483396,0.20773150188626704,0.20609717756797086,0.2451760402510107,0.0
17,151 days,0.04254975398462419,0.2062759171222472,0.20461395469019406,0.21161363565263122,0.24809437564626396,0.0
18,158 days,0.03511185868815238,0.18738158577659753,0.1749853813927724,0.21161363565263122,0.2171732629767571,0.2
19,165 days,0.029783676392838264,0.17257947848118635,0.15204063654597744,0.21161363565263122,0.19536169368715112,0.4
20,172 days,0.021376893807601494,0.14620839171402403,0.12577090715926265,0.13691524698890428,0.17072070427231067,0.6000000000000001
21,179 days,0.017374626343641644,0.13181284589766523,0.11667161211529364,0.13691524698890428,0.17130857808025113,0.6000000000000001
22,186 days,0.014019541801594195,0.11840414604900537,0.10581462840154954,0.13691524698890428,0.19193993417521799,0.8
23,193 days,0.021804263073116285,0.147662666483835,0.13630279094203354,0.259878586961044,0.37354549045302093,0.6000000000000001
24,200 days,0.023728853294742787,0.15404172582369619,0.14742183812059298,0.40936268674594434,0.4796627759906922,0.6000000000000001
25,207 days,0.022541325450437938,0.1501376883078927,0.139438627163852,0.40936268674594434,0.5064739140517064,0.6000000000000001
26,214 days,0.02065581184946683,0.14372129921993756,0.13432583064416065,0.9189397855045418,0.7921094276607201,0.8
27,221 days,0.02114762457426548,0.1454222286112597,0.136188381522592,1.9339002642953134,1.1241474410328247,0.8
28,228 days,0.014105282204430764,0.1187656608807056,0.11135905853456055,12.644919947594454,1.3275079601748383,1.0
29,235 days,0.01257132626356024,0.11212192588231902,0.10319350581762098,inf,1.6015800749792621,1.0
30,242 days,0.012891155770052502,0.11353922568897722,0.10581612924845793,inf,1.9453735491308435,1.0
31,249 days,0.007953804384971523,0.0891841038805208,0.08529725597169702,inf,2.0,1.0
32,256 days,0.004511297234861127,0.06716619115940048,0.06562802341377907,inf,2.0,1.0
33,263 days,0.003316629145464659,0.05759018271775719,0.05360600985374977,inf,2.0,1.0
34,270 days,0.0023175434110790072,0.04814087048526446,0.042947680072109376,inf,2.0,1.0
35,277 days,0.0016689504921332562,0.04085279050607506,0.03670099288081071,inf,2.0,1.0
36,284 days,0.0011272011083315633,0.033573815814285445,0.03196294833223708,inf,2.0,1.0
37,291 days,0.001996949386481415,0.044687239638194425,0.03955133656289859,inf,2.0,1.0
38,298 days,0.003382093998046654,0.05815577355728883,0.05272602888767845,inf,2.0,1.0
39,305 days,0.005654801608215237,0.07519841493153454,0.07038167441527586,inf,2.0,1.0
40,312 days,0.011932014305580493,0.10923375991688876,0.09929031513902756,inf,2.0,0.8
41,319 days,0.014035955375345088,0.11847343742520974,0.11265213527531978,inf,1.6827789680493752,0.8
42,326 days,0.02479819319929946,0.1574744207777868,0.1462347376047105,inf,1.360736311390312,0.6000000000000001
43,333 days,0.034324061219837394,0.18526753957409106,0.17601247925775265,0.521900881163894,1.0214306558538464,0.4
44,340 days,0.04013161974224916,0.20032877911635452,0.19471536140183676,0.32621046387115793,0.6684974558092747,0.2
45,347 days,0.040145428530973706,0.20036324146652676,0.19475352054384548,0.263490729560447,0.30885247157089235,0.2
46,354 days,0.04375268074995727,0.20917141475344395,0.2073183070909355,0.21055824301925732,0.26494908330731914,0.0
47,361 days,0.03544984589538838,0.1882812945977066,0.18539868836908857,0.18328400639116832,0.2177162821532185,0.2
