,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.13377933293671057,0.3657585719251301,0.34830927090160557,0.9769886658134689,1.8892454882509306,0.0
1,39 days,0.16044580397190922,0.4005568673383459,0.39593106598595573,0.9770038128973678,1.905965601328379,0.0
2,46 days,0.18077100811361255,0.42517173955192805,0.41967128759984074,0.9770038128973678,1.911092095478994,0.0
3,53 days,0.2078615511461875,0.4559183601766741,0.4549118421423071,0.9770976167943134,1.9219202758985743,0.0
4,60 days,0.2197343483928685,0.468758304878824,0.4672208496882206,0.9812496377357164,1.9251910491532287,0.0
5,67 days,0.2756340655937288,0.5250086338277961,0.5150958629432122,0.9812496377357164,1.9283144940490153,0.0
6,74 days,0.33502078073777647,0.5788097966843482,0.5703683654170079,0.9812496377357164,1.927709153210405,0.0
7,81 days,0.33700917407347936,0.5805249125347501,0.5723871503537298,0.9811665564052927,1.9141059671115856,0.0
8,88 days,0.38157155263832787,0.6177147825965701,0.6114657237709757,0.9772202723079664,1.9084211328311904,0.0
9,95 days,0.413335052271833,0.6429113875736165,0.6387844550515401,0.9772202723079664,1.9078387690841863,0.0
10,102 days,0.3667914186062663,0.6056330725829513,0.6004939690822211,0.9772202723079664,1.9078612518675233,0.0
11,109 days,0.30171118846128975,0.5492824305048267,0.5377363725553117,0.9804935675877188,1.912502894887209,0.0
12,116 days,0.25580803850363815,0.5057746914423834,0.4650728099651783,0.9804935675877188,1.9198107429739186,0.0
13,123 days,0.16716900719135225,0.4088630665532805,0.34216317929738976,0.9804935675877188,1.9215486403634643,0.2
14,130 days,0.08311855452113903,0.28830288677212207,0.22069307499554425,0.9811957275880563,1.929106307780498,0.4
15,137 days,0.030693560719156524,0.17519577825723007,0.11988536832622057,0.9794877054825386,1.9176987975331574,0.6000000000000001
16,144 days,0.004541211282428313,0.06738851001786814,0.04772197635325552,0.9794877054825386,1.9316458954019011,0.8
17,151 days,0.0009391830558006427,0.03064609364667286,0.020911082737557915,0.9902191338440254,1.949997831257959,1.0
18,158 days,0.00037079106114846567,0.019255935738064396,0.010342818045471954,inf,1.9660778292179326,1.0
19,165 days,1.2993809452652263e-05,0.0036046926987820006,0.0019013852376440561,inf,1.9738267311698647,1.0
20,172 days,2.891700533343813e-07,0.0005377453424571722,0.0004505288883558815,inf,2.0,1.0
21,179 days,2.893875148719326e-07,0.0005379475019664397,0.00045066579582095633,inf,2.0,1.0
22,186 days,3.6778224712855935e-07,0.0006064505314768545,0.0005498125499320174,inf,2.0,1.0
23,193 days,3.234580205230198e-07,0.0005687336991272979,0.00045662682489482634,inf,2.0,1.0
24,200 days,4.182621657641034e-07,0.0006467319118182614,0.0005776116332715459,inf,2.0,1.0
25,207 days,3.502603074222553e-07,0.0005918279373451843,0.0005220886815153294,inf,2.0,1.0
26,214 days,2.401953991672094e-07,0.0004900973364212556,0.00042008870946645303,inf,2.0,1.0
27,221 days,1.7888738353074594e-07,0.0004229508050952805,0.00035692386393410507,inf,2.0,1.0
28,228 days,2.5725204048282497e-07,0.0005072001976368157,0.00048114661479583187,inf,2.0,1.0
29,235 days,5.272618386868612e-07,0.0007261279767966947,0.0006130004200591903,inf,2.0,1.0
30,242 days,6.959845334532205e-07,0.0008342568749810939,0.00072496331192766,inf,2.0,1.0
31,249 days,6.853622667248149e-07,0.0008278660922666268,0.0007014321214316828,inf,2.0,1.0
32,256 days,6.709404055336725e-07,0.0008191095198651231,0.0006734106531347142,inf,2.0,1.0
33,263 days,7.158539481742263e-07,0.0008460815257256397,0.0007052394533786227,inf,2.0,1.0
34,270 days,5.013423214326965e-07,0.0007080553095858377,0.0006088306854150927,inf,2.0,1.0
35,277 days,3.6637473721919793e-07,0.0006052889700128344,0.0005275403139140593,inf,2.0,1.0
36,284 days,3.93964477979145e-07,0.0006276658967788078,0.0005756010469771438,inf,2.0,1.0
37,291 days,4.4647226264944086e-07,0.0006681857994969969,0.000647252535845609,inf,2.0,1.0
38,298 days,4.951508401276763e-07,0.000703669553219177,0.0006756799934984745,inf,2.0,1.0
39,305 days,6.380673461383011e-07,0.0007987911780548788,0.0007442052206476557,inf,2.0,1.0
40,312 days,6.365671125286261e-07,0.0007978515604601059,0.0007430029672270006,inf,2.0,1.0
41,319 days,6.039395717780206e-07,0.0007771354912613506,0.0006718803080707682,inf,2.0,1.0
42,326 days,6.040866224524117e-07,0.0007772300962085885,0.0006720150003429009,inf,2.0,1.0
43,333 days,6.876284210729483e-07,0.0008292336347935654,0.0007126179390652607,inf,2.0,1.0
44,340 days,1.2500407413106722e-06,0.0011180522086694665,0.0008838546686308915,inf,2.0,1.0
45,347 days,4.051445832182293e-06,0.002012820367589292,0.0015184213968895742,inf,2.0,1.0
46,354 days,9.200211822062547e-06,0.003033185095252604,0.002522927666576517,inf,2.0,1.0
47,361 days,1.5113807747173228e-05,0.003887648099709287,0.0035066869265406235,inf,2.0,1.0
