,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.16138954819309279,0.4017331803487145,0.388901952768005,0.9643869133229062,1.8510399173959815,0.0
1,39 days,0.22216915383815455,0.4713482299087953,0.46491193082521387,0.9685768864751908,1.8757159089288813,0.0
2,46 days,0.23965404559594666,0.48954473298764706,0.4829145114949719,0.9685768864751908,1.8818557851365512,0.0
3,53 days,0.2784697497982074,0.5277023306734654,0.5252970171525329,0.9753999618265163,1.8966853576106932,0.0
4,60 days,0.27593242532076456,0.5252927044236999,0.5226974526824052,0.9753999618265163,1.9002909535506385,0.0
5,67 days,0.3236610705989721,0.5689121817987132,0.5656890776646023,0.9753999618265163,1.908277452571413,0.0
6,74 days,0.3139570381385393,0.5603186933688178,0.557154329743639,0.9749841966770063,1.9004444392344868,0.0
7,81 days,0.3242840602708186,0.5694594456770549,0.5664758882697867,0.9733493937210348,1.8913467954606848,0.0
8,88 days,0.30448103179124086,0.5517979990823099,0.5472830159266389,0.9659699689065351,1.8759598674715032,0.0
9,95 days,0.31882456978379553,0.5646455257803745,0.5611748110270766,0.9659699689065351,1.8723634704387435,0.0
10,102 days,0.2799249331678569,0.5290793259690431,0.527554956571823,0.9659699689065351,1.8678411618840365,0.0
11,109 days,0.2678856112600588,0.5175766718661678,0.5159366536899375,0.968589118963748,1.8756432388515392,0.0
12,116 days,0.21018047008275664,0.4584544362123205,0.44276272485109325,0.968589118963748,1.876916085639683,0.0
13,123 days,0.16646415933484926,0.40800019526324893,0.35298119760174285,0.968589118963748,1.8507090120470473,0.2
14,130 days,0.10574655951149348,0.3251869608571252,0.24294971779002805,0.9690103361855673,1.8750724401347507,0.4
15,137 days,0.05684603602326381,0.2384240676258666,0.1441157570871905,0.9753593637646093,1.8991189770901475,0.6000000000000001
16,144 days,0.009007729389627996,0.0949090585225035,0.04649001655965991,2.9100067873369517,1.9183574381575694,0.8
17,151 days,7.280965959676332e-05,0.008532857645405982,0.004432353999246961,inf,1.9434126708798272,1.0
18,158 days,5.753350286823289e-07,0.0007585084236067051,0.0006712081079155608,inf,2.0,1.0
19,165 days,4.37352541814085e-07,0.0006613263504610149,0.0005123095091580939,inf,2.0,1.0
20,172 days,7.190346092665995e-07,0.0008479590846654097,0.000696774530363678,inf,2.0,1.0
21,179 days,9.559857735707386e-07,0.0009777452498328685,0.0007961113344693113,inf,2.0,1.0
22,186 days,9.95071053112141e-07,0.0009975324822341079,0.0008135343180711489,inf,2.0,1.0
23,193 days,9.898443055028065e-07,0.000994909194601601,0.0007970625298663244,inf,2.0,1.0
24,200 days,1.147244186693834e-06,0.0010710948542000534,0.0009672547164465003,inf,2.0,1.0
25,207 days,8.565427202037423e-07,0.0009254959320298184,0.0007653630314288601,inf,2.0,1.0
26,214 days,5.123798901511094e-07,0.0007158071598909229,0.0005964407892068771,inf,2.0,1.0
27,221 days,2.896414012269306e-07,0.0005381834271202808,0.00046219758722681754,inf,2.0,1.0
28,228 days,2.9487034158012864e-07,0.0005430196511914911,0.00047867486138518844,inf,2.0,1.0
29,235 days,4.030745467713412e-07,0.000634881521838005,0.0005316930589213281,inf,2.0,1.0
30,242 days,4.5732385944210016e-07,0.000676257243541317,0.0006013557141555942,inf,2.0,1.0
31,249 days,6.074876762562967e-07,0.000779414957680629,0.0006924577844911905,inf,2.0,1.0
32,256 days,6.383674020585204e-07,0.0007989789747286973,0.0007199011383142171,inf,2.0,1.0
33,263 days,6.66338768585568e-07,0.0008162957604848673,0.0007647345273843736,inf,2.0,1.0
34,270 days,5.339090022121503e-07,0.0007306907705809279,0.0006975056531084253,inf,2.0,1.0
35,277 days,5.354832183498814e-07,0.0007317671886261924,0.0006988938539573615,inf,2.0,1.0
36,284 days,3.180829060363263e-07,0.0005639883917567154,0.0005164453688826995,inf,2.0,1.0
37,291 days,2.424407141461153e-07,0.0004923826907458418,0.00041864403980773277,inf,2.0,1.0
38,298 days,3.193416337157015e-07,0.0005651032062514789,0.00048407852913499817,inf,2.0,1.0
39,305 days,5.951612382636168e-07,0.0007714669391902784,0.0006068097635037299,inf,2.0,1.0
40,312 days,6.861502153580298e-07,0.0008283418469195129,0.0006693941616450573,inf,2.0,1.0
41,319 days,6.913565734356973e-07,0.0008314785465877621,0.0006841405301288033,inf,2.0,1.0
42,326 days,9.806442547696974e-07,0.000990274837996855,0.0008979101462947357,inf,2.0,1.0
43,333 days,1.3385215905418924e-06,0.0011569449384226946,0.0010545044389607566,inf,2.0,1.0
44,340 days,2.1313559251004146e-06,0.0014599164103127325,0.0012587308298410813,inf,2.0,1.0
45,347 days,6.034857886389968e-06,0.002456594774558875,0.001983116181635549,inf,2.0,1.0
46,354 days,1.5629364999283953e-05,0.003953399170243748,0.003326338451406773,inf,2.0,1.0
47,361 days,3.0177044978387997e-05,0.005493363721654338,0.004806973998420425,inf,2.0,1.0
