,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.1060372732020021,0.32563364875577905,0.30273917366529196,0.9306558869541436,1.7457309162978913,0.0
1,39 days,0.13301382026813477,0.3647105979652014,0.3458998491273898,0.9357402325928209,1.7493049605552122,0.0
2,46 days,0.16967233162160844,0.4119130146300411,0.3987461470878032,0.9407116006344493,1.7611500679827823,0.0
3,53 days,0.1906961620907503,0.43668771689933106,0.43512192099910385,0.9407116006344493,1.7698128038491672,0.0
4,60 days,0.20912931914327829,0.45730659206191016,0.4546682540950449,0.9407116006344493,1.7666205347911177,0.0
5,67 days,0.21325105299675676,0.4617911356844745,0.45892363043811807,0.9366179309160767,1.7593642903545672,0.0
6,74 days,0.22296715991269694,0.4721939854685751,0.46977836522761435,0.9366179309160767,1.756962226713177,0.0
7,81 days,0.19895769177881453,0.4460467372135061,0.4401238993525498,0.9323284619117473,1.7339399591686444,0.0
8,88 days,0.19309617685616692,0.43942710073022,0.4319725417934871,0.9323284619117473,1.728899317010739,0.0
9,95 days,0.1575287915482419,0.39689896894328397,0.38887619412676006,0.9247666222133367,1.7167765128550907,0.0
10,102 days,0.1256720625353148,0.3545025564580808,0.34843055586460264,0.9247666222133367,1.723131170465063,0.0
11,109 days,0.08111992579116735,0.28481559962749115,0.2636287299049962,0.9173674599731048,1.6662705728517206,0.2
12,116 days,0.05938956338664016,0.24369974022686228,0.20278443890590772,0.9173674599731048,1.64702646400511,0.4
13,123 days,0.03642524515755834,0.19085398910569917,0.13785361221471246,0.9247666222133367,1.675980832346608,0.6000000000000001
14,130 days,0.01784944806287415,0.13360182657012648,0.07877319678399927,0.9455248569990727,1.731956310296542,0.8
15,137 days,0.0007189403954188592,0.026813063894655143,0.021234170712892075,0.9581894285640142,1.7732850364310602,1.0
16,144 days,0.00020528318632063674,0.01432770694565731,0.011162127428400805,1.056300017603711,1.8808515192715565,1.0
17,151 days,6.522703242671263e-05,0.008076325428479999,0.005873280704954315,1.1318182811476054,1.967893916546955,1.0
18,158 days,2.332463016085449e-05,0.0048295579674391,0.0031733380950918926,inf,2.0,1.0
19,165 days,5.5325832314431024e-06,0.0023521443900073615,0.0015100839983884086,inf,2.0,1.0
20,172 days,1.3400714464946241e-06,0.0011576145500530927,0.0009155855948623626,inf,2.0,1.0
21,179 days,3.0140800222388788e-06,0.001736110601960278,0.0014339043235644545,inf,2.0,1.0
22,186 days,4.513585167021171e-06,0.002124519985083965,0.0019778308416527187,inf,2.0,1.0
23,193 days,6.037883454283734e-06,0.0024572105026398803,0.0023637608729694132,inf,2.0,1.0
24,200 days,7.766338469948985e-06,0.0027868151122650716,0.002760005943464123,inf,2.0,1.0
25,207 days,9.129521345686653e-06,0.0030215097791810395,0.003014664447157125,inf,2.0,1.0
26,214 days,1.2468539064518216e-05,0.00353108185468961,0.003435869036126145,inf,2.0,1.0
27,221 days,1.6321042626438866e-05,0.004039931017534689,0.003922833106488659,inf,2.0,1.0
28,228 days,1.9716698334092514e-05,0.004440348897788608,0.0043472225576593315,inf,2.0,1.0
29,235 days,2.389261098978975e-05,0.004888006852469598,0.004825347504466439,inf,2.0,1.0
30,242 days,2.6343916437249013e-05,0.005132632505571485,0.005126740858208684,inf,2.0,1.0
31,249 days,2.151715999282663e-05,0.004638659288288657,0.004326695023279353,inf,2.0,1.0
32,256 days,1.616508435366141e-05,0.004020582588837271,0.003292748937208275,inf,2.0,1.0
33,263 days,1.188934776771198e-05,0.0034480933525228084,0.0026923110263891645,inf,2.0,1.0
34,270 days,6.893209958725244e-06,0.002625492326921799,0.002068046458129296,inf,2.0,1.0
35,277 days,3.6070015969221104e-06,0.001899210782646863,0.0016256525414734947,inf,2.0,1.0
36,284 days,5.704073176703751e-06,0.00238832015791513,0.0021011437464986205,inf,2.0,1.0
37,291 days,8.239177921442094e-06,0.0028703968229919176,0.002812535280444452,inf,2.0,1.0
38,298 days,9.593263747585977e-06,0.0030972994281447796,0.0030643270707428165,inf,2.0,1.0
39,305 days,1.0498981165337467e-05,0.0032402131357886733,0.00322380402339781,inf,2.0,1.0
40,312 days,9.718814922401023e-06,0.0031175013909220672,0.0030428550354339046,inf,2.0,1.0
41,319 days,7.548760903574305e-06,0.0027475008468741745,0.0025275672653294946,inf,2.0,1.0
42,326 days,5.116214729486592e-06,0.0022619051106283375,0.001958733567733548,inf,2.0,1.0
43,333 days,3.6100311229020115e-06,0.001900008190219719,0.0016681916401875148,inf,2.0,1.0
44,340 days,6.347389058648196e-06,0.0025194025201718353,0.0020038573181481107,inf,2.0,1.0
45,347 days,1.939664724828292e-05,0.004404162491130739,0.003314213204407604,inf,2.0,1.0
46,354 days,4.038308412938476e-05,0.006354768613363099,0.005205963929344796,inf,2.0,1.0
47,361 days,6.140883097021911e-05,0.007836378689817071,0.00711838467267458,inf,2.0,1.0
