,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.09885640459800984,0.31441438357366835,0.2842065834912719,0.9446003223038487,1.8046069595573744,0.0
1,39 days,0.11773642453917425,0.3431274173527587,0.31978633184756533,0.9505112622759014,1.8088762116136963,0.0
2,46 days,0.15386977476176777,0.3922623799980923,0.3779437615637033,0.9598055717576904,1.8277342332171533,0.0
3,53 days,0.17794665394659895,0.4218372363205967,0.419354973048099,0.9598055717576904,1.8401910876131096,0.0
4,60 days,0.1985607846800204,0.445601598605773,0.44155710141332694,0.9598055717576904,1.8394703841974873,0.0
5,67 days,0.20337535746415225,0.45097157057197323,0.4464140455019012,0.9580762265952907,1.833464267094973,0.0
6,74 days,0.2250135469583211,0.47435592855820946,0.4722447717458199,0.9580762265952907,1.8360316977238378,0.0
7,81 days,0.21079782488348087,0.45912724258475546,0.45503533719308037,0.9540341921731563,1.8229541011131156,0.0
8,88 days,0.19401666027061928,0.440473223102857,0.429672866362899,0.9540341921731563,1.8061395608792092,0.0
9,95 days,0.14984733245751583,0.38710119149586175,0.37012524341262754,0.9418120874439928,1.7836863875356266,0.0
10,102 days,0.10975069739501342,0.33128642802718833,0.31646813012230895,0.9418120874439928,1.780416535303673,0.0
11,109 days,0.06412335713265856,0.25322590138581513,0.23469781004984003,0.9305595288388985,1.7512621990803974,0.2
12,116 days,0.03787507683331047,0.19461520195840423,0.17574065846656145,0.9305595288388985,1.761172652743023,0.4
13,123 days,0.02396301308735683,0.15479991307283356,0.13109604128939953,0.9536200386302252,1.7930957900889641,0.6000000000000001
14,130 days,0.014354643159230148,0.11981086411185819,0.0937500859635456,0.955504280351923,1.8448015067866488,0.8
15,137 days,0.0029709103559850125,0.05450605797510046,0.05004217783596567,0.9728993875214683,1.8802608718983893,1.0
16,144 days,0.0018587613634265983,0.04311335481526111,0.03519483312293646,0.9997004652818843,1.9445718508974705,1.0
17,151 days,0.0007274022620537086,0.026970396030716878,0.02018430607702788,1.0186614849812654,1.9786520056064387,1.0
18,158 days,0.00033676785962308796,0.018351235915411473,0.011442933486375767,inf,1.9997604439808523,1.0
19,165 days,8.7999966680226e-05,0.00938082974369677,0.004528821431250785,inf,2.0,1.0
20,172 days,3.9120031512555086e-07,0.0006254600827595242,0.0005457682059834086,inf,2.0,1.0
21,179 days,8.824272653422831e-07,0.0009393759978529806,0.0007993806009950541,inf,2.0,1.0
22,186 days,1.3818438627587462e-06,0.0011755185505804432,0.0010851828169564487,inf,2.0,1.0
23,193 days,1.950071375946963e-06,0.0013964495608316696,0.001338170415683593,inf,2.0,1.0
24,200 days,2.76408019859829e-06,0.0016625523145448057,0.0016246400261877099,inf,2.0,1.0
25,207 days,3.520417599867388e-06,0.001876277591367383,0.001857691277555584,inf,2.0,1.0
26,214 days,4.73579307227372e-06,0.0021761877382876966,0.0021252357509004465,inf,2.0,1.0
27,221 days,5.619810656972708e-06,0.0023706139831218215,0.0023345657427272393,inf,2.0,1.0
28,228 days,6.199535368497789e-06,0.0024898866175988394,0.0024725628384762964,inf,2.0,1.0
29,235 days,6.6726664409591105e-06,0.002583150487478248,0.002571755293086196,inf,2.0,1.0
30,242 days,6.622408175438508e-06,0.0025734040054834974,0.0025602093554365248,inf,2.0,1.0
31,249 days,4.895887617617887e-06,0.00221266527464456,0.001994304538974417,inf,2.0,1.0
32,256 days,3.5092243420211426e-06,0.0018732923802816106,0.0014865154037830308,inf,2.0,1.0
33,263 days,2.6826108509814928e-06,0.0016378677757931171,0.0012692520059969185,inf,2.0,1.0
34,270 days,1.8227967558038973e-06,0.001350109905083248,0.001067207574558883,inf,2.0,1.0
35,277 days,1.6764682393073373e-06,0.001294785016636869,0.0010316691572200545,inf,2.0,1.0
36,284 days,2.6340473111094764e-06,0.0016229748337880895,0.0014477160687593163,inf,2.0,1.0
37,291 days,3.589259687140661e-06,0.001894534160985402,0.0018660369310792805,inf,2.0,1.0
38,298 days,4.032753224104858e-06,0.002008171612214668,0.0019974303307606937,inf,2.0,1.0
39,305 days,4.3643027502606624e-06,0.002089091369533813,0.002087181368861201,inf,2.0,1.0
40,312 days,3.786768025583656e-06,0.0019459619794804975,0.001892481570968894,inf,2.0,1.0
41,319 days,2.8414898849533207e-06,0.0016856719387097006,0.0015086131936195499,inf,2.0,1.0
42,326 days,1.9268633277693174e-06,0.0013881150268509152,0.0011632234236250622,inf,2.0,1.0
43,333 days,1.3475907918284935e-06,0.0011608577827746573,0.0009761856722454675,inf,2.0,1.0
44,340 days,2.1313748899830265e-06,0.001459922905492967,0.001134952711340492,inf,2.0,1.0
45,347 days,6.856345438331825e-06,0.002618462418735817,0.0019279978317126867,inf,2.0,1.0
46,354 days,1.5442131957420138e-05,0.003929647815952486,0.003185210148146927,inf,2.0,1.0
47,361 days,2.519485942624866e-05,0.005019448119688922,0.004492748832622258,inf,2.0,1.0
