,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.13504717373578637,0.36748765113373044,0.36123260493570114,0.6092993884276723,0.8393513120303455,0.0
1,39 days,0.15986071808288255,0.399825859697547,0.3934709836890356,0.6071720619596179,0.8364749209881744,0.0
2,46 days,0.18526138500578115,0.4304200099969577,0.42026187638678475,0.6071720619596179,0.8383800703250334,0.0
3,53 days,0.2318775004554706,0.48153660344305144,0.475497000810673,0.6092993884276723,0.8922510790620872,0.0
4,60 days,0.2674460674849576,0.5171518804809256,0.515538043213201,0.6490521922640514,0.9338382854793712,0.0
5,67 days,0.2700304504290129,0.5196445423835537,0.518265815036995,0.6490521922640514,0.9368894422889178,0.0
6,74 days,0.2725576738585147,0.5220705640605633,0.5209422115454223,0.6490521922640514,0.9394333130911634,0.0
7,81 days,0.281106579006681,0.5301948500378715,0.528573663579698,0.6530301370983536,0.9463470728812788,0.0
8,88 days,0.28576973074179146,0.5345743453831202,0.5326620834577676,0.6530301370983536,0.9539704868036027,0.0
9,95 days,0.313130036156251,0.5595802320992505,0.5554188745599719,0.6646427034132498,0.9865712853220159,0.0
10,102 days,0.34429885964581347,0.5867698523661671,0.5836915581593376,0.6792981614492821,1.0399305094742277,0.0
11,109 days,0.3958811075164055,0.629190835531165,0.6275239246996839,0.7231186236792986,1.119556568468329,0.0
12,116 days,0.4294174143042807,0.6552994844376735,0.6535510645242214,0.7334958723508572,1.1947626376965998,0.0
13,123 days,0.38520288253539936,0.620647148173098,0.6055427165263624,0.7334958723508572,1.2167215388495018,0.0
14,130 days,0.30056789711244436,0.548240729162331,0.49377345993179683,0.7334958723508572,1.1242599083426446,0.2
15,137 days,0.22481115481664202,0.47414254693777697,0.38725467473349495,0.7255006140081652,1.0256892260166501,0.4
16,144 days,0.1316993215812134,0.3629040115253803,0.2770674710740475,0.6441425214993405,0.959180795161495,0.6000000000000001
17,151 days,0.031457035724804794,0.1773613140591961,0.14398798033892735,0.5020545841600659,0.7875074238972702,0.8
18,158 days,0.00838219381080451,0.0915543216391477,0.08055771666933045,0.5020545841600659,0.7751197227485886,1.0
19,165 days,0.006418662544814493,0.08011655599696291,0.061642972967772935,0.6441425214993405,1.0410548686220975,1.0
20,172 days,0.005039974228599434,0.07099277589022304,0.05036081278495042,2.3315764928454987,1.3079655487932298,1.0
21,179 days,0.0008704336686967916,0.029503112864523152,0.02652091404630042,inf,1.5179330323338598,1.0
22,186 days,0.0004877522133397693,0.022085112934729794,0.01853960007054114,inf,1.8153097373851377,1.0
23,193 days,0.00039800778250341534,0.01995013239313001,0.01582480768668048,inf,2.0,1.0
24,200 days,0.00048012852056140114,0.021911835171007497,0.01905780311208197,inf,2.0,1.0
25,207 days,0.00027973392855579356,0.016725248235999177,0.014268848828832722,inf,2.0,1.0
26,214 days,0.00014326885574632108,0.011969496887769389,0.010630296911568148,inf,2.0,1.0
27,221 days,0.00014572594983861445,0.01207170037064433,0.01089297542213219,inf,2.0,1.0
28,228 days,0.00019086655895337787,0.013815446389942594,0.012525708396023596,inf,2.0,1.0
29,235 days,0.0001714526400613829,0.01309399251799782,0.012028960814427447,inf,2.0,1.0
30,242 days,0.00026557078798486634,0.01629634277943571,0.01493230715248005,inf,2.0,1.0
31,249 days,0.0003052784973796411,0.017472220734057853,0.016417378121271118,inf,2.0,1.0
32,256 days,0.00037114647316075747,0.01926516216284611,0.019133697051299234,inf,2.0,1.0
33,263 days,0.00041949617187163736,0.020481605695639133,0.020295405514712195,inf,2.0,1.0
34,270 days,0.0004209599346337712,0.020517308172218186,0.0203351846837885,inf,2.0,1.0
35,277 days,0.0003739399635908081,0.01933752733910952,0.01919480835348115,inf,2.0,1.0
36,284 days,0.0003800126826402426,0.019493913989762104,0.019368165712585574,inf,2.0,1.0
37,291 days,0.0003511410161408485,0.018738757059657093,0.0185069554831929,inf,2.0,1.0
38,298 days,0.0003398095413631387,0.01843392365621434,0.01826169456957906,inf,2.0,1.0
39,305 days,0.00035049999759275097,0.018721645162558524,0.018540175144063774,inf,2.0,1.0
40,312 days,0.00032607499353808235,0.018057546719808932,0.017769049143916266,inf,2.0,1.0
41,319 days,0.0003025991410368009,0.01739537700185888,0.0170412984082917,inf,2.0,1.0
42,326 days,0.0002994791703537104,0.01730546648760762,0.016932491739533224,inf,2.0,1.0
43,333 days,0.0002429313530391193,0.015586255260296467,0.01542130497975875,inf,2.0,1.0
44,340 days,0.00016561941390814735,0.012869320646722086,0.012045564999438173,inf,2.0,1.0
45,347 days,0.0003375547567800621,0.018372663301221795,0.015754131703481486,inf,2.0,1.0
46,354 days,0.0014125354587847898,0.03758371267962746,0.027831635543628337,inf,2.0,1.0
47,361 days,0.004140563888315536,0.06434721352409548,0.04854557659927576,inf,2.0,1.0
