,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.13409241753853499,0.3661863153348784,0.3602521698564798,0.5848575060495024,0.7776132685939348,0.0
1,39 days,0.15172669534319488,0.38952111026643327,0.3840553218318222,0.561681184564296,0.7681763353932116,0.0
2,46 days,0.17106794322120147,0.4136036063928861,0.405695946254793,0.561681184564296,0.7690508638423699,0.0
3,53 days,0.2122655965740601,0.46072290650027387,0.4557591591263705,0.5848575060495024,0.8177058808095403,0.0
4,60 days,0.2407170762411808,0.490629265577565,0.489281989891261,0.6049380866637165,0.852747682523815,0.0
5,67 days,0.2399978287240926,0.4898957325024301,0.4885148890668163,0.6049380866637165,0.851671610719338,0.0
6,74 days,0.2431037016548977,0.49305547523062526,0.49205414388212676,0.6049380866637165,0.8547097766557888,0.0
7,81 days,0.24649492038244786,0.4964825479132654,0.49538344800396966,0.6099395838794841,0.8572209629604857,0.0
8,88 days,0.2423850347980715,0.4923261467747488,0.4914831159410571,0.6099395838794841,0.8558071370180599,0.0
9,95 days,0.26088017680740644,0.510764306512707,0.5082911681910914,0.6110205325691509,0.8811732757274138,0.0
10,102 days,0.28900116642253126,0.5375882870957395,0.5346780870886819,0.6227058153523989,0.9280490763503241,0.0
11,109 days,0.340932043265996,0.5838938630145003,0.5808031357816136,0.6686208924572248,1.0056522792126614,0.0
12,116 days,0.385904090670836,0.6212117921215243,0.6176771525727022,0.6909149045342433,1.0873670947690968,0.0
13,123 days,0.35642668195515004,0.5970148088239939,0.5835419872635229,0.694461127141798,1.1192918459782502,0.0
14,130 days,0.28837710882004974,0.5370075500587024,0.48555672988914356,0.694461127141798,1.0419581575733996,0.2
15,137 days,0.21733161856759287,0.46618839385766875,0.37739315020661196,0.694461127141798,0.920484048153427,0.4
16,144 days,0.13125527360516076,0.36229169684821755,0.27617550681665526,0.6542459437981615,0.8781000222617614,0.4
17,151 days,0.034274898391112904,0.18513481139729746,0.15354293438065952,0.5541910868096148,0.7737462356662503,0.6000000000000001
18,158 days,0.01036880496215135,0.10182732915161505,0.08867394057485622,0.5541910868096148,0.733448429501676,0.8
19,165 days,0.008283813721410266,0.09101545869471991,0.06942450610868882,0.6542459437981615,1.0099014254969103,0.8
20,172 days,0.007859992178681906,0.08865659692703023,0.06488213299216232,1.5161122992641627,1.3202617098714837,0.8
21,179 days,0.0020783359152473937,0.045588769617608604,0.03585689293395032,inf,1.525799448128158,1.0
22,186 days,0.0005067225052930201,0.022510497668710484,0.019231437626375802,inf,1.772475981450473,1.0
23,193 days,0.00042219200625179395,0.020547311411758813,0.016430465388156,inf,2.0,1.0
24,200 days,0.0004944303732179406,0.022235790366387714,0.01921170509225308,inf,2.0,1.0
25,207 days,0.0002599475377094268,0.01612288862795457,0.013865943792815905,inf,2.0,1.0
26,214 days,0.000137137218590213,0.011710560131360626,0.010620474504877648,inf,2.0,1.0
27,221 days,0.00014481497514418605,0.012033909387401337,0.011164159606973267,inf,2.0,1.0
28,228 days,0.00019016718467014879,0.013790111844004341,0.012965294392741163,inf,2.0,1.0
29,235 days,0.0001953275173473559,0.013975962125998907,0.013092658253100875,inf,2.0,1.0
30,242 days,0.0003071487309824723,0.017525659216773338,0.0164091332075051,inf,2.0,1.0
31,249 days,0.00033176676590227394,0.018214465841804802,0.017345378675682678,inf,2.0,1.0
32,256 days,0.00038282334460196195,0.01956587193564248,0.019273459004276083,inf,2.0,1.0
33,263 days,0.00045706086096475605,0.02137898175696766,0.02100602511711855,inf,2.0,1.0
34,270 days,0.00044282532290794934,0.021043415191169645,0.020644204389288334,inf,2.0,1.0
35,277 days,0.0003691410155812851,0.01921304285065968,0.018864400692236633,inf,2.0,1.0
36,284 days,0.0003717395858907881,0.019280549418799975,0.018947185197526216,inf,2.0,1.0
37,291 days,0.0003321991958501132,0.018226332484899785,0.017602058637414618,inf,2.0,1.0
38,298 days,0.00029117639318406634,0.017063891501766716,0.01673223108506377,inf,2.0,1.0
39,305 days,0.0002936997684439415,0.017137671033251322,0.016798866730576074,inf,2.0,1.0
40,312 days,0.0002714129063962278,0.0164746139983985,0.016019761012262382,inf,2.0,1.0
41,319 days,0.00025807352145154985,0.01606466686400779,0.015568284180892174,inf,2.0,1.0
42,326 days,0.00026178933743979004,0.01617990535942006,0.01572666310901615,inf,2.0,1.0
43,333 days,0.00020818856635589767,0.014428740983048301,0.01420386487459031,inf,2.0,1.0
44,340 days,0.00014122464244866161,0.011883797475919118,0.011479489460692984,inf,2.0,1.0
45,347 days,0.0004410854835850901,0.021002035224832145,0.017137315867452693,inf,2.0,1.0
46,354 days,0.002018525048934754,0.044927998496870014,0.032378825947331255,inf,2.0,1.0
47,361 days,0.0059511193812861445,0.07714349863265306,0.05810310199086434,inf,2.0,1.0
