,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.11748761550630667,0.3427646649033512,0.3416936428779853,0.6033692344698592,0.8720704619132424,0.0
1,39 days,0.13101587564429854,0.3619611521203602,0.3605926739524789,0.6033692344698592,0.8613313297952351,0.0
2,46 days,0.1392343567475185,0.37314120215746543,0.3713694182974148,0.6033692344698592,0.8582040590343565,0.0
3,53 days,0.14332807987668136,0.3785869515404372,0.3771831071964871,0.6121508537378747,0.866511762311347,0.0
4,60 days,0.15794765911490974,0.39742629394003326,0.39700342236308417,0.6233356751587714,0.9027628698693022,0.0
5,67 days,0.16137052258507975,0.4017095002425008,0.4013098376992198,0.6233356751587714,0.9140114063176082,0.0
6,74 days,0.18924531395124516,0.4350233487426223,0.4304648841702008,0.6350527087729698,0.9398234777277511,0.0
7,81 days,0.19206579356989117,0.4382531158701455,0.43384911791408304,0.6233356751587714,0.9299871856513277,0.0
8,88 days,0.24973166461890145,0.4997315925763564,0.49056280549874265,0.647176954865352,0.9733277444736232,0.0
9,95 days,0.2739122420366598,0.5233662599333853,0.5156896223850486,0.6716338627344383,0.9995020702405083,0.0
10,102 days,0.3221666196201099,0.5675972336261954,0.5617849919953339,0.7045170249102468,1.0676478220236287,0.0
11,109 days,0.2917778097213966,0.540164613540536,0.5294656331009875,0.7060476636185333,1.0836650203636098,0.0
12,116 days,0.26767290457454435,0.5173711477987001,0.493521250537695,0.7060476636185333,1.1051192932308156,0.0
13,123 days,0.18421560326523712,0.42920345206584387,0.3782449599998958,0.7045170249102468,0.9949887862344824,0.2
14,130 days,0.12504434452020224,0.3536160976542248,0.27107710117657324,0.6615833579081812,0.7991678775501989,0.4
15,137 days,0.043919770118840754,0.2095704419016211,0.15285423172568663,0.6615833579081812,0.8086086498564077,0.6000000000000001
16,144 days,0.013923666477896963,0.11799858676228696,0.08299001869579849,0.6615833579081812,0.9067548116746573,0.8
17,151 days,0.00200402714444995,0.04476636175131893,0.038984782930012785,3.5785055042807437,1.109033612728957,1.0
18,158 days,0.0009155398514279401,0.030257889077527206,0.02460596363825616,7.570174361337936,1.3947087709252242,1.0
19,165 days,0.0009803498558176487,0.03131053905345049,0.02692821854167616,inf,1.772999372084953,1.0
20,172 days,0.0007220128593048542,0.02687029697090924,0.023644253189181653,inf,1.9164069566765807,1.0
21,179 days,0.00046711800207573236,0.021612912854951604,0.019256069087318427,inf,2.0,1.0
22,186 days,0.00033848252711606724,0.018397894638139095,0.014521800727389506,inf,2.0,1.0
23,193 days,0.0003401349849077042,0.01844274884358902,0.014830626598026333,inf,2.0,1.0
24,200 days,0.0002641993969852344,0.016254211669140844,0.01153502150719796,inf,2.0,1.0
25,207 days,0.00011213827188882443,0.010589535961921298,0.008197228272594647,inf,2.0,1.0
26,214 days,5.871408479863404e-05,0.007662511650799236,0.006125475734282319,inf,2.0,1.0
27,221 days,8.004232714687425e-05,0.008946637756547107,0.007870283221099773,inf,2.0,1.0
28,228 days,0.00014757972514567482,0.012148239590396414,0.010920161258382199,inf,2.0,1.0
29,235 days,0.00022282598470447078,0.014927356922927473,0.014198284943072926,inf,2.0,1.0
30,242 days,0.00023612065454204598,0.015366217964809883,0.01462698075223491,inf,2.0,1.0
31,249 days,0.0002534135468287019,0.01591896814585361,0.01550053687253971,inf,2.0,1.0
32,256 days,0.00023277659675627414,0.015257017950971747,0.013916380827079005,inf,2.0,1.0
33,263 days,0.0001759842301957468,0.013265904801246948,0.011797013379702553,inf,2.0,1.0
34,270 days,0.00011452243471865537,0.010701515533729574,0.009647952957498068,inf,2.0,1.0
35,277 days,6.472390316569978e-05,0.008045116727910154,0.007348822173203673,inf,2.0,1.0
36,284 days,3.895961924946321e-05,0.006241764113571035,0.005760705651484699,inf,2.0,1.0
37,291 days,5.435461185400051e-05,0.007372558026492604,0.007077570612081878,inf,2.0,1.0
38,298 days,7.932963501448847e-05,0.008906718532348963,0.008217897089449935,inf,2.0,1.0
39,305 days,9.611248896344457e-05,0.009803697718893854,0.008990662823874746,inf,2.0,1.0
40,312 days,0.00010013889461546283,0.01000694232098211,0.009330118837538334,inf,2.0,1.0
41,319 days,9.702946935048428e-05,0.009850353767783383,0.008755094095586748,inf,2.0,1.0
42,326 days,9.796711455779589e-05,0.00989783383159143,0.008805701030730912,inf,2.0,1.0
43,333 days,0.00019275694254150926,0.013883693404188572,0.011200698294878342,inf,2.0,1.0
44,340 days,0.0007027160783681797,0.02650879247284153,0.01906058980652219,inf,2.0,1.0
45,347 days,0.0025115382824604554,0.0501152499989819,0.03677309891363941,inf,2.0,1.0
46,354 days,0.0059255232795226214,0.07697742058241898,0.0626514765804569,inf,2.0,1.0
47,361 days,0.010594431605714844,0.10292925534421613,0.09138887486867037,inf,2.0,0.8
