,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.09901988800329127,0.3146742569758309,0.3104195762711939,0.5709337260229608,0.7818595711426732,0.0
1,39 days,0.1076595175395962,0.32811509800616645,0.3245671745541525,0.5640862027591249,0.7791899922190555,0.0
2,46 days,0.11536560379573263,0.33965512478944376,0.3353815687735945,0.5640862027591249,0.7839761962000882,0.0
3,53 days,0.1235303050460317,0.3514687824630115,0.34874505486032753,0.5892433097223151,0.8096693221181872,0.0
4,60 days,0.1316398132237305,0.3628220131465709,0.3618364322780002,0.5892433097223151,0.840204770906479,0.0
5,67 days,0.12852276233518353,0.35850071455323984,0.35787986600787025,0.5897587352885385,0.8404120284788267,0.0
6,74 days,0.14022464011238944,0.374465806332687,0.37330651766275696,0.5974038917546793,0.8536464163547883,0.0
7,81 days,0.16509579153845672,0.40631981435619985,0.40081329578752983,0.5974038917546793,0.8688552582325167,0.0
8,88 days,0.2322850554732838,0.4819595994202043,0.46731708584760134,0.5974038917546793,0.9231231206971369,0.0
9,95 days,0.26384514740957077,0.51365859032004,0.5037214044170736,0.6528214458797721,0.9662645149172638,0.0
10,102 days,0.3302530050472916,0.5746764350896003,0.5654110708690004,0.6875168214244153,1.0474120380792944,0.0
11,109 days,0.34185394364453026,0.5846827718041042,0.5782992340787779,0.720510763778844,1.1084298169065607,0.0
12,116 days,0.3078512735184595,0.5548434675820375,0.5377766134100974,0.720510763778844,1.1310745206262927,0.0
13,123 days,0.22343509524674032,0.4726892163427682,0.4373848062697022,0.7023064886044902,1.089314654330235,0.0
14,130 days,0.1684676629305473,0.4104481245304299,0.33558184551633374,0.7023064886044902,0.9156298381407983,0.2
15,137 days,0.07290652185184174,0.27001207723330034,0.20534167965069294,0.7023064886044902,0.8266029041347207,0.4
16,144 days,0.026649490934198026,0.1632467179890549,0.11612659063540354,0.7023064886044902,0.7738719662627708,0.6000000000000001
17,151 days,0.006656362040707108,0.08158653100057085,0.05972832460998565,1.3250126106143003,0.9573935813630124,0.8
18,158 days,0.0009229881967786754,0.030380720807424492,0.02722051280252725,1.6143120234180353,1.1739039517252707,1.0
19,165 days,0.0008945693605388011,0.02990935239250093,0.02609770933737062,inf,1.5380571464365365,1.0
20,172 days,0.0006228629804223332,0.024957223011030958,0.021555524373018907,inf,1.778657737678264,1.0
21,179 days,0.0003734871826621204,0.01932581648112494,0.01591477065108935,inf,2.0,1.0
22,186 days,0.00012056230464249961,0.01098008673201171,0.010074197269245681,inf,2.0,1.0
23,193 days,0.00012110736114657446,0.011004878970101146,0.01011306220759713,inf,2.0,1.0
24,200 days,0.00010245456755249197,0.010121984368318892,0.008529405112766631,inf,2.0,1.0
25,207 days,4.8857278887909325e-05,0.006989798200800172,0.006565140283106022,inf,2.0,1.0
26,214 days,3.6073739270784094e-05,0.006006141795760744,0.0050365047406935445,inf,2.0,1.0
27,221 days,3.570890789423658e-05,0.005975693089026291,0.005010391959553497,inf,2.0,1.0
28,228 days,7.422111384906046e-05,0.00861516766227219,0.006706879747422086,inf,2.0,1.0
29,235 days,0.00013071784930897919,0.011433190688035392,0.009704418191452714,inf,2.0,1.0
30,242 days,0.00014450026802069056,0.012020826428357185,0.010367641158568162,inf,2.0,1.0
31,249 days,0.000150233858520658,0.012256992229770646,0.01136895157808678,inf,2.0,1.0
32,256 days,0.00014122196353928994,0.0118836847627026,0.010321472415978541,inf,2.0,1.0
33,263 days,9.802139212654508e-05,0.009900575343208347,0.0082442876439954,inf,2.0,1.0
34,270 days,4.640970708957169e-05,0.006812467034017243,0.005921882404112603,inf,2.0,1.0
35,277 days,1.8568652626996735e-05,0.004309135949003783,0.004000523505000458,inf,2.0,1.0
36,284 days,1.8807874418834894e-05,0.004336804632311086,0.004022585929579584,inf,2.0,1.0
37,291 days,3.586408216139262e-05,0.005988662802445352,0.005563360709489955,inf,2.0,1.0
38,298 days,6.0960316932383264e-05,0.0078077088145232,0.0069926710550473024,inf,2.0,1.0
39,305 days,6.845149478033995e-05,0.008273541852214199,0.007551487619780591,inf,2.0,1.0
40,312 days,6.828888766511288e-05,0.008263709074326907,0.007516970510749629,inf,2.0,1.0
41,319 days,6.421370199181615e-05,0.008013345243518225,0.007041888190332238,inf,2.0,1.0
42,326 days,9.412348737251026e-05,0.00970172599966162,0.008247772918230875,inf,2.0,1.0
43,333 days,0.0003219217228836287,0.017942177205780483,0.012964982830711236,inf,2.0,1.0
44,340 days,0.001334871804188158,0.03653589747341863,0.02567033264700761,inf,2.0,1.0
45,347 days,0.004387294391774171,0.06623665444279452,0.04992865236156538,inf,2.0,1.0
46,354 days,0.009905390467118557,0.09952582814083266,0.08253496276127514,inf,2.0,0.8
47,361 days,0.016769974766306813,0.1294989373172877,0.11663265586901052,inf,2.0,0.6000000000000001
