,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.13884088443618658,0.372613585952239,0.3701991944962389,0.7798095720998524,1.2881544206461597,0.0
1,39 days,0.16299091847018643,0.40372133764539425,0.40257797616111274,0.7909231563967046,1.294180885354961,0.0
2,46 days,0.17413236504628388,0.41729170258499493,0.41592758927860857,0.7909231563967046,1.293429483217755,0.0
3,53 days,0.22282053033064786,0.47203869579796937,0.4616468357662395,0.7909231563967046,1.330182500295787,0.0
4,60 days,0.2322000263686906,0.4818713794869857,0.47288958336807563,0.807650169707877,1.3509050808072554,0.0
5,67 days,0.30545311429486377,0.5526781290180242,0.5409599586113674,0.8099521799215226,1.4061596306434,0.0
6,74 days,0.3070760303203147,0.554144412874762,0.5427305284161121,0.8099521799215226,1.3906824503852766,0.0
7,81 days,0.30702577322490127,0.5540990644504836,0.5426747528072468,0.8099521799215226,1.3616387054295211,0.0
8,88 days,0.2687515994344549,0.5184125764624686,0.5085971066521442,0.7842550548198857,1.3138006527948027,0.0
9,95 days,0.28197374449751844,0.5310120003328723,0.5223788825331718,0.7842550548198857,1.3250081997573862,0.0
10,102 days,0.2644547069439521,0.5142515988735009,0.509417994821091,0.7842550548198857,1.3485577581407349,0.0
11,109 days,0.2559652021677624,0.5059300368309461,0.4997385149367643,0.8294671813838025,1.4070553676278426,0.0
12,116 days,0.23590074042011383,0.4856961400094856,0.4737007569855778,0.8610863421988953,1.467578830698846,0.0
13,123 days,0.1934093956105039,0.4397833507654694,0.40249166798811875,0.8610863421988953,1.47080270032136,0.2
14,130 days,0.1409724400207341,0.3754629675756773,0.30897084333099445,0.8610863421988953,1.3751048474093832,0.4
15,137 days,0.05821907722630543,0.24128629722034659,0.18343609104630662,0.8610863421988953,1.283244170568523,0.6000000000000001
16,144 days,0.02409235457225006,0.15521712074462038,0.10701221734813855,0.8610863421988953,1.2738124404594615,0.8
17,151 days,0.004011519020444348,0.06333655358830592,0.0521906035182244,2.6277534919529266,1.3713886926008605,1.0
18,158 days,0.0017519756159421376,0.04185660779306103,0.03940650942072738,5.637270265419571,1.510132064403744,1.0
19,165 days,0.0023644305649721605,0.04862541069206676,0.04455933145584645,inf,1.7223804767902005,1.0
20,172 days,0.0028746993864147254,0.05361622316439983,0.05198889508089534,inf,1.8952505316431867,1.0
21,179 days,0.002961768684698568,0.05442213414318266,0.05322229455553737,inf,2.0,1.0
22,186 days,0.0028736971187056375,0.05360687566633256,0.05221151313495285,inf,2.0,1.0
23,193 days,0.0023966994893862177,0.04895609757105051,0.046576702754459305,inf,2.0,1.0
24,200 days,0.0014431971049980975,0.03798943412316242,0.036410466270432595,inf,2.0,1.0
25,207 days,0.0010081472070373923,0.03175133394107076,0.03082630948009918,inf,2.0,1.0
26,214 days,0.0008729993880123656,0.02954656304906487,0.02879755551940079,inf,2.0,1.0
27,221 days,0.0006868927009464111,0.02620863790711778,0.026080363821998048,inf,2.0,1.0
28,228 days,0.0006178737149921432,0.024857065695535006,0.024686246509095792,inf,2.0,1.0
29,235 days,0.0005523032616691672,0.023501133199681397,0.022701412448112978,inf,2.0,1.0
30,242 days,0.0004611907695345523,0.02147535260559305,0.02030358850567985,inf,2.0,1.0
31,249 days,0.0004293039456624482,0.02071965119548223,0.01970748252525467,inf,2.0,1.0
32,256 days,0.0003801678393763173,0.019497893203531434,0.018724601755284412,inf,2.0,1.0
33,263 days,0.0003436506447251542,0.01853781661159572,0.017755786760809522,inf,2.0,1.0
34,270 days,0.00034728218641166055,0.01863550875108218,0.017907911140992293,inf,2.0,1.0
35,277 days,0.0003339959127705883,0.01827555506053341,0.017333686072574572,inf,2.0,1.0
36,284 days,0.00021346336840914808,0.01461038563519622,0.01346891046181601,inf,2.0,1.0
37,291 days,0.0001129118851320551,0.010626000429703318,0.009418909616116153,inf,2.0,1.0
38,298 days,5.945427537535564e-05,0.007710659853433793,0.006448314458328308,inf,2.0,1.0
39,305 days,4.2544762334522234e-05,0.006522634616052185,0.005623889929797265,inf,2.0,1.0
40,312 days,2.234827983449129e-05,0.004727396729119663,0.0038581158544178434,inf,2.0,1.0
41,319 days,1.597687127436105e-05,0.003997107863738612,0.003036674721144388,inf,2.0,1.0
42,326 days,3.6572358178775486e-05,0.006047508427342246,0.004659459945871544,inf,2.0,1.0
43,333 days,9.988685563833349e-05,0.00999434118080494,0.007917545139789497,inf,2.0,1.0
44,340 days,0.000289968103950149,0.017028449839904657,0.012658508494707593,inf,2.0,1.0
45,347 days,0.0008408474224909471,0.028997369233965814,0.022897331297775627,inf,2.0,1.0
46,354 days,0.0017236297405938685,0.041516620052623125,0.035824879081794964,inf,2.0,1.0
47,361 days,0.002738052476643398,0.0523264032458127,0.04813924334851203,inf,2.0,1.0
