,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.22753150276386164,0.4770026234349887,0.45374744003124867,0.680493228221349,0.9912786334290348,0.0
1,39 days,0.2038924924080973,0.4515445630368029,0.431590941381215,0.656423974398625,0.9408422190121305,0.0
2,46 days,0.22673280748421465,0.47616468525523253,0.4556415528051037,0.656423974398625,0.9507261414651252,0.0
3,53 days,0.2613367459321602,0.5112110581082536,0.5013536874318794,0.7002539465362076,1.015448452928379,0.0
4,60 days,0.2858412101442007,0.5346411975747855,0.5306304697219384,0.7002539465362076,1.0637790400335163,0.0
5,67 days,0.26886346605848954,0.518520458669173,0.5169719979883619,0.7002539465362076,1.0621560192488764,0.0
6,74 days,0.24918311086337255,0.4991824424630463,0.4935100017723699,0.7002539465362076,1.031653836609613,0.0
7,81 days,0.19786262380869682,0.4448175174256257,0.4209176851858769,0.6954575449919815,0.9142547483717991,0.2
8,88 days,0.17899773372741318,0.4230812377397669,0.3994350019143383,0.6056482076541929,0.8724931990533293,0.2
9,95 days,0.17201672283183406,0.41474898774057795,0.39205938770343957,0.6056482076541929,0.8589070602131295,0.2
10,102 days,0.16683350302883293,0.40845257133335927,0.3875609822987557,0.6056482076541929,0.8716237060412713,0.2
11,109 days,0.16159878315388077,0.40199351133305716,0.37989889974136526,0.6592017231610651,0.903359440109788,0.2
12,116 days,0.16769509635981616,0.4095059173684993,0.3945152458282499,0.6592017231610651,0.9966818507639073,0.0
13,123 days,0.1393779787864775,0.37333360254131626,0.3340804921758886,0.6592017231610651,0.9422915165082352,0.2
14,130 days,0.09801631639157204,0.313075576165839,0.24444823253712508,0.6488640882243322,0.7610789832026468,0.4
15,137 days,0.03437336388755288,0.1854005498577415,0.1373560853511714,0.6488640882243322,0.6946540949277491,0.6000000000000001
16,144 days,0.013622162503757912,0.11671402016792118,0.07579313606669316,0.6488640882243322,0.6169289591156373,0.8
17,151 days,0.0016566791782920405,0.040702323991291214,0.029870298279748065,0.8463100270165954,0.7522707169998581,1.0
18,158 days,0.0002727953114732451,0.016516516323766495,0.013469714987376664,1.449823812999168,1.0329177503242,1.0
19,165 days,0.0002791967777255686,0.016709182437377616,0.0138859505385063,9.024773765366364,1.4144745943264323,1.0
20,172 days,0.000157317978060313,0.012542646373884301,0.01120128199992958,inf,1.6463704949186733,1.0
21,179 days,0.00014006282460981743,0.01183481409274423,0.010535856832906084,inf,1.9274361527024575,1.0
22,186 days,9.219332367656164e-05,0.009601735451290129,0.007456604392228345,inf,2.0,1.0
23,193 days,9.4027814100303e-05,0.009696794011440224,0.007869580299427937,inf,2.0,1.0
24,200 days,8.015091465879775e-05,0.008952704320974628,0.006646347194186233,inf,2.0,1.0
25,207 days,4.071298990078163e-05,0.006380673154204157,0.004977354286860152,inf,2.0,1.0
26,214 days,1.8898634391245323e-05,0.004347255961091471,0.0035809609752847135,inf,2.0,1.0
27,221 days,3.0984576440724045e-05,0.005566379113995385,0.005120808208772094,inf,2.0,1.0
28,228 days,6.513435664163474e-05,0.00807058589209202,0.007163315377431652,inf,2.0,1.0
29,235 days,0.00010237110927540455,0.010117860904134062,0.009419102201444023,inf,2.0,1.0
30,242 days,0.00011857658647959739,0.010889287693857545,0.010252262525294367,inf,2.0,1.0
31,249 days,0.00012246122149281333,0.011066219837542237,0.010622533918464084,inf,2.0,1.0
32,256 days,0.00011037663709056126,0.010506028606974247,0.009089984137175633,inf,2.0,1.0
33,263 days,7.950787116407265e-05,0.00891671863210187,0.007435821253453203,inf,2.0,1.0
34,270 days,4.8487970814339764e-05,0.006963330439835508,0.005888758211959221,inf,2.0,1.0
35,277 days,2.4275142747645678e-05,0.004926981098770897,0.004384312248945224,inf,2.0,1.0
36,284 days,2.37057860233222e-05,0.0048688588009226765,0.004337287318276396,inf,2.0,1.0
37,291 days,4.301367035746836e-05,0.00655848079645495,0.006280249718999897,inf,2.0,1.0
38,298 days,6.424243695990307e-05,0.0080151379875772,0.007548880737268014,inf,2.0,1.0
39,305 days,7.145197214440907e-05,0.008452926838936267,0.00803739493622424,inf,2.0,1.0
40,312 days,7.174321573561186e-05,0.008470136701117159,0.00807072335960309,inf,2.0,1.0
41,319 days,6.509016973318178e-05,0.008067847899730248,0.007164435860506309,inf,2.0,1.0
42,326 days,9.962680802131798e-05,0.009981322959473758,0.008480896692409142,inf,2.0,1.0
43,333 days,0.00034035850794647137,0.018448807764906417,0.01348565608506502,inf,2.0,1.0
44,340 days,0.0012190123835749754,0.03491435784279836,0.025133065770275343,inf,2.0,1.0
45,347 days,0.0035430938678434306,0.05952389325173069,0.04582052457941384,inf,2.0,1.0
46,354 days,0.007506914456732573,0.0866424518162579,0.0736970383673266,inf,2.0,1.0
47,361 days,0.012359532391848161,0.11117343384032069,0.10174095835924785,inf,2.0,1.0
