,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.049027156098274495,0.2214207670889849,0.17077168324414418,0.20836245272700762,0.2593544038743065,0.6000000000000001
1,39 days,0.04972687407945695,0.22299523331106644,0.17435613948853887,0.14895354024027338,0.2538017416295182,0.6000000000000001
2,46 days,0.05094861571166138,0.22571800041569876,0.18293838750934266,0.14895354024027338,0.26425460813796,0.6000000000000001
3,53 days,0.023403610442029425,0.1529823860515629,0.13147808943863548,0.14895354024027338,0.1978791328831066,0.8
4,60 days,0.026965819745096358,0.16421272711058774,0.1376046823628197,0.14895354024027338,0.20393897282052478,0.8
5,67 days,0.02993386523167528,0.1730140607918191,0.15473474817557792,0.1915866047496637,0.23196829897670593,0.8
6,74 days,0.052189000318720806,0.22844911975912888,0.20345930150039734,0.19337699665347505,0.29976599375280344,0.6000000000000001
7,81 days,0.10005917393314986,0.3163213143832547,0.2845180219655482,0.353854363644457,0.40593784124515137,0.4
8,88 days,0.14356803965917053,0.3789037340264286,0.3540581023149135,0.39995410553457306,0.5021294159971983,0.2
9,95 days,0.17105660282871016,0.4135898969132469,0.38899698542258376,0.5040482132599823,0.5559080537890297,0.2
10,102 days,0.21061980500934857,0.4589333339487867,0.4557499790741771,0.5040482132599823,0.6476399708043521,0.0
11,109 days,0.23899527144530036,0.48887142629253794,0.48857322491292887,0.515788406676289,0.6914314634448764,0.0
12,116 days,0.21030214056525143,0.45858711338768715,0.45363018435166613,0.515788406676289,0.6700980995559658,0.0
13,123 days,0.17213688606789568,0.4148938250539476,0.39920474207442724,0.5021773977735737,0.6342768363139376,0.0
14,130 days,0.15280316399371419,0.3909004527929255,0.3763887469929087,0.5021773977735737,0.6833182997997719,0.0
15,137 days,0.11748416595725107,0.34275963291678774,0.3227212854498015,0.5288090930585543,0.7190021144660613,0.0
16,144 days,0.06498905789874598,0.2549295155503693,0.22887967236785361,0.44189200589516064,0.6491397126727542,0.2
17,151 days,0.04439227217878825,0.2106947369508509,0.17193744410699277,0.5959800153179372,0.6402070780268077,0.4
18,158 days,0.035963362871103625,0.1896400877217252,0.14149978629516902,0.6413131936350551,0.9211826319081107,0.6000000000000001
19,165 days,0.009377301828851397,0.09683646951872728,0.07591716769140133,0.7073728714729761,1.1323787984916853,0.8
20,172 days,0.0017918087614947598,0.042329762124240194,0.03839441131519655,48.50822430500012,1.3625863391762587,1.0
21,179 days,0.0013875263636769517,0.03724951494552582,0.030076157146570272,inf,1.6886715899381122,1.0
22,186 days,0.0013928078203288721,0.03732034057091216,0.030144442413637187,inf,1.9841609953426773,1.0
23,193 days,0.0007716842131825928,0.02777920468952617,0.0232713055902345,inf,2.0,1.0
24,200 days,0.0004911298657255559,0.0221614499914955,0.017500342478544584,inf,2.0,1.0
25,207 days,0.000487488695604086,0.022079146170178005,0.01722365625832893,inf,2.0,1.0
26,214 days,0.0006010528805268865,0.024516379841381282,0.021339685988899473,inf,2.0,1.0
27,221 days,0.0003109807973109023,0.017634647637843583,0.01509949392922117,inf,2.0,1.0
28,228 days,0.00015733396860357778,0.01254328380463337,0.01029606997679687,inf,2.0,1.0
29,235 days,0.00013832994448467303,0.011761375110278263,0.008642208890370172,inf,2.0,1.0
30,242 days,0.00014598467308621802,0.01208241172474345,0.00917271749182853,inf,2.0,1.0
31,249 days,3.312937486499438e-05,0.005755812268046482,0.005151406113357758,inf,2.0,1.0
32,256 days,8.253774765816459e-05,0.009085028764850697,0.007118413107502483,inf,2.0,1.0
33,263 days,9.976657210358536e-05,0.009988321786145327,0.008341566102144924,inf,2.0,1.0
34,270 days,0.00010071005862205154,0.010035440130958459,0.008560232586827905,inf,2.0,1.0
35,277 days,8.935181783247934e-05,0.00945260904895994,0.007655912704784693,inf,2.0,1.0
36,284 days,8.670075765336753e-05,0.009311324162189152,0.00718114452714619,inf,2.0,1.0
37,291 days,2.567972760805562e-05,0.005067516907525383,0.0038012338382980553,inf,2.0,1.0
38,298 days,1.0476292502289653e-05,0.003236710135660846,0.002801029337639663,inf,2.0,1.0
39,305 days,2.593740796080291e-05,0.005092878160804842,0.004099977118854216,inf,2.0,1.0
40,312 days,2.2914766394819932e-05,0.0047869370577457914,0.003500167159445326,inf,2.0,1.0
41,319 days,3.1168730542143107e-05,0.005582896250347405,0.004503486251774903,inf,2.0,1.0
42,326 days,0.00017097928100564118,0.01307590459607446,0.009677219232451718,inf,2.0,1.0
43,333 days,0.0009383802104704019,0.030632992189311214,0.02108791406318724,inf,2.0,1.0
44,340 days,0.004244846330589198,0.06515248522189464,0.0450295084520732,inf,2.0,1.0
45,347 days,0.014572738763843539,0.12071759922995295,0.0902745738806894,inf,2.0,0.8
46,354 days,0.036952782785310605,0.19223106612956867,0.15586633499663455,inf,2.0,0.6000000000000001
47,361 days,0.07216348700868952,0.26863262461713305,0.2346611372479205,inf,1.9886428896314583,0.4
