,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.037575557465635026,0.19384415767733373,0.14774666242005016,0.24340112492340013,0.21879900878376696,0.6000000000000001
1,39 days,0.03530185778042849,0.18788788619926644,0.1281239375499112,0.04926524262574103,0.178122752960099,0.6000000000000001
2,46 days,0.035778546782508205,0.1891521788997108,0.13489799483315792,0.07527135657112079,0.18735128655686425,0.6000000000000001
3,53 days,0.01820611619216655,0.13493004184452975,0.10151400420133934,0.07527135657112079,0.14523812405126257,0.6000000000000001
4,60 days,0.022846406495116964,0.15115027785325758,0.11054778712355873,0.07527135657112079,0.1561400929762888,0.6000000000000001
5,67 days,0.02567501949532868,0.1602342644234643,0.12869023897996243,0.17717209222938687,0.18491672067048126,0.6000000000000001
6,74 days,0.04760307301539839,0.21818128475054496,0.19316227328943444,0.22611171586660847,0.2742477982040726,0.4
7,81 days,0.0896628259735329,0.299437515975425,0.2750454186427847,0.3217470215402908,0.380712854805384,0.2
8,88 days,0.12522607507733033,0.3538729646035853,0.33077734661117153,0.3741602480261654,0.45613646287293763,0.2
9,95 days,0.1485979034856682,0.385483986030118,0.363196579300192,0.46775015254702007,0.5048103789269716,0.2
10,102 days,0.18314672413510596,0.4279564512133284,0.4252406020501521,0.47035386521464145,0.5889286448319208,0.0
11,109 days,0.2093532358853211,0.45755134781281226,0.4571257567368495,0.47723493417769147,0.6318672346083566,0.0
12,116 days,0.18752520578131307,0.43304180604338083,0.4292779280047442,0.47723493417769147,0.6189075594563473,0.0
13,123 days,0.15511508911929617,0.39384652990637886,0.3814492010375059,0.47035386521464145,0.5926520692662469,0.0
14,130 days,0.1441262358122571,0.3796396130704185,0.36797684157175176,0.47035386521464145,0.6507958695898239,0.0
15,137 days,0.1127292473243236,0.33575176443962823,0.31646418764258366,0.5046505463963084,0.6806150080870363,0.0
16,144 days,0.06554807648209202,0.25602358579258283,0.23225364438913648,0.428748830445758,0.6444273230702315,0.2
17,151 days,0.045030851961916994,0.21220474066786774,0.1749748217387053,0.5302058640356329,0.6190991288436709,0.4
18,158 days,0.036483260019741316,0.19100591619041887,0.1457267591254392,0.5528636638333982,0.8659745736231195,0.6000000000000001
19,165 days,0.00897676896713977,0.09474581239896447,0.08080616635424981,0.5528636638333982,1.082470678065159,0.8
20,172 days,0.002784017302405795,0.05276378779433671,0.0458311442904658,13.102959550929235,1.3296547615502274,1.0
21,179 days,0.0018180158157185022,0.0426381966752641,0.03270360782539945,inf,1.6308504431446524,1.0
22,186 days,0.0019240119925205714,0.043863561101677224,0.034052985357734725,inf,1.9470302494486402,1.0
23,193 days,0.001077810828760276,0.03283002937495298,0.026080714825128925,inf,2.0,1.0
24,200 days,0.0006188924666487483,0.024877549450232198,0.018702863818305115,inf,2.0,1.0
25,207 days,0.0006241783272152729,0.024983561139582822,0.01953535345993091,inf,2.0,1.0
26,214 days,0.000761307947098663,0.027591809420526647,0.02403748104098337,inf,2.0,1.0
27,221 days,0.000410201659169162,0.020253435737404207,0.01710058131412196,inf,2.0,1.0
28,228 days,0.00019739361451179502,0.01404968378689695,0.01164332254234759,inf,2.0,1.0
29,235 days,0.0001687974096416393,0.012992205726574658,0.009941607183636857,inf,2.0,1.0
30,242 days,0.00017926060283456608,0.013388823803253446,0.010678611157404184,inf,2.0,1.0
31,249 days,5.100595597049069e-05,0.007141845417711776,0.00693302810527342,inf,2.0,1.0
32,256 days,9.901296592614877e-05,0.009950525912038457,0.00882415325771235,inf,2.0,1.0
33,263 days,0.0001327906166795488,0.011523481100758954,0.010503954549880911,inf,2.0,1.0
34,270 days,0.00013992679541596905,0.011829065703425993,0.011128830881027691,inf,2.0,1.0
35,277 days,0.00012966606656729493,0.011387100885093402,0.010410914090774492,inf,2.0,1.0
36,284 days,0.00011765273838222889,0.010846784702492665,0.008923340487207193,inf,2.0,1.0
37,291 days,5.7135632408001605e-05,0.007558811573786028,0.005627822200778988,inf,2.0,1.0
38,298 days,1.650296887198119e-05,0.004062384628759467,0.0027827226981989063,inf,2.0,1.0
39,305 days,1.619739676110043e-05,0.004024598956554607,0.0027615593045850076,inf,2.0,1.0
40,312 days,1.729907163300135e-05,0.004159215266489743,0.0028599685809131267,inf,2.0,1.0
41,319 days,1.7280391969717457e-05,0.0041569690845275065,0.0028144380460375564,inf,2.0,1.0
42,326 days,0.00023044357350103227,0.015180368029169526,0.009157941668402957,inf,2.0,1.0
43,333 days,0.0019830948655311206,0.04453195330918149,0.027874782403315805,inf,2.0,1.0
44,340 days,0.008849336029512883,0.09407090958161765,0.06352656487260493,inf,2.0,0.8
45,347 days,0.026053065871443768,0.16140962137197326,0.12102739085137941,inf,2.0,0.6000000000000001
46,354 days,0.057028591711319715,0.23880659896937462,0.1997181219535582,inf,2.0,0.4
47,361 days,0.09736526773884727,0.31203408105341196,0.28324158918001086,inf,1.963761680669144,0.2
