,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.05221942759617918,0.22851570536000185,0.22345334063927888,0.24130117711927623,0.28797130377326235,0.0
1,39 days,0.05977883040372752,0.2444970969229032,0.23706666612273145,0.24130117711927623,0.29886655055886774,0.0
2,46 days,0.06930869811276862,0.2632654518024889,0.2560573350688776,0.3037227369231938,0.3163932976198115,0.0
3,53 days,0.07708478287700762,0.27764146462120465,0.2750966162189168,0.3037227369231938,0.3363015163311674,0.0
4,60 days,0.08541280334606509,0.29225468917720565,0.29152385345065995,0.3037227369231938,0.35281258631739054,0.0
5,67 days,0.08453076230503011,0.2907417450333373,0.2900413651356346,0.30290160474076105,0.3507716463104943,0.0
6,74 days,0.07968085000310098,0.2822779658476747,0.2817034769133889,0.30126915138836813,0.3414337375972666,0.0
7,81 days,0.07397395363806593,0.27198153179594003,0.27121965510834806,0.2800737078257211,0.32913169112257556,0.0
8,88 days,0.0730785732215275,0.2703304888863398,0.26940922387749,0.2800737078257211,0.32556337351037434,0.0
9,95 days,0.06347368519207242,0.25193984439161743,0.24986179282645385,0.2582909492642657,0.30447737080341997,0.0
10,102 days,0.05738617410675355,0.2395541151947792,0.23837911942953843,0.2582909492642657,0.29464008474971554,0.0
11,109 days,0.05648612748803842,0.2376681036404305,0.23668575968140895,0.2582909492642657,0.29800843999808,0.0
12,116 days,0.05850358836809291,0.24187515037327195,0.2406288172954879,0.26502796844669857,0.30898751864098517,0.0
13,123 days,0.06377389697171985,0.25253494208073435,0.25048373157730963,0.2924392708561655,0.3270064381491656,0.0
14,130 days,0.0628852531774137,0.25076932264017804,0.2481574048093692,0.2924392708561655,0.3311205406954173,0.0
15,137 days,0.0538549492228049,0.2320666913255862,0.22158942657435285,0.2924392708561655,0.3054062608769257,0.2
16,144 days,0.04153938304219253,0.20381212682809757,0.1857977266095748,0.2395176732172837,0.2701654026908232,0.4
17,151 days,0.02751207714250723,0.1658676494754394,0.13690598692771164,0.16255952590584266,0.21193940835306108,0.6000000000000001
18,158 days,0.010631983524702925,0.10311151014655408,0.08444044233886411,0.15354948092338463,0.1589634513203817,0.8
19,165 days,0.004819039547768793,0.06941930241488165,0.06186435186173039,0.15354948092338463,0.2055564245961586,1.0
20,172 days,0.004113089570170938,0.06413337329480602,0.058115481241183375,0.15354948092338463,0.4598542949822874,1.0
21,179 days,0.003726665296743356,0.061046419196733856,0.05558086014465907,0.6757096204995166,0.8265905861881471,1.0
22,186 days,0.005306761420413657,0.0728475217177198,0.06961285127587825,5.2520342174615875,1.2145185360304334,1.0
23,193 days,0.006516238598409788,0.08072322217559076,0.08032096560182063,inf,1.5907000185527804,1.0
24,200 days,0.0068730125914157805,0.08290363436795627,0.08260747413631549,inf,1.8896861244706011,1.0
25,207 days,0.006704125904003322,0.08187872680985778,0.08158037136062794,inf,2.0,1.0
26,214 days,0.007118667345781879,0.08437219533579697,0.08428439491337004,inf,2.0,1.0
27,221 days,0.006263943031800023,0.07914507585314466,0.07877846284969067,inf,2.0,1.0
28,228 days,0.005120223690713558,0.07155573834930053,0.06908975422072944,inf,2.0,1.0
29,235 days,0.0037554281958453234,0.061281548575777056,0.05508033541094383,inf,2.0,1.0
30,242 days,0.002492502858608198,0.04992497229451608,0.0402292097590593,inf,2.0,1.0
31,249 days,0.0011058589816603276,0.03325445807196875,0.024535997421802104,inf,2.0,1.0
32,256 days,0.0003051126346127673,0.017467473618493524,0.013480591953746686,inf,2.0,1.0
33,263 days,6.631139895367566e-05,0.008143181132314058,0.007348318331728676,inf,2.0,1.0
34,270 days,2.917431257086849e-05,0.0054013250754669905,0.004866504999855811,inf,2.0,1.0
35,277 days,2.358598702208136e-05,0.004856540643511734,0.004000656293945526,inf,2.0,1.0
36,284 days,2.2226513562229446e-05,0.004714500351281082,0.003852089212284224,inf,2.0,1.0
37,291 days,7.518438103487661e-06,0.002741977042844754,0.0021638343600028946,inf,2.0,1.0
38,298 days,2.07531087637854e-05,0.0045555580079486855,0.003161334140635254,inf,2.0,1.0
39,305 days,0.00011454316533111198,0.010702484072920267,0.00724445129450896,inf,2.0,1.0
40,312 days,0.0010620385983841029,0.03258893367976471,0.020799466356582207,inf,2.0,1.0
41,319 days,0.004991872321465879,0.07065318337814566,0.048006395929567916,inf,2.0,1.0
42,326 days,0.016429954040533566,0.12817938227551873,0.09580836350235243,inf,2.0,0.8
43,333 days,0.04138688471487344,0.2034376678859484,0.16465615318665153,inf,2.0,0.6000000000000001
44,340 days,0.07926103413259464,0.2815333623793007,0.2474591432768,inf,1.9577707029977005,0.4
45,347 days,0.09274344474205178,0.30453808422273193,0.2874133860534726,inf,1.6374112468717694,0.2
46,354 days,0.09332856032184071,0.30549723455678074,0.28942723257209013,16.944194120883424,1.283019041527686,0.0
47,361 days,0.09013385833460974,0.3002230143320291,0.2822020922776287,0.3320842864150312,0.9407251074790145,0.0
