,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.0518583809064068,0.22772435290589102,0.22489572472326474,0.2274051416747763,0.2820894300759176,0.0
1,39 days,0.055762422456543996,0.2361406836115793,0.23195659982388409,0.2274051416747763,0.2869361396737527,0.0
2,46 days,0.06414839212316148,0.2532753286902644,0.24948279143762653,0.28552961329103355,0.3039210534891733,0.0
3,53 days,0.0705332741786607,0.2655810124588366,0.26359119816318155,0.28552961329103355,0.3183437344038853,0.0
4,60 days,0.07930132693707911,0.2816049128425836,0.28136661713500766,0.28816111036487047,0.33710272229342797,0.0
5,67 days,0.08094164342218957,0.2845024488861029,0.284251872653667,0.29626662924767627,0.3404693009503172,0.0
6,74 days,0.07702760703432546,0.27753847847519353,0.27717168426423794,0.28816111036487047,0.33327790690295833,0.0
7,81 days,0.07194538384508462,0.2682263667969363,0.26734066688793995,0.27407972957348264,0.32228326826695103,0.0
8,88 days,0.06915048110892322,0.2629647906258996,0.26169281824574486,0.2697676492630219,0.31498768305300295,0.0
9,95 days,0.06135061943004404,0.24769057194419822,0.24624462803013528,0.2469175446949242,0.2982795045507759,0.0
10,102 days,0.05469157959167278,0.23386230904460167,0.2334081971715491,0.2469175446949242,0.28652801007332757,0.0
11,109 days,0.05519989443842922,0.2349465778393659,0.2343814571423208,0.2469175446949242,0.29232590932090574,0.0
12,116 days,0.05886475010461636,0.24262058878960863,0.2416508353245983,0.25415750037169893,0.3071030891497604,0.0
13,123 days,0.06627976138280284,0.2574485606539738,0.25548956515178234,0.2911954450166728,0.33037626702346873,0.0
14,130 days,0.06916485008078331,0.2629921103013992,0.261773987779755,0.29584308634054934,0.3464500346218595,0.0
15,137 days,0.06761339609889372,0.26002576045248615,0.2582222898697946,0.29584308634054934,0.3531657682006944,0.0
16,144 days,0.05898869380866685,0.24287588148819317,0.23797139927051866,0.29584308634054934,0.34340711829766435,0.0
17,151 days,0.05167288514356315,0.2273167066969851,0.2221081812270595,0.29584308634054934,0.35052492403114616,0.0
18,158 days,0.033604789688493064,0.18331609227913698,0.16844435290935666,0.2793745844764362,0.29314953557928836,0.2
19,165 days,0.023524266766599914,0.15337622621058294,0.13913881635572112,0.2793745844764362,0.3598106598139095,0.4
20,172 days,0.016615635244691777,0.12890164950337826,0.11658210569978389,0.32717890499227403,0.6168825500745904,0.6000000000000001
21,179 days,0.012665286617459087,0.1125401555777274,0.10036111075197876,1.031468120765214,0.9584776539085349,0.8
22,186 days,0.007603097188377761,0.08719574065502145,0.08328785958543619,8.258923451067686,1.280243608207249,1.0
23,193 days,0.009177745923305492,0.09580055283402854,0.0954685163017317,inf,1.6581205718335013,1.0
24,200 days,0.008772157095382786,0.09365979444448289,0.09329475225644743,inf,1.9220191081631728,1.0
25,207 days,0.00815075913541543,0.09028155479064054,0.089760542193487,inf,2.0,1.0
26,214 days,0.008382156686996739,0.09155411889694935,0.09112762684117026,inf,2.0,1.0
27,221 days,0.007117796252152857,0.08436703296995134,0.08390309658712536,inf,2.0,1.0
28,228 days,0.005603171699821596,0.0748543365465328,0.07255024243237802,inf,2.0,1.0
29,235 days,0.004084632342497515,0.06391112847147604,0.057225788582721177,inf,2.0,1.0
30,242 days,0.002834113100291739,0.0532363888735115,0.041547708873828526,inf,2.0,1.0
31,249 days,0.001284899721771722,0.03584549792891322,0.024453258365701853,inf,2.0,1.0
32,256 days,0.0003294698334812858,0.018151303905815853,0.011909655328247101,inf,2.0,1.0
33,263 days,4.5706290752105734e-05,0.006760642776549116,0.00565837834232627,inf,2.0,1.0
34,270 days,2.0500107951275652e-05,0.004527704490277127,0.0035002478436548267,inf,2.0,1.0
35,277 days,2.0953851755091392e-05,0.004577537739341031,0.0036940728362948073,inf,2.0,1.0
36,284 days,2.141144069101279e-05,0.004627249797775433,0.003776291308876743,inf,2.0,1.0
37,291 days,2.004681522748092e-05,0.004477366997184944,0.003670692087059223,inf,2.0,1.0
38,298 days,6.0555598000126805e-05,0.0077817477471405355,0.005435117021531589,inf,2.0,1.0
39,305 days,0.0001520622983854355,0.012331354280266037,0.009625148605775591,inf,2.0,1.0
40,312 days,0.0009329979091091771,0.030545014472237154,0.021796003879770244,inf,2.0,1.0
41,319 days,0.004329914687791527,0.0658020872601434,0.04727017669852452,inf,2.0,0.8
42,326 days,0.014657985446152743,0.12107016744909847,0.09149663390977068,inf,2.0,0.6000000000000001
43,333 days,0.038051790065505596,0.19506868038079717,0.15679381719596783,inf,2.0,0.4
44,340 days,0.07691653612327942,0.2773383062674167,0.24078299260353977,inf,1.9812425791322,0.2
45,347 days,0.07770191402031373,0.2787506305289976,0.24598344897039948,inf,1.6117322169080066,0.2
46,354 days,0.08878869016856272,0.2979743112561261,0.2737362908068817,40.649786750444484,1.2865025341323943,0.2
47,361 days,0.09214403920254438,0.303552366491425,0.28059837100497886,0.31497469202165557,0.9568729003175861,0.2
