,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.002903342095517991,0.05388266971409259,0.027010212374079943,0.9899540817639624,1.6585029537591605,0.8
1,39 days,0.004271998314594822,0.06536052566033126,0.04347098018449913,0.9899540817639624,1.6518147009798518,0.6000000000000001
2,46 days,0.007195476411734488,0.08482615405483433,0.0675739615980695,0.9899540817639624,1.6511740526033227,0.4
3,53 days,0.007607582780271583,0.08722145825581903,0.07657415550958098,0.9915691998728865,1.9318766790363375,0.4
4,60 days,0.023196382864791025,0.15230358782639045,0.12964233846624842,0.9983773474036101,1.9834182785413796,0.2
5,67 days,0.035430717531017744,0.18823049043929557,0.16066321135997955,0.9983773474036101,1.9873526301659692,0.2
6,74 days,0.05841707474457244,0.24169624478789992,0.21391079132059,0.9983773474036101,1.9891054407143571,0.2
7,81 days,0.060709070434113326,0.24639210708566403,0.2220272574038718,0.9949465288465146,1.9783315035914044,0.2
8,88 days,0.06282094163392785,0.25064106134855046,0.23541609234472102,0.9937924006513766,1.9639845037227248,0.0
9,95 days,0.04787633211581731,0.21880660893998907,0.19120777699122227,0.985525238877628,1.9440603072528921,0.2
10,102 days,0.033134214184959085,0.18202805878479034,0.14468572214274023,0.9817387576114626,1.9249796882283736,0.4
11,109 days,0.009023618276966967,0.09499272749514548,0.08188528410068735,0.9727519691931709,1.9074720440109456,0.6000000000000001
12,116 days,0.0042094623817828854,0.06488036977224225,0.05854754383101085,0.9727519691931709,1.905512932299559,0.8
13,123 days,0.001727571893718017,0.04156406974440805,0.03898209823567846,0.9711364067926097,1.8946401094861418,1.0
14,130 days,0.0010445966578673646,0.032320220572690475,0.027841688741648503,0.9702623762805548,1.8663373942105261,1.0
15,137 days,0.0006894901960288044,0.02625814532728472,0.01942664189782567,0.9711364067926097,1.8894404628248647,1.0
16,144 days,0.0004450424363645053,0.02109602892405358,0.012466937472481994,0.9829986651050829,1.9118835492732136,1.0
17,151 days,4.370902269872721e-05,0.006611279959185453,0.0035616526974312423,inf,1.9252572464840818,1.0
18,158 days,1.6084043881688752e-06,0.0012682288390384738,0.0007184338134093244,inf,1.9504770691661784,1.0
19,165 days,4.938401471213039e-08,0.00022222514419419418,0.0002054796536797663,inf,2.0,1.0
20,172 days,5.3047070060654766e-08,0.00023031949561566595,0.00022286600631897744,inf,2.0,1.0
21,179 days,5.5147461320501864e-08,0.00023483496613686358,0.00022879250888532753,inf,2.0,1.0
22,186 days,5.198533371951647e-08,0.00022800292480474119,0.00022258521335048991,inf,2.0,1.0
23,193 days,5.3314537976279666e-08,0.00023089941094831676,0.00022479202739155192,inf,2.0,1.0
24,200 days,7.287288073212582e-08,0.0002699497744620762,0.0002558468314709437,inf,2.0,1.0
25,207 days,9.924059981025643e-08,0.00031502476063042476,0.0003045663291231803,inf,2.0,1.0
26,214 days,1.2414051926317113e-07,0.0003523358046852053,0.0003465044666588881,inf,2.0,1.0
27,221 days,1.391428384526203e-07,0.0003730185497433342,0.0003713913925714474,inf,2.0,1.0
28,228 days,1.3874396250293164e-07,0.0003724835063501895,0.0003707375867890057,inf,2.0,1.0
29,235 days,1.3711379802425585e-07,0.00037028880353618017,0.0003686329310824452,inf,2.0,1.0
30,242 days,1.2876917724450706e-07,0.00035884422420391144,0.0003571619954950922,inf,2.0,1.0
31,249 days,9.779586777135552e-08,0.00031272330864736563,0.000292950108602025,inf,2.0,1.0
32,256 days,7.731493887291061e-08,0.00027805563988689497,0.0002547616086732272,inf,2.0,1.0
33,263 days,7.191668883170157e-08,0.0002681728711702613,0.00024509572302545995,inf,2.0,1.0
34,270 days,5.090611516398346e-08,0.00022562383554044875,0.00020913146332763,inf,2.0,1.0
35,277 days,3.272637396578094e-08,0.00018090432268406674,0.00017135184020374713,inf,2.0,1.0
36,284 days,3.593148614719336e-08,0.00018955602376921014,0.00018524175041192783,inf,2.0,1.0
37,291 days,3.717746192334005e-08,0.00019281457912549054,0.00018867842894556883,inf,2.0,1.0
38,298 days,3.4185422666871296e-08,0.00018489300329344887,0.0001824309290269699,inf,2.0,1.0
39,305 days,3.5669416763555316e-08,0.00018886348711054585,0.00018594775385503712,inf,2.0,1.0
40,312 days,3.3746437696771764e-08,0.00018370203509153558,0.00017839279468575094,inf,2.0,1.0
41,319 days,3.103475912334858e-08,0.00017616685023961966,0.00016731655743197266,inf,2.0,1.0
42,326 days,2.7278210799303036e-08,0.0001651611661356962,0.00015562382424940188,inf,2.0,1.0
43,333 days,2.3349441824525685e-08,0.0001528052414825018,0.00014576170812164124,inf,2.0,1.0
44,340 days,1.7999612048931857e-08,0.0001341626328339298,0.00013116803833823802,inf,2.0,1.0
45,347 days,1.6273578090188464e-08,0.000127567935196069,0.00012065610398741161,inf,2.0,1.0
46,354 days,1.4669473630661479e-08,0.00012111760248065299,0.00010788056148672532,inf,2.0,1.0
47,361 days,1.2251784696994246e-08,0.00011068778025145434,9.599224452103637e-05,inf,2.0,1.0
