,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.005230126723541437,0.07231961506770786,0.044500631709649886,6.1942918802072136,1.332387265250901,0.8
1,39 days,0.006280072265778998,0.07924690697925692,0.05644234599900566,0.6954834105887565,1.1018984733616848,0.8
2,46 days,0.010260675213272187,0.10129499105717019,0.08403535085139115,0.6954834105887565,1.0733589030050767,0.6000000000000001
3,53 days,0.011174869755484812,0.10571125652211695,0.09348114039286334,0.6954834105887565,1.024289301868892,0.6000000000000001
4,60 days,0.026383644927592414,0.16243043103923727,0.14422592938769457,0.7754504683626063,1.2146405029810992,0.4
5,67 days,0.056378451406711994,0.23744146943344163,0.19634222110866112,0.8119897974353328,1.2747814059205833,0.4
6,74 days,0.07342134231867277,0.2709637287879556,0.24179976978352266,0.8119897974353328,1.3151882946040572,0.2
7,81 days,0.07094172462076029,0.26634887764126264,0.23091476859666485,0.7754504683626063,1.1232933212800014,0.4
8,88 days,0.07326620363966165,0.2706773053650077,0.2424421209759146,0.6883484779270903,1.0085150687528237,0.2
9,95 days,0.0584320471548642,0.24172721641317968,0.19690024642247153,0.5144558580005617,0.8007711122982069,0.4
10,102 days,0.025331846168257826,0.15915981329549814,0.13254687372594454,0.5144558580005617,0.6931969601968436,0.6000000000000001
11,109 days,0.0073312101735616645,0.08562248637806347,0.07746434431982414,0.3804496042416423,0.5596282829330914,0.8
12,116 days,0.006105135508305192,0.07813536656537289,0.06756838883533667,0.4452285172498854,0.5802090999031881,0.8
13,123 days,0.002758280175932981,0.05251933144979076,0.04334860493983192,0.3504156830490557,0.4796474541808726,1.0
14,130 days,0.0023228889107175807,0.048196357857389814,0.03654591816601115,0.4452285172498854,0.5097163316490492,1.0
15,137 days,0.0005547430627550429,0.023552984158170764,0.02144158192877791,0.4452285172498854,0.7438955934767716,1.0
16,144 days,0.0005069701724386535,0.02251599814440065,0.020407815134019805,0.807407040058267,1.0675461739462664,1.0
17,151 days,0.0002817541345859186,0.016785533491251284,0.016181001194613798,inf,1.3530011048632253,1.0
18,158 days,0.0003131022248790362,0.01769469482299811,0.01750364264764906,inf,1.7150395405493477,1.0
19,165 days,0.0003577324286006589,0.018913815812803585,0.01873786702464204,inf,2.0,1.0
20,172 days,0.0003954023316581459,0.019884726089593137,0.019562784752089207,inf,2.0,1.0
21,179 days,0.00034349513443957306,0.018533621730238616,0.01800093035868991,inf,2.0,1.0
22,186 days,0.00031491987462422004,0.017745981928995083,0.0169355536088706,inf,2.0,1.0
23,193 days,0.0002907457949677234,0.017051269599877992,0.01599092930006551,inf,2.0,1.0
24,200 days,0.00020372357159997802,0.014273176647123022,0.012475566747385036,inf,2.0,1.0
25,207 days,8.120033255166781e-05,0.009011122713162206,0.00803085624319768,inf,2.0,1.0
26,214 days,4.938158029851507e-05,0.007027202878707507,0.005805508104428196,inf,2.0,1.0
27,221 days,2.6891445273159135e-05,0.005185696218750105,0.0040056823112028656,inf,2.0,1.0
28,228 days,5.3021024676263785e-06,0.0023026294681573016,0.002110974577402264,inf,2.0,1.0
29,235 days,2.140283110731468e-05,0.004626319390975366,0.003325886901848949,inf,2.0,1.0
30,242 days,3.104942356586672e-05,0.005572200962444438,0.004279836008606319,inf,2.0,1.0
31,249 days,5.996803018588755e-05,0.007743902774821463,0.006388437364668303,inf,2.0,1.0
32,256 days,6.798411770694271e-05,0.008245248189529694,0.007352352504908106,inf,2.0,1.0
33,263 days,6.780341942733579e-05,0.008234283176290198,0.007187877505452053,inf,2.0,1.0
34,270 days,4.932349921897794e-05,0.007023069074057149,0.005453661872539488,inf,2.0,1.0
35,277 days,3.9562308027122e-05,0.006289857552212292,0.004477813651403947,inf,2.0,1.0
36,284 days,1.0379429123907361e-05,0.003221712141689161,0.0022705373314666844,inf,2.0,1.0
37,291 days,6.925665985299664e-06,0.002631666009450984,0.0019741775137338633,inf,2.0,1.0
38,298 days,1.6624167805186446e-05,0.004077274556022251,0.003339556567560172,inf,2.0,1.0
39,305 days,2.517136043988493e-05,0.00501710677979699,0.004463494844886616,inf,2.0,1.0
40,312 days,3.063442245488749e-05,0.005534837166067986,0.00511523692613684,inf,2.0,1.0
41,319 days,3.765879193328864e-05,0.0061366759677604485,0.0061019956770636645,inf,2.0,1.0
42,326 days,3.324825498781664e-05,0.005766129983603963,0.0054754459458738495,inf,2.0,1.0
43,333 days,2.3707519850453674e-05,0.004869036850389785,0.004262208739311522,inf,2.0,1.0
44,340 days,1.634313351148284e-05,0.004042664160115559,0.003465093367254924,inf,2.0,1.0
45,347 days,3.131789850494801e-05,0.005596239675438142,0.004386680296737621,inf,2.0,1.0
46,354 days,4.174488188028632e-05,0.006461027927527192,0.005062396717035458,inf,2.0,1.0
47,361 days,4.325923888112692e-05,0.006577175600599921,0.0053466318688138595,inf,2.0,1.0
