,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.008721548606732462,0.09338923174934283,0.09183885721283333,0.12113350165652578,0.13133625245218067,1.0
1,39 days,0.012869436299908483,0.1134435379380795,0.10707755716113836,0.12113350165652578,0.14051217502231275,0.8
2,46 days,0.01938868831000067,0.1392432702503093,0.12709453653792646,0.12113350165652578,0.15586999508025207,0.6000000000000001
3,53 days,0.02730252574145152,0.1652347594831412,0.15450415812163423,0.18441581797923523,0.18387724914224568,0.4
4,60 days,0.03736837889878315,0.19330902435940012,0.1877344704058938,0.2188893205003401,0.2198059082352656,0.2
5,67 days,0.0456674239816449,0.21369937758834232,0.21265871105011686,0.2219548938695446,0.24644863838519165,0.0
6,74 days,0.049649485881320385,0.22282164589940626,0.2226546599576456,0.2260466131570698,0.2567892469596572,0.0
7,81 days,0.05034645647291162,0.22438016060452318,0.22426130767914182,0.2260466131570698,0.25812879810558187,0.0
8,88 days,0.04796113397714921,0.21900030588368868,0.21823208371131236,0.2260466131570698,0.25157762041714615,0.0
9,95 days,0.04162741722441522,0.20402798147414786,0.20187834100203922,0.2241854407000845,0.23508388050508772,0.2
10,102 days,0.04035070647515773,0.2008748527694737,0.19899760008887502,0.2241854407000845,0.23516630754090578,0.2
11,109 days,0.042664423765349374,0.20655368252672082,0.20389109603429303,0.2241854407000845,0.24562419011040032,0.2
12,116 days,0.04559939843502269,0.21354015649292452,0.21009780868584121,0.23209808100283497,0.2591300633516337,0.2
13,123 days,0.057181134696404505,0.23912577171104854,0.23398241890420715,0.26625179242564606,0.2928534793543407,0.2
14,130 days,0.06937094085641851,0.2633836381714295,0.2614937754640359,0.27587456256100384,0.33418859019766495,0.0
15,137 days,0.06354821280122948,0.25208770854849205,0.24457714900611155,0.27587456256100384,0.32677351702967417,0.2
16,144 days,0.05179326536757254,0.2275813379158593,0.20589007787581523,0.27587456256100384,0.2954512502577758,0.4
17,151 days,0.03977514093725107,0.19943706008977136,0.1671432256556818,0.293818519890043,0.28268446440666517,0.6000000000000001
18,158 days,0.021526722889431263,0.1467198789851984,0.10826772916598695,0.20264591331650514,0.21489834266739233,0.8
19,165 days,0.005332236327169377,0.0730221632599951,0.06171572174834204,0.20264591331650514,0.2713173701721163,1.0
20,172 days,0.0025934501141531546,0.050925927720102994,0.046990419158550484,0.293818519890043,0.5126151120185325,1.0
21,179 days,0.0028906338186833495,0.05376461493104316,0.04941566075686625,1.0252364995355296,0.8825093602898316,1.0
22,186 days,0.0026085030505874434,0.051073506347101755,0.04666853827071629,5.04203407570275,1.2312727838401607,1.0
23,193 days,0.0026232368691421104,0.0512175445442488,0.04742902366020591,inf,1.6219543245806545,1.0
24,200 days,0.0019738799393668326,0.044428368632742216,0.03754600806518307,inf,1.8863964599716647,1.0
25,207 days,0.0016151676125534418,0.04018914794510381,0.033693052174110116,inf,2.0,1.0
26,214 days,0.0009326177397749301,0.030538790738582462,0.026922466442178918,inf,2.0,1.0
27,221 days,0.000874060556152543,0.029564515151656777,0.026237924546491435,inf,2.0,1.0
28,228 days,0.0009198564262383874,0.030329134940488944,0.02773218072986605,inf,2.0,1.0
29,235 days,0.0009507278174574365,0.030833874512578477,0.029074395921341367,inf,2.0,1.0
30,242 days,0.0007670339492848734,0.02769537776028472,0.025907267470133256,inf,2.0,1.0
31,249 days,0.0006396321215837251,0.025290949400600306,0.023610720693103583,inf,2.0,1.0
32,256 days,0.0003038718649797613,0.017431920863168273,0.015931664558473273,inf,2.0,1.0
33,263 days,0.00023994349885718972,0.01549010971094749,0.013440755544964923,inf,2.0,1.0
34,270 days,0.00019618631230019807,0.014006652430191807,0.010745728476823285,inf,2.0,1.0
35,277 days,0.00014444627651037103,0.012018580469854625,0.009255161889878466,inf,2.0,1.0
36,284 days,5.082894548989945e-05,0.007129442158394964,0.005649666766790539,inf,2.0,1.0
37,291 days,8.936485279991577e-05,0.009453298514270866,0.007943641468482752,inf,2.0,1.0
38,298 days,8.864817885447826e-05,0.009415316184519682,0.00788822735351995,inf,2.0,1.0
39,305 days,8.888819845387191e-05,0.009428053799903345,0.007964594481702834,inf,2.0,1.0
40,312 days,7.419832951996117e-05,0.008613845222661084,0.007358254733878378,inf,2.0,1.0
41,319 days,8.879514488795384e-05,0.009423117577954434,0.008448478592757387,inf,2.0,1.0
42,326 days,0.0001291108868702867,0.011362697165298682,0.009628397889156905,inf,2.0,1.0
43,333 days,0.0006455978795838448,0.02540861821476809,0.018604827231121158,inf,2.0,1.0
44,340 days,0.004035175981018564,0.06352303504256203,0.044291545241406216,inf,2.0,1.0
45,347 days,0.016859410674900672,0.12984379336302784,0.09286065419123228,inf,2.0,0.8
46,354 days,0.043234899407131114,0.20793003488464842,0.1636309589848885,inf,1.9458669203420795,0.6000000000000001
47,361 days,0.04316338671253604,0.2077580003574737,0.16094771811924174,inf,1.5485377816947756,0.6000000000000001
