,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.017707444176297108,0.1330693209432479,0.12449261569156136,0.16988311052793614,0.17858900768325547,0.6000000000000001
1,39 days,0.02676278036405144,0.16359333838531276,0.15950999562495893,0.18414789688169278,0.21704944970435458,0.4
2,46 days,0.031426868938265164,0.17727625035030825,0.17073601856153892,0.18414789688169278,0.2210221607215675,0.4
3,53 days,0.03985249494492448,0.19963089676932397,0.19536783912995329,0.23445911889921717,0.24559377600265528,0.2
4,60 days,0.05122121560211995,0.22632104542467973,0.22179245421995944,0.2503884555833564,0.27176206765571914,0.2
5,67 days,0.06187545943186819,0.24874778276774284,0.2475397578165292,0.2515015143883519,0.2984533791973835,0.0
6,74 days,0.06693533172848949,0.25871863428923997,0.2579560763947742,0.2717175981917825,0.30822176100819587,0.0
7,81 days,0.0698815431051118,0.2643511738296462,0.26383668722106735,0.2717175981917825,0.3132999081431574,0.0
8,88 days,0.06646379109649511,0.25780572355263004,0.2557951876556188,0.2717175981917825,0.3044886146429957,0.0
9,95 days,0.05752620162093466,0.23984620409949092,0.23663952954421177,0.2706949256608669,0.2859463334268615,0.0
10,102 days,0.056173628033330786,0.23700976358228534,0.23408640198260489,0.2706949256608669,0.28816244091119914,0.0
11,109 days,0.05617702697638997,0.23701693394437023,0.23409272116345245,0.2706949256608669,0.29533279733820056,0.0
12,116 days,0.054171424931865816,0.23274755623178048,0.2301661304856011,0.2834016636484883,0.2988661922968085,0.0
13,123 days,0.0652221551479159,0.25538628613908754,0.2524383017195335,0.2838030616048087,0.33076633466517996,0.0
14,130 days,0.07236275864300581,0.26900326883330955,0.2683021511906444,0.298081173533539,0.35777255777769046,0.0
15,137 days,0.06079407083411269,0.2465645368541727,0.2355544390665265,0.298081173533539,0.3263803656503043,0.2
16,144 days,0.04662715720390097,0.21593322394643436,0.18951440777151862,0.2838030616048087,0.2774040879644778,0.4
17,151 days,0.03481206763735134,0.18657992292138867,0.14741320780325468,0.1600085459075326,0.24088821454195633,0.6000000000000001
18,158 days,0.016472450855153878,0.1283450460873106,0.09145464308638343,0.15942073984564037,0.18948353454275546,0.8
19,165 days,0.002777074941740084,0.05269795955955111,0.04650856856122163,0.15942073984564037,0.20562004321562127,1.0
20,172 days,0.0015546740767671816,0.039429355520565916,0.03826694352854156,0.1600085459075326,0.4412194879197318,1.0
21,179 days,0.0021666130393380684,0.046546890759083664,0.04402399980044225,0.5917920123149022,0.820138094487972,1.0
22,186 days,0.002248657622462366,0.04742001288973218,0.045109839417014505,4.165476151219531,1.1905069995164834,1.0
23,193 days,0.0021548870919307125,0.04642076143204366,0.042372506437855534,inf,1.5615784768633687,1.0
24,200 days,0.001860924996020689,0.04313843988858068,0.03664860623769242,inf,1.8702452202589805,1.0
25,207 days,0.0017808766029674835,0.042200433682220415,0.03587320840077819,inf,2.0,1.0
26,214 days,0.0012040479153666633,0.0346993935878808,0.03055662287608216,inf,2.0,1.0
27,221 days,0.0012658790893010313,0.035579194612877785,0.0312871386707851,inf,2.0,1.0
28,228 days,0.001288459372974827,0.03589511628306596,0.032187738331614556,inf,2.0,1.0
29,235 days,0.0013252976138866358,0.03640463725800102,0.033454835464649474,inf,2.0,1.0
30,242 days,0.0009072937010804039,0.030121316390231086,0.02740743616475457,inf,2.0,1.0
31,249 days,0.000712541481581525,0.026693472639983076,0.024521514534979777,inf,2.0,1.0
32,256 days,0.000327470104041492,0.018096135058113708,0.016662927381538285,inf,2.0,1.0
33,263 days,0.0002906162371439377,0.01704747010978279,0.01487854723018714,inf,2.0,1.0
34,270 days,0.00023166799670671696,0.015220643767814717,0.012202527670710011,inf,2.0,1.0
35,277 days,0.0002388029844168007,0.015453251580712736,0.012381884095659886,inf,2.0,1.0
36,284 days,0.00012207718844098363,0.011048854621225842,0.009267846698911017,inf,2.0,1.0
37,291 days,0.00016810636764097274,0.01296558396837461,0.011482744234553246,inf,2.0,1.0
38,298 days,0.00018780170553264029,0.01370407623784399,0.01261508859941392,inf,2.0,1.0
39,305 days,0.00018561048304293357,0.013623893828231839,0.012306749583484246,inf,2.0,1.0
40,312 days,0.00013357345628153236,0.01155739833533189,0.010716759004013489,inf,2.0,1.0
41,319 days,0.00014618434138959318,0.012090671668257029,0.011231732240942278,inf,2.0,1.0
42,326 days,0.00020149740959252613,0.014194978323073485,0.01265163197740524,inf,2.0,1.0
43,333 days,0.0007364465651859342,0.02713754899002366,0.02094353406008534,inf,2.0,1.0
44,340 days,0.004040314310372987,0.06356346679007516,0.04609858863773391,inf,2.0,1.0
45,347 days,0.015913217539148712,0.1261476021934175,0.09241341901991601,inf,2.0,0.8
46,354 days,0.036346517442040135,0.19064762637399957,0.15369133920827194,inf,1.8976556804327291,0.6000000000000001
47,361 days,0.03840889783531331,0.19598188139548336,0.16991097638568636,inf,1.5376978852491021,0.6000000000000001
