,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.15124013165076464,0.38889604221535173,0.3844905697410297,0.5401320977849219,0.7186662978084589,0.0
1,39 days,0.173274857705502,0.4162629670118422,0.4136124208295974,0.5401320977849219,0.7251899765395844,0.0
2,46 days,0.19448401135321802,0.44100341421945705,0.43760665335384863,0.5401320977849219,0.7354022190265372,0.0
3,53 days,0.22103642520695305,0.47014511079766963,0.46947427680760817,0.5410602727872204,0.7643391528713597,0.0
4,60 days,0.22738155281326394,0.4768454181527426,0.4764274032181846,0.5526972768454916,0.7690967288170829,0.0
5,67 days,0.22103477915680966,0.4701433602177209,0.46923387102210784,0.5526972768454916,0.7594315584977989,0.0
6,74 days,0.20854625141545657,0.4566686450977958,0.45412770737195657,0.5526972768454916,0.7393165293446948,0.0
7,81 days,0.16856234726693806,0.4105634509633536,0.3993595532587785,0.5148834205565066,0.6697853245230333,0.0
8,88 days,0.15755497745944025,0.39693195570455175,0.3875692660366946,0.5148834205565066,0.6573224656666623,0.0
9,95 days,0.1667832986040183,0.4083911098493922,0.3968555829271294,0.5148834205565066,0.6718151569798659,0.0
10,102 days,0.19771923759720605,0.4446563140192727,0.4277647250451098,0.539143604464991,0.7155007898998056,0.0
11,109 days,0.25687100200015994,0.5068244291667086,0.4848321710434448,0.5896747902659352,0.7946533094007165,0.0
12,116 days,0.33286946978222604,0.5769484117165296,0.5706678289041358,0.6262884366301948,0.9304814305815126,0.0
13,123 days,0.35869652197201013,0.5989127832765052,0.5964086703840061,0.6814720053146436,1.024534785601509,0.0
14,130 days,0.33092045128602104,0.5752568567918344,0.5649480255570163,0.7230876693735336,1.0943812834114883,0.0
15,137 days,0.2649182921709926,0.5147021392718245,0.4616277442989926,0.7230876693735336,1.0233873382682872,0.2
16,144 days,0.1896692856756852,0.43551037378653246,0.3786693171317583,0.7442935045874959,1.0895922575745935,0.2
17,151 days,0.10530269558693572,0.32450376821685095,0.26740388596203585,0.7442935045874959,1.095690642523596,0.4
18,158 days,0.04122574992730012,0.20304125178716792,0.15444264952151682,0.7353971599875689,0.8708101784093244,0.6000000000000001
19,165 days,0.01491192034401894,0.12211437402705277,0.0832613309156254,0.7353971599875689,1.0337186264243223,0.8
20,172 days,0.014239587894454214,0.11932974438275737,0.0748985827733481,0.811190498740876,1.3223486886883935,0.8
21,179 days,0.002134602512410448,0.04620175875884432,0.027209324119152972,inf,1.4494065569568735,1.0
22,186 days,9.787975834722337e-05,0.009893419952029903,0.007624414755082738,inf,1.6167968753337199,1.0
23,193 days,9.758558310035329e-05,0.009878541547230203,0.00740771465612636,inf,2.0,1.0
24,200 days,9.297169962553547e-05,0.009642183343285662,0.007017168607194334,inf,2.0,1.0
25,207 days,2.840419448443809e-05,0.005329558563749731,0.004563386352735995,inf,2.0,1.0
26,214 days,4.1956233806517315e-05,0.006477363183156963,0.005278219989768526,inf,2.0,1.0
27,221 days,7.255051371621655e-05,0.008517658934015647,0.007218242797878784,inf,2.0,1.0
28,228 days,7.794259236828633e-05,0.00882851020095046,0.008229670045988331,inf,2.0,1.0
29,235 days,0.000126015012330864,0.011225640842769913,0.01049730433920532,inf,2.0,1.0
30,242 days,0.00017686409650540782,0.01329902614876021,0.012577431171116451,inf,2.0,1.0
31,249 days,0.00016609447860479708,0.012887764686119818,0.012033920876262292,inf,2.0,1.0
32,256 days,0.0001570332441477644,0.012531290601840035,0.011649090077678384,inf,2.0,1.0
33,263 days,0.0002063532054950351,0.01436499932109414,0.013918305205602093,inf,2.0,1.0
34,270 days,0.00018808003172103783,0.013714227346848157,0.013297473651279913,inf,2.0,1.0
35,277 days,0.00012948776596872572,0.011379269131571048,0.010463935275436964,inf,2.0,1.0
36,284 days,0.00011526174206044572,0.010736002145139768,0.009033479458368883,inf,2.0,1.0
37,291 days,9.717577893481056e-05,0.00985777758598816,0.007899815452901231,inf,2.0,1.0
38,298 days,7.570506928719162e-05,0.00870086600788632,0.0071703396619429765,inf,2.0,1.0
39,305 days,7.112242861940999e-05,0.008433411446111828,0.006990120326911313,inf,2.0,1.0
40,312 days,6.971715647684054e-05,0.00834968002242245,0.006716969939556833,inf,2.0,1.0
41,319 days,7.10782272350781e-05,0.008430790427657308,0.0070294755938649,inf,2.0,1.0
42,326 days,7.709395846181897e-05,0.008780316535400018,0.007504616784984179,inf,2.0,1.0
43,333 days,0.00010572704434651382,0.010282365697956566,0.008443949955163023,inf,2.0,1.0
44,340 days,7.565319365917613e-05,0.008697884435837034,0.006022606911086188,inf,2.0,1.0
45,347 days,0.000582638386261918,0.024137903518365426,0.015721411766070843,inf,2.0,1.0
46,354 days,0.003357702674662949,0.05794568728268696,0.038695766632214385,inf,2.0,1.0
47,361 days,0.010516968540767507,0.10255227223600415,0.0750618026508303,inf,2.0,0.8
