,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.12801678992214147,0.3577943402600738,0.3511716537450282,0.5428932178091155,0.7172563305121737,0.0
1,39 days,0.1519441154541311,0.3898000967856872,0.3817068778269101,0.5428932178091155,0.7206047161347495,0.0
2,46 days,0.17957600360106823,0.42376408956053396,0.4139823817012397,0.5658707878328197,0.7394617170500634,0.0
3,53 days,0.216702664788627,0.46551333470549155,0.461947540328723,0.5694771905518186,0.789534888330144,0.0
4,60 days,0.24004114783718686,0.4899399430921987,0.4896607200878422,0.5800074272235406,0.8170449913082386,0.0
5,67 days,0.23390867140700866,0.48364105637032995,0.4829566594259231,0.5800074272235406,0.8076084208757014,0.0
6,74 days,0.22270899832581487,0.4719205423859136,0.47011387716365355,0.5800074272235406,0.7908951630506723,0.0
7,81 days,0.19019110720196736,0.43610905425359764,0.4304082950539603,0.5449241881067077,0.7440436715956217,0.0
8,88 days,0.15903317197352657,0.39878963373378523,0.39264251203761297,0.5215753916151801,0.7031023413388959,0.0
9,95 days,0.1548426837006962,0.3935005510805496,0.3882722224942213,0.5215753916151801,0.7072024902607206,0.0
10,102 days,0.18481486020479887,0.4299009888390568,0.4174529099740094,0.5215753916151801,0.7505982224834427,0.0
11,109 days,0.23657803062368074,0.4863928768225135,0.46658669811861947,0.5902670775474306,0.8192483911916408,0.0
12,116 days,0.29707768770459064,0.5450483352002744,0.5308332138720195,0.651371565782481,0.918015766026656,0.0
13,123 days,0.32973670030287283,0.574227045952098,0.5700688987390885,0.6880228186762266,1.0106328841528445,0.0
14,130 days,0.31544280894397025,0.5616429550381365,0.5533165081077457,0.7092737233295531,1.064137824048624,0.0
15,137 days,0.250628462643419,0.500628068173788,0.4642460079885331,0.7092737233295531,1.0260723908861387,0.2
16,144 days,0.18909081009654394,0.43484573137670784,0.40193867413908635,0.7104708028760902,1.078682564394228,0.2
17,151 days,0.11573521024227235,0.3401987804832233,0.3114015952785716,0.7117309975435794,1.0922801775298194,0.2
18,158 days,0.06401731783317602,0.253016437871487,0.22389996208129448,0.7117309975435794,1.0841830211125782,0.4
19,165 days,0.03441266212152809,0.18550650156134174,0.14728097864486567,0.7203617017143408,1.0883713659494427,0.6000000000000001
20,172 days,0.030555657719302125,0.174801766922712,0.12411405221267985,0.7369824289043321,1.3332415351664781,0.6000000000000001
21,179 days,0.007753101246955222,0.08805169644564051,0.05978032676521375,0.7369824289043321,1.4708646588619219,0.8
22,186 days,0.0013698972353542445,0.037012122816102354,0.025337755120714577,inf,1.6374609609972912,1.0
23,193 days,0.0001926694261987159,0.01388054127902496,0.010537781778304323,inf,1.8251766620862833,1.0
24,200 days,0.00020811354660312334,0.014426141084958353,0.011996564169633682,inf,2.0,1.0
25,207 days,8.740205520952569e-05,0.009348906631768534,0.008162072392858941,inf,2.0,1.0
26,214 days,5.074014136808421e-05,0.007123211450468406,0.006730941353829806,inf,2.0,1.0
27,221 days,7.069486130565422e-05,0.008408023626611322,0.007809159116798381,inf,2.0,1.0
28,228 days,7.390740098190906e-05,0.008596941373646156,0.008229426697521998,inf,2.0,1.0
29,235 days,0.00010177448943544484,0.010088334324131256,0.009402870446114275,inf,2.0,1.0
30,242 days,0.00016253406131550366,0.012748884708691332,0.01186893289054593,inf,2.0,1.0
31,249 days,0.00017021465792382061,0.013046633969105619,0.01224637629490316,inf,2.0,1.0
32,256 days,0.00017190683552532164,0.013111324705205102,0.012316164971724849,inf,2.0,1.0
33,263 days,0.00022245633311267422,0.014914970100964809,0.014667228817679704,inf,2.0,1.0
34,270 days,0.00023152086850277803,0.0152158098208008,0.014958937893615926,inf,2.0,1.0
35,277 days,0.0001727068766143429,0.013141798834799705,0.01264192514290952,inf,2.0,1.0
36,284 days,0.00015318306404852602,0.012376714590250758,0.011437975669638023,inf,2.0,1.0
37,291 days,0.000135138748156995,0.011624919275289398,0.010540677987936712,inf,2.0,1.0
38,298 days,0.00011659804769861648,0.010798057589150768,0.009926438631865913,inf,2.0,1.0
39,305 days,9.36531298224181e-05,0.009677454718179677,0.009121584309343771,inf,2.0,1.0
40,312 days,8.462332353321829e-05,0.009199093625636076,0.008054816173851884,inf,2.0,1.0
41,319 days,7.999757382132151e-05,0.008944136281459574,0.007373643267027779,inf,2.0,1.0
42,326 days,6.978054502979838e-05,0.008353475027184698,0.006441740093379739,inf,2.0,1.0
43,333 days,5.1375603535171264e-05,0.0071676776947049775,0.005646231711854917,inf,2.0,1.0
44,340 days,2.6923299486123604e-05,0.0051887666632952,0.0042486272543320715,inf,2.0,1.0
45,347 days,0.0004689500256088729,0.02165525399548278,0.013343170166262347,inf,2.0,1.0
46,354 days,0.002583163905129262,0.05082483551502417,0.03357059774790687,inf,2.0,1.0
47,361 days,0.008195579940881586,0.09052944239793806,0.06644959868443344,inf,2.0,0.8
