,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.006230028895966751,0.07893053208972274,0.07728353279755336,0.08078539920366301,0.08208586950161645,1.0
1,39 days,0.0059740723115358114,0.07729212321793089,0.07557538846082193,0.07209392743216576,0.08020666562040821,1.0
2,46 days,0.005755215166405769,0.0758631344356781,0.07440410961013191,0.07209392743216576,0.07885021402566698,1.0
3,53 days,0.006737404177482264,0.08208169209685107,0.08142361992051167,0.08797515206745198,0.08590230253069715,1.0
4,60 days,0.006834309740073245,0.08266988411793769,0.08212700747899573,0.08797515206745198,0.08653609827767002,1.0
5,67 days,0.005973520989005781,0.07728855664977695,0.0765689362937296,0.07224303345291787,0.08089220359918654,1.0
6,74 days,0.005697589817815527,0.07548238084358182,0.0744586033628813,0.07224303345291787,0.07886768780561987,1.0
7,81 days,0.004584451634781106,0.06770857873845164,0.06660444497638411,0.06546735437883174,0.07101723870930443,1.0
8,88 days,0.0049457175084422255,0.07032579546967262,0.06855939927522596,0.06546735437883174,0.07320669398965834,1.0
9,95 days,0.004070500023769487,0.06380047040398282,0.05938813652337787,0.06264185663302155,0.06377536745929485,1.0
10,102 days,0.003968643113098918,0.06299716750060211,0.05855962005453279,0.06264185663302155,0.06375836389576396,1.0
11,109 days,0.003985521196403686,0.0631309844403181,0.05869922511094914,0.06373953642127743,0.06399245880224454,1.0
12,116 days,0.0059305865889616475,0.07701030183658318,0.07067945191836177,0.06996250279174712,0.07670906271463886,1.0
13,123 days,0.006545172375312989,0.08090223961864708,0.07361647148273087,0.06996250279174712,0.08052413613926575,1.0
14,130 days,0.008116381943426464,0.09009096482681526,0.08706606565053275,0.09771654290799024,0.09551260161884491,1.0
15,137 days,0.011246111538411617,0.10604768521005829,0.10288249031518566,0.11262502285380241,0.11279420503673859,1.0
16,144 days,0.015762659040201885,0.12554942867333918,0.12314451955186635,0.11502642686330666,0.13674900760208286,0.8
17,151 days,0.015584382385046332,0.12483742381612307,0.1223273804957461,0.1256373543898617,0.13969162157939818,0.8
18,158 days,0.01727025481530586,0.1314163415078424,0.12889310601344117,0.14299484074958396,0.15153260663326537,0.8
19,165 days,0.018317559029769614,0.13534237706560948,0.1339014522803544,0.14299484074958396,0.16054367016569351,0.8
20,172 days,0.018736160416615272,0.13688009503435944,0.1353737317049561,0.16436834513753065,0.1655597804114607,0.8
21,179 days,0.018426763767631686,0.13574521637108133,0.13440496993349238,0.16436834513753065,0.16831204346705053,0.8
22,186 days,0.02589411354571137,0.1609164800314479,0.15717552650635835,0.1661896082129869,0.20320469807579064,0.6000000000000001
23,193 days,0.0480505710066996,0.21920440462431315,0.2008102708978549,0.1812999341613182,0.27681312235913147,0.4
24,200 days,0.08776695426825179,0.2962548805813193,0.26954455508005426,0.26728964927928184,0.40067751906939114,0.2
25,207 days,0.08352112910108593,0.28900022335819386,0.24165169272784634,0.26728964927928184,0.36941857386461835,0.2
26,214 days,0.08223588090675799,0.2867679914264456,0.23725864704578392,0.430937341459631,0.5194288152542332,0.4
27,221 days,0.07708513609820157,0.27764210073078177,0.2234381639593535,0.5544502540235213,0.8277737019879818,0.4
28,228 days,0.05251196194161371,0.22915488635770723,0.16969369123114172,1.8074362682678249,1.1179151595992378,0.6000000000000001
29,235 days,0.012317913221107596,0.11098609471959807,0.0988218748336411,24.71055286924461,1.364492489624228,0.8
30,242 days,0.0151691008350167,0.12316290364804128,0.12146008601621926,inf,1.7599341520528775,0.8
31,249 days,0.014962345542484072,0.12232066686575933,0.12068491800350596,inf,1.970049290858328,0.8
32,256 days,0.012146305641275324,0.11021027919969772,0.10925878774499644,inf,2.0,1.0
33,263 days,0.011624451933687144,0.10781675163761494,0.10625024445454957,inf,2.0,1.0
34,270 days,0.01059036620784064,0.10290950494410436,0.10065453111461148,inf,2.0,1.0
35,277 days,0.008567194792698296,0.09255914213462815,0.08967259231707214,inf,1.9964959239616094,1.0
36,284 days,0.005773336735397219,0.07598247650213318,0.0748820171643581,inf,1.9775518492631128,1.0
37,291 days,0.004729121186941584,0.06876860611457516,0.06818050628366702,226.3055479490965,1.8214456839870325,1.0
38,298 days,0.00544411076117318,0.07378421756157058,0.07218721512957807,40.22956321342388,1.693156034396233,1.0
39,305 days,0.011310674402566607,0.10635165444207535,0.09417792671893399,4.235888885437975,1.412930134796361,0.8
40,312 days,0.043230381724535846,0.2079191711327646,0.16218548769319407,3.1247175189088052,1.154033881256433,0.6000000000000001
41,319 days,0.051351122492541174,0.22660786061507482,0.19259912910710736,0.5119038496201136,0.8336433938003225,0.4
42,326 days,0.05417241912185092,0.23274969199088302,0.20708620539822575,0.46086982905814045,0.6223244912605431,0.4
43,333 days,0.05262207529433777,0.22939502020387836,0.19639669054548864,0.26338176412424075,0.3610748094252315,0.4
44,340 days,0.04620670107093454,0.21495744013858775,0.1703929059361311,0.15060943092409257,0.2541282685491931,0.6000000000000001
45,347 days,0.015068547615147136,0.12275401262340525,0.10744083943950292,0.09282710509976136,0.13599764686409543,0.8
46,354 days,0.008130732956213497,0.09017057699833964,0.08473462451381715,0.09282710509976136,0.09613897200048202,1.0
47,361 days,0.005672342012054475,0.07531495211479906,0.07292219471989492,0.07799356375215409,0.07979573650189742,1.0
