,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,6.232075693713148e-10,2.496412564804373e-05,2.3883800318160506e-05,inf,2.0,1.0
1,39 days,2.327749044620853e-06,0.0015256962491337694,0.0007004631335836958,inf,1.9959720528408913,1.0
2,46 days,2.3276078650098184e-06,0.0015256499811587907,0.0006970348538833129,inf,1.9959720528408913,1.0
3,53 days,2.331418294790487e-06,0.001526898259475885,0.0007192354559513427,inf,1.9874538002469482,1.0
4,60 days,2.3313576602600874e-06,0.0015268784038881705,0.0007173037599797759,inf,1.9874538002469482,1.0
5,67 days,5.034905744759374e-06,0.002243859564402232,0.0014504181872768912,0.994939587206947,1.979432099597906,1.0
6,74 days,2.7587950078326236e-06,0.0016609620729663346,0.0008693426348725002,0.9898713125654882,1.9010944836533614,1.0
7,81 days,2.7598055042971484e-06,0.0016612662352245495,0.0008813566697410916,0.9898713125654882,1.9010944836533616,1.0
8,88 days,2.7567426347160385e-06,0.001660344131412533,0.0008667410337713082,inf,1.9096127362473045,1.0
9,95 days,2.7576538755411003e-06,0.001660618521979416,0.0008782416679566124,inf,1.9096127362473048,1.0
10,102 days,5.506619010892205e-08,0.00023466186334579817,0.0001569444507567631,inf,1.9176344368963467,1.0
11,109 days,4.6408030250445764e-09,6.81234396154846e-05,6.802456864435683e-05,inf,2.0,1.0
12,116 days,3.878094699419525e-09,6.227435025288923e-05,6.10454419820719e-05,inf,2.0,1.0
13,123 days,2.947521056615677e-09,5.429107713626316e-05,4.779876773992574e-05,inf,2.0,1.0
14,130 days,2.1671937837546114e-09,4.655312861403207e-05,3.968427943629768e-05,inf,2.0,1.0
15,137 days,1.7117455901948374e-09,4.137324727640843e-05,3.593990769944658e-05,inf,2.0,1.0
16,144 days,1.5055880423629026e-09,3.880190771550933e-05,3.412191596710489e-05,inf,2.0,1.0
17,151 days,1.6209010469575035e-09,4.026041538481072e-05,3.553739085766539e-05,inf,2.0,1.0
18,158 days,2.1247875363559434e-09,4.6095417737080365e-05,4.518258776186036e-05,inf,2.0,1.0
19,165 days,2.4775675144504786e-09,4.9775169657676495e-05,4.969614675113072e-05,inf,2.0,1.0
20,172 days,2.4410038342617524e-09,4.940651611135673e-05,4.933450734801872e-05,inf,2.0,1.0
21,179 days,2.387295531908088e-09,4.885995836989721e-05,4.8806231575884235e-05,inf,2.0,1.0
22,186 days,2.2220159364827807e-09,4.7138264037645475e-05,4.668564128095618e-05,inf,2.0,1.0
23,193 days,1.8812346281502338e-09,4.337320172814354e-05,4.2364407148580004e-05,inf,2.0,1.0
24,200 days,1.4649103068158658e-09,3.827414671571224e-05,3.6557313515835996e-05,inf,2.0,1.0
25,207 days,1.0218150341551374e-09,3.196584167756478e-05,2.9786743351515212e-05,inf,2.0,1.0
26,214 days,5.883144788678006e-10,2.4255194884143905e-05,2.325476672281335e-05,inf,2.0,1.0
27,221 days,4.056356260900997e-10,2.0140397863252347e-05,1.948876979274278e-05,inf,2.0,1.0
28,228 days,3.182017234101759e-10,1.7838209646995853e-05,1.7674137042408323e-05,inf,2.0,1.0
29,235 days,3.777434818096288e-10,1.9435624039624475e-05,1.8895200338762867e-05,inf,2.0,1.0
30,242 days,4.799936204207439e-10,2.1908756706411796e-05,2.1252414819639006e-05,inf,2.0,1.0
31,249 days,5.209794104280433e-10,2.2824973393808005e-05,2.2304268582440022e-05,inf,2.0,1.0
32,256 days,5.369530056174762e-10,2.3172246451681722e-05,2.280094696145791e-05,inf,2.0,1.0
33,263 days,5.500197081197174e-10,2.3452498973877335e-05,2.3121884031450194e-05,inf,2.0,1.0
34,270 days,5.224786513926983e-10,2.2857791918571187e-05,2.2594591479340618e-05,inf,2.0,1.0
35,277 days,4.530539566525354e-10,2.1285064168391304e-05,2.1145821551952128e-05,inf,2.0,1.0
36,284 days,3.99005508814462e-10,1.9975122247797684e-05,1.968113971859149e-05,inf,2.0,1.0
37,291 days,3.582457751185177e-10,1.892738162341843e-05,1.8178930097853798e-05,inf,2.0,1.0
38,298 days,2.881102953196591e-10,1.6973812044430652e-05,1.5917268377100735e-05,inf,2.0,1.0
39,305 days,1.9850417907138745e-10,1.4089151112518718e-05,1.3541415537526998e-05,inf,2.0,1.0
40,312 days,1.489166538519193e-10,1.2203141146930954e-05,1.2048273806067035e-05,inf,2.0,1.0
41,319 days,1.3125019714863522e-10,1.1456447841658218e-05,1.1374167066595018e-05,inf,2.0,1.0
42,326 days,1.261417302699285e-10,1.1231283553981197e-05,1.1093794412318738e-05,inf,2.0,1.0
43,333 days,1.264415206724102e-10,1.1244621855465404e-05,1.110895212485113e-05,inf,2.0,1.0
44,340 days,1.207485087869671e-10,1.0988562635166036e-05,1.0878305681769088e-05,inf,2.0,1.0
45,347 days,1.1215613383942966e-10,1.0590379305739226e-05,1.0519553471713744e-05,inf,2.0,1.0
46,354 days,1.0711994922537645e-10,1.0349876773439211e-05,1.028720271367202e-05,inf,2.0,1.0
47,361 days,1.0139519757787998e-10,1.0069518239612061e-05,9.902912852100689e-06,inf,2.0,1.0
