,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.04097340592392973,0.2024188872707528,0.17536626527813057,0.25543232843025865,0.24223359874365824,0.4
1,39 days,0.05138487876716862,0.22668233007265612,0.1942129920442483,0.25543232843025865,0.24923751529361296,0.4
2,46 days,0.06474927205571945,0.2544587826264196,0.21973366010379786,0.30919825199946177,0.2709863731945235,0.4
3,53 days,0.091280853318771,0.3021272138003642,0.29226816286787655,0.32490929331524193,0.3605084439449634,0.2
4,60 days,0.11191839438177624,0.3345420666848584,0.3338442371685799,0.3344270283652524,0.4090820829704124,0.0
5,67 days,0.11628998856712935,0.341013179462509,0.3406551648414802,0.3463640430725052,0.4197161837776107,0.0
6,74 days,0.10926399781704825,0.33055105175607635,0.3286816596062983,0.3463640430725052,0.409170695815562,0.0
7,81 days,0.10077654435011252,0.3174532160021576,0.31399317194570237,0.3463640430725052,0.39303490835271504,0.0
8,88 days,0.09221755867902129,0.303673440852211,0.30110315674753035,0.31418310215373463,0.3775581066359143,0.0
9,95 days,0.07444178478560792,0.27284021841658157,0.2681560924251364,0.28708678006951766,0.34028408204189187,0.0
10,102 days,0.07197650661463784,0.26828437638937874,0.26440460724521897,0.28708678006951766,0.3366321072464536,0.0
11,109 days,0.0738815939338536,0.271811688368719,0.267903880847285,0.3094273272489411,0.3428039462289616,0.0
12,116 days,0.08941870339953407,0.2990296028816112,0.2926415069629304,0.31418310215373463,0.3735543120766943,0.0
13,123 days,0.10117809411732087,0.3180850422722214,0.30979990580928574,0.33378613443498323,0.4020503920500664,0.0
14,130 days,0.12600712477956477,0.3549748227403808,0.35213620496825304,0.3836090502505262,0.46910646963950686,0.0
15,137 days,0.12317633736337158,0.3509648662806173,0.34753621471959445,0.4096801645600406,0.5024818798152502,0.0
16,144 days,0.11756224065870607,0.34287350533207733,0.33645210284204286,0.4420820203557324,0.5476800889745678,0.0
17,151 days,0.08950787856213778,0.2991786733076704,0.2676491327487425,0.4420820203557324,0.48648589371852846,0.2
18,158 days,0.0608292376453763,0.24663584014772935,0.20505338792091676,0.4549731817928484,0.589551577491033,0.4
19,165 days,0.029885417217901944,0.17287399231203618,0.13871834312118272,0.45682178969573195,0.7961349838967458,0.6000000000000001
20,172 days,0.012565188264151705,0.11209455055510818,0.08620336805870552,2.126032732825175,1.082629131565116,0.8
21,179 days,0.002661570888093997,0.051590414692014225,0.04844383066920928,8.578340530141487,1.3642184939225173,1.0
22,186 days,0.00266829415217832,0.051655533606558744,0.0485484605558575,inf,1.7304829197907778,1.0
23,193 days,0.0016945212239431562,0.04116456272017421,0.038032065695506205,inf,1.9243737713188083,1.0
24,200 days,0.0008560114564364502,0.029257673462468787,0.028295500776768037,inf,2.0,1.0
25,207 days,0.0007321007539924263,0.027057360440228207,0.026091468815253746,inf,2.0,1.0
26,214 days,0.0007731433958245886,0.027805456223996553,0.026630245857190565,inf,2.0,1.0
27,221 days,0.0008150002447486785,0.028548209133826215,0.027247015965896872,inf,2.0,1.0
28,228 days,0.0008575470086871152,0.02928390357665991,0.028197444634755407,inf,2.0,1.0
29,235 days,0.0007928607544871363,0.028157783195541804,0.02549199111022332,inf,2.0,1.0
30,242 days,0.000729576443515815,0.02701067277051453,0.023760088395050602,inf,2.0,1.0
31,249 days,0.000422610737221979,0.020557498321098776,0.016774999090507524,inf,2.0,1.0
32,256 days,0.0001713935980496814,0.013091737778067563,0.00998573765683378,inf,2.0,1.0
33,263 days,5.293511885239387e-05,0.007275652469187479,0.005944232243289037,inf,2.0,1.0
34,270 days,4.7545763670009045e-05,0.0068953436223301474,0.0049132684992411,inf,2.0,1.0
35,277 days,1.1138673573177832e-05,0.0033374651418670775,0.0028266030347249785,inf,2.0,1.0
36,284 days,7.127783084196482e-06,0.0026697908315440146,0.002031796704172227,inf,2.0,1.0
37,291 days,6.827995139687005e-06,0.0026130432716828483,0.001909033897437214,inf,2.0,1.0
38,298 days,6.214754658286828e-05,0.007883371523838533,0.004447295671960269,inf,2.0,1.0
39,305 days,0.00015490871224729601,0.012446232853650778,0.008747264762480871,inf,2.0,1.0
40,312 days,0.0001581763386687594,0.01257681750955938,0.009116133281620456,inf,2.0,1.0
41,319 days,0.0001616416591513717,0.012713837310244759,0.009848281669909592,inf,2.0,1.0
42,326 days,0.0001724028117082112,0.01313022512024113,0.01114385770264694,inf,2.0,1.0
43,333 days,0.0004369654774504805,0.020903719225307264,0.015745460598819754,inf,2.0,1.0
44,340 days,0.002875310765644646,0.05362192430009059,0.03393758731768791,inf,2.0,1.0
45,347 days,0.0127563788712644,0.11294414049106044,0.07733480827520516,inf,2.0,0.8
46,354 days,0.016981025673275803,0.13031126456786382,0.10557521107310291,inf,1.707765845229983,0.8
47,361 days,0.01759446738889631,0.13264413816259016,0.11527151891470151,inf,1.3351878787576825,0.8
