,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.0861255471744516,0.29347154406254045,0.25947385908414605,0.307995173839376,0.3454405634372353,0.4
1,39 days,0.07907896935828684,0.28120983154627943,0.25075087874647534,0.307995173839376,0.3285440962511137,0.4
2,46 days,0.10018238617999793,0.31651601251753114,0.2884308382857398,0.37135105538376967,0.3687157765069344,0.2
3,53 days,0.13479369757790863,0.36714261204320675,0.36404014814694513,0.3821559930938049,0.46231654331462785,0.0
4,60 days,0.143084665906868,0.37826533796644385,0.3774810940549002,0.3821559930938049,0.48189170413629123,0.0
5,67 days,0.14078149028701448,0.37520859569979803,0.37431053143543136,0.3821559930938049,0.48306338258077264,0.0
6,74 days,0.11580742889401284,0.3403049057742378,0.32696337983609686,0.375261903372091,0.430798585279757,0.2
7,81 days,0.08817036658318683,0.29693495345477067,0.2607569197283912,0.3752266533698497,0.3479234481982785,0.4
8,88 days,0.06722722652923979,0.25928213692663016,0.2300641635341768,0.30079537821954033,0.3111891682355021,0.4
9,95 days,0.04443293659709163,0.2107912156544756,0.17263061374126665,0.190947539575425,0.23622878175023648,0.6000000000000001
10,102 days,0.04153268656616256,0.20379569810514295,0.16842455984258378,0.190947539575425,0.23128681367973625,0.6000000000000001
11,109 days,0.04353050315264772,0.2086396490426681,0.17463329828955446,0.22846722332728744,0.24065269829317648,0.6000000000000001
12,116 days,0.07680807663367654,0.277142700848636,0.24803040745016805,0.30079537821954033,0.33083240889562954,0.4
13,123 days,0.0992315287481624,0.31501036292186074,0.2804758929508982,0.3587535074567358,0.3715994742282749,0.4
14,130 days,0.1336699801215,0.3656090536645667,0.35321871789136644,0.4113634957489876,0.4743530488369787,0.2
15,137 days,0.13716533993288135,0.37035839390093667,0.3582574014893258,0.43620369101682616,0.5103217320969233,0.2
16,144 days,0.18706835624529172,0.432513995432855,0.4289255868943674,0.46207152853095246,0.6386221222681532,0.0
17,151 days,0.17873152408534948,0.42276651249282915,0.4180413572850438,0.47154129393495975,0.7021387750644749,0.0
18,158 days,0.14232360690823936,0.37725801105906204,0.3332477304895692,0.47154129393495975,0.593890779425887,0.2
19,165 days,0.10731271342028462,0.32758619235292047,0.2519588037437423,0.47154129393495975,0.4961236585572586,0.4
20,172 days,0.08200511970980547,0.28636536052708167,0.19039514894018622,0.5892970044641739,0.7275579376581925,0.6000000000000001
21,179 days,0.026682383375648724,0.16334743149388278,0.09712839538419779,0.5892970044641739,0.9476712090718431,0.8
22,186 days,0.0023392500088249128,0.04836579378884329,0.03990984880665363,15.71375740855957,1.1805780629371836,1.0
23,193 days,0.0030946905730601442,0.05562994313371302,0.05167322917587697,inf,1.5772504809865244,1.0
24,200 days,0.003699812582280644,0.060826084719309725,0.06051325989470181,inf,1.954837362760008,1.0
25,207 days,0.0038069228229944936,0.06170026598803682,0.06150308781739322,inf,2.0,1.0
26,214 days,0.003995626893697095,0.0632109713079707,0.06291258457058532,inf,2.0,1.0
27,221 days,0.0037919843873275455,0.061579090504225095,0.06136529150752762,inf,2.0,1.0
28,228 days,0.0033940527554893692,0.058258499427030985,0.05753474851390059,inf,2.0,1.0
29,235 days,0.002810067675849701,0.05301007145674962,0.049448972465852434,inf,2.0,1.0
30,242 days,0.002189648426006249,0.04679367933819961,0.04012500972619172,inf,2.0,1.0
31,249 days,0.0012211320926517736,0.03494470049452096,0.02824661857436988,inf,2.0,1.0
32,256 days,0.0004946993084643831,0.022241836895013484,0.01871653525807895,inf,2.0,1.0
33,263 days,0.0001624366580326548,0.01274506406545902,0.012554514022407127,inf,2.0,1.0
34,270 days,0.00014464315561599542,0.012026768294766281,0.011934409223421809,inf,2.0,1.0
35,277 days,0.00017301254001159087,0.013153423129041004,0.013047539379351504,inf,2.0,1.0
36,284 days,0.00018272053682610986,0.013517416055818873,0.013449465869069217,inf,2.0,1.0
37,291 days,0.000161961721926057,0.012726418267763205,0.0125953408326151,inf,2.0,1.0
38,298 days,0.0001469084331802984,0.01212057891275406,0.01181084376932314,inf,2.0,1.0
39,305 days,0.0001819651658752821,0.01348944646289395,0.01293409425652038,inf,2.0,1.0
40,312 days,0.00015543155299621225,0.01246721913644788,0.011911080714217058,inf,2.0,1.0
41,319 days,0.00013185898939091191,0.011482986954225451,0.01075443177450201,inf,2.0,1.0
42,326 days,0.00017098803024023795,0.013076239147409241,0.012191895852840818,inf,2.0,1.0
43,333 days,0.0010829073437442522,0.03290755754753385,0.024256264795505203,inf,2.0,1.0
44,340 days,0.005914206094415867,0.07690387567877101,0.051875733105845624,inf,2.0,1.0
45,347 days,0.021245064814471182,0.14575686884147582,0.10520572526628885,inf,2.0,0.8
46,354 days,0.04482726983142683,0.2117245140068264,0.17243790499780035,inf,1.905276309918317,0.6000000000000001
47,361 days,0.0457996523532173,0.21400853336541817,0.18336078021176078,inf,1.53765443006148,0.6000000000000001
