,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,1.3362667879794356e-06,0.001155970063617322,0.0005430933936465714,inf,1.9633447105829194,1.0
1,39 days,0.0001214212239960145,0.011019129911023579,0.005435220191354406,inf,1.956582622371358,1.0
2,46 days,0.00022096967583278639,0.014865048800215436,0.009889828962241248,0.9914753340566953,1.947428705525525,1.0
3,53 days,0.0003795049173783306,0.019480885949523203,0.015515745953361831,0.9903599001410177,1.939790261006272,1.0
4,60 days,0.00039948366845138383,0.019987087542995947,0.017509391923441118,0.9884251600395818,1.917780147398347,1.0
5,67 days,0.0072609364232615594,0.08521112851770923,0.05404064716555228,0.9903599001410177,1.9530101394105017,0.8
6,74 days,0.0084740134758308,0.092054404977876,0.06546881097779789,0.9903599001410177,1.9563181450240208,0.6000000000000001
7,81 days,0.008374487475845743,0.09151222582718521,0.06107419752490287,0.9956636742181696,1.9654720618698538,0.6000000000000001
8,88 days,0.008215971923844115,0.09064199867525051,0.05550624467932455,0.9982151984024857,1.9731105063891068,0.6000000000000001
9,95 days,0.008196012321761568,0.09053183043417143,0.0535694121430039,inf,1.9951206199970322,0.6000000000000001
10,102 days,0.0013332436027840072,0.03651360846018929,0.016583645750656687,inf,1.9965459174019582,0.8
11,109 days,9.896945110540215e-08,0.00031459410532526215,0.0003143357635939041,inf,2.0,1.0
12,116 days,8.796625308994495e-08,0.0002965910536242537,0.0002953392022715366,inf,2.0,1.0
13,123 days,7.24487204729403e-08,0.0002691629998215585,0.0002617018908735023,inf,2.0,1.0
14,130 days,5.354251590852708e-08,0.00023139255802321536,0.00020834395698493403,inf,2.0,1.0
15,137 days,3.446556397054789e-08,0.0001856490343916388,0.00015401589811462826,inf,2.0,1.0
16,144 days,1.7766713270074424e-08,0.00013329183497151812,0.00010891105117484572,inf,2.0,1.0
17,151 days,6.844736517225454e-09,8.273292281326373e-05,7.315480674465734e-05,inf,2.0,1.0
18,158 days,3.605536621361268e-09,6.004612078528694e-05,5.838207367546842e-05,inf,2.0,1.0
19,165 days,4.277840435542041e-09,6.540520189971162e-05,6.415719356349919e-05,inf,2.0,1.0
20,172 days,5.224654918948081e-09,7.228177445904383e-05,7.209933295016505e-05,inf,2.0,1.0
21,179 days,5.643688745134134e-09,7.512448831861774e-05,7.475207609002231e-05,inf,2.0,1.0
22,186 days,5.5561036076191956e-09,7.453927560433624e-05,7.404068608424714e-05,inf,2.0,1.0
23,193 days,4.855889808371899e-09,6.968421491537305e-05,6.794906654219445e-05,inf,2.0,1.0
24,200 days,3.917937959239083e-09,6.259343383486068e-05,5.826778382332213e-05,inf,2.0,1.0
25,207 days,2.7194388055827076e-09,5.2148238758204555e-05,4.5962910614950555e-05,inf,2.0,1.0
26,214 days,1.401590619974227e-09,3.74378233872407e-05,3.428220356418873e-05,inf,2.0,1.0
27,221 days,7.775615866619699e-10,2.788479131465699e-05,2.6585572960208623e-05,inf,2.0,1.0
28,228 days,5.9492159979007e-10,2.4391014734735205e-05,2.4040561354420386e-05,inf,2.0,1.0
29,235 days,7.943521346081374e-10,2.81842533093949e-05,2.71544284811908e-05,inf,2.0,1.0
30,242 days,1.080361470610728e-09,3.286885259041952e-05,3.193777472599603e-05,inf,2.0,1.0
31,249 days,1.2574266315356634e-09,3.5460211949954043e-05,3.455982250636532e-05,inf,2.0,1.0
32,256 days,1.3168213956431852e-09,3.628803378034122e-05,3.57795815020921e-05,inf,2.0,1.0
33,263 days,1.3456252393594904e-09,3.668276488161014e-05,3.624881399192546e-05,inf,2.0,1.0
34,270 days,1.3002976766261645e-09,3.605964055042929e-05,3.565752442515958e-05,inf,2.0,1.0
35,277 days,1.1671955059648197e-09,3.416424309076406e-05,3.38784145613665e-05,inf,2.0,1.0
36,284 days,1.028683955732295e-09,3.207310330685659e-05,3.192388442948526e-05,inf,2.0,1.0
37,291 days,1.0101679430059296e-09,3.1783139288086846e-05,3.157483796181002e-05,inf,2.0,1.0
38,298 days,9.225926243206285e-10,3.037420985508312e-05,3.0008129089093437e-05,inf,2.0,1.0
39,305 days,7.796668388758424e-10,2.7922514909582238e-05,2.771088322882375e-05,inf,2.0,1.0
40,312 days,6.955417368087512e-10,2.6373125275718676e-05,2.6279210259836235e-05,inf,2.0,1.0
41,319 days,6.268426019973838e-10,2.503682491845529e-05,2.502625046054454e-05,inf,2.0,1.0
42,326 days,5.733069377643543e-10,2.394382880335462e-05,2.3847235371288036e-05,inf,2.0,1.0
43,333 days,5.473530462556479e-10,2.3395577493527444e-05,2.3272940393569195e-05,inf,2.0,1.0
44,340 days,5.087454748820325e-10,2.2555386826255774e-05,2.2444207236513127e-05,inf,2.0,1.0
45,347 days,4.1236748145246674e-10,2.0306833368412386e-05,1.9995443410599712e-05,inf,2.0,1.0
46,354 days,3.2692953906893827e-10,1.8081192965867554e-05,1.768803281010235e-05,inf,2.0,1.0
47,361 days,2.670258970684255e-10,1.634092705657869e-05,1.56424208877462e-05,inf,2.0,1.0
