,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,1.2111015885801122e-10,1.100500608168897e-05,1.0640931557815971e-05,inf,2.0,1.0
1,39 days,2.4696612816748134e-05,0.004969568675121427,0.002231162898388652,inf,1.997810018617718,1.0
2,46 days,2.4939196167985897e-05,0.004993915915189792,0.0024492609740068175,inf,1.9697920005068328,1.0
3,53 days,2.6522629142308262e-05,0.0051500125380729185,0.003009548048385413,0.9972550089229559,1.9578299568078048,1.0
4,60 days,2.6524487255474266e-05,0.005150192933810758,0.0030276678421175224,0.9848204726645684,1.7620629789897473,1.0
5,67 days,0.0003059125856200046,0.017490356932321437,0.010499932853936026,0.9848204726645684,1.7609338257435128,0.8
6,74 days,0.0002933821532900903,0.01712840194793695,0.009837355580875918,0.9848204726645684,1.757285808402633,0.8
7,81 days,0.00029314013360786333,0.01712133562569998,0.00962791845674544,0.9926488566391042,1.785303826513518,0.8
8,88 days,0.0002915571289633712,0.01707504403986623,0.009074742758717185,0.9985865634591337,1.797265870212546,0.8
9,95 days,0.00029155566925204477,0.017075001295813852,0.009064434238461299,inf,1.9930328480306034,0.8
10,102 days,1.2167940064378689e-05,0.0034882574538555333,0.0015983593117571938,inf,1.9941620012768382,1.0
11,109 days,2.2387918407328467e-09,4.731587303149807e-05,4.716317766823597e-05,inf,2.0,1.0
12,116 days,1.886316698818079e-09,4.343174759111219e-05,4.317881329430204e-05,inf,2.0,1.0
13,123 days,1.4898447256882508e-09,3.859850678055112e-05,3.712983494954185e-05,inf,2.0,1.0
14,130 days,1.0843918618509498e-09,3.293010570664707e-05,2.8254702152156368e-05,inf,2.0,1.0
15,137 days,7.278254285457574e-10,2.697823990822525e-05,2.2474836400777253e-05,inf,2.0,1.0
16,144 days,4.373866809751213e-10,2.091379164511116e-05,1.7949425583179358e-05,inf,2.0,1.0
17,151 days,2.6370969153888327e-10,1.623914072661738e-05,1.4594535797957972e-05,inf,2.0,1.0
18,158 days,2.745719924462408e-10,1.6570214013290256e-05,1.4889903095838144e-05,inf,2.0,1.0
19,165 days,3.472124007627993e-10,1.8633636273223734e-05,1.8572872247639796e-05,inf,2.0,1.0
20,172 days,3.7195729913889856e-10,1.9286194521960485e-05,1.9256267339611887e-05,inf,2.0,1.0
21,179 days,3.661626137090994e-10,1.913537597511738e-05,1.911439058972251e-05,inf,2.0,1.0
22,186 days,3.420457783035577e-10,1.8494479671068276e-05,1.8339401065316417e-05,inf,2.0,1.0
23,193 days,2.9023338460232633e-10,1.7036237395690587e-05,1.6580555219573178e-05,inf,2.0,1.0
24,200 days,2.2809342265003483e-10,1.5102762086785146e-05,1.4221801605373684e-05,inf,2.0,1.0
25,207 days,1.5613911174525005e-10,1.249556368257351e-05,1.1404275990472761e-05,inf,2.0,1.0
26,214 days,8.504628736574984e-11,9.222054400498287e-06,8.765161891949517e-06,inf,2.0,1.0
27,221 days,5.482661462345309e-11,7.404499620058947e-06,7.214819643746361e-06,inf,2.0,1.0
28,228 days,4.35273827653652e-11,6.597528534638194e-06,6.5662193196767025e-06,inf,2.0,1.0
29,235 days,5.1330827219841534e-11,7.164553525506076e-06,7.028940595070222e-06,inf,2.0,1.0
30,242 days,6.491722691957907e-11,8.05712274447765e-06,7.8909831717372e-06,inf,2.0,1.0
31,249 days,7.043004339094548e-11,8.392260922477653e-06,8.246219059752226e-06,inf,2.0,1.0
32,256 days,7.060521765537171e-11,8.402691096034158e-06,8.261045888346302e-06,inf,2.0,1.0
33,263 days,6.960436120178702e-11,8.342922821277147e-06,8.188602628265572e-06,inf,2.0,1.0
34,270 days,6.457883838011354e-11,8.036095966333002e-06,7.905686050678835e-06,inf,2.0,1.0
35,277 days,5.612639887234495e-11,7.491755393253637e-06,7.427623251858307e-06,inf,2.0,1.0
36,284 days,4.9974572740728864e-11,7.069269604473213e-06,7.025074357721901e-06,inf,2.0,1.0
37,291 days,4.786026194158932e-11,6.91811115417997e-06,6.831470258356609e-06,inf,2.0,1.0
38,298 days,4.238470384069718e-11,6.510353587993296e-06,6.3316119957724585e-06,inf,2.0,1.0
39,305 days,3.395962974760791e-11,5.827489146073797e-06,5.690614781239799e-06,inf,2.0,1.0
40,312 days,2.8384700703773203e-11,5.327729413528169e-06,5.2674537474132e-06,inf,2.0,1.0
41,319 days,2.4785890832939462e-11,4.97854304319441e-06,4.960812817654575e-06,inf,2.0,1.0
42,326 days,2.2782417278201704e-11,4.773093051492051e-06,4.733573465385262e-06,inf,2.0,1.0
43,333 days,2.2072101183226292e-11,4.6980954846859265e-06,4.6449128090696324e-06,inf,2.0,1.0
44,340 days,2.0637015850520695e-11,4.542798240129171e-06,4.488157435810194e-06,inf,2.0,1.0
45,347 days,1.751234506177192e-11,4.184775389644218e-06,4.155600446730288e-06,inf,2.0,1.0
46,354 days,1.5329330540797622e-11,3.91526889763623e-06,3.912738957244146e-06,inf,2.0,1.0
47,361 days,1.3417368795015067e-11,3.662972671890287e-06,3.6002117912880496e-06,inf,2.0,1.0
