,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.05173288700932454,0.22744864697184844,0.22483236627531938,0.29233832862183773,0.3391650951730941,0.0
1,39 days,0.04427908517048064,0.2104259612559264,0.20666954261932483,0.260863452119063,0.29959838240632775,0.0
2,46 days,0.05823956819388305,0.24132875542272836,0.23655812033481963,0.29233832862183773,0.3250791019200155,0.0
3,53 days,0.06052721584777997,0.24602279538241972,0.2409832084860247,0.29233832862183773,0.3242862307394043,0.0
4,60 days,0.07191979023789882,0.26817865358357446,0.26042695380536496,0.3075536673369662,0.34349628667487775,0.0
5,67 days,0.07888602164986154,0.2808665548794686,0.2739871041483744,0.3164906355459526,0.3586957355003874,0.0
6,74 days,0.09210623615012978,0.3034900923426163,0.3025715900334134,0.32100668067890126,0.3910033493283253,0.0
7,81 days,0.09490013157587224,0.3080586495715909,0.3069479321814464,0.32100668067890126,0.3954570531461126,0.0
8,88 days,0.09930661825461076,0.31512952615489837,0.31458132341095585,0.33964214277180743,0.40459234575983755,0.0
9,95 days,0.0905038074042809,0.3008385071833074,0.3001769779515241,0.32100668067890126,0.39261300343047045,0.0
10,102 days,0.10461518969823642,0.3234427147088591,0.3207897843329777,0.33964214277180743,0.41977284972570306,0.0
11,109 days,0.11455120012046444,0.338454132964076,0.33543116032679143,0.3450824083609796,0.44304162441173084,0.0
12,116 days,0.12043605977029408,0.34703898883309076,0.34381183632204215,0.3991828221711924,0.4636446119403927,0.0
13,123 days,0.13231514689428167,0.36375149057327816,0.36077586104016757,0.4075091619033186,0.503318709915989,0.0
14,130 days,0.14619459128547388,0.382354013036968,0.3822460724418056,0.41273224898892713,0.5695378222952665,0.0
15,137 days,0.12099958025651925,0.3478499392791657,0.33761295639724453,0.4216874110012715,0.5740505863368156,0.0
16,144 days,0.11019658411903727,0.3319587084548879,0.3215221874487956,0.4659575035710403,0.665289114700446,0.0
17,151 days,0.08327528475676202,0.28857457399563463,0.2594634868855047,0.4659575035710403,0.6505146554366308,0.2
18,158 days,0.05254294826356503,0.22922248638291365,0.18506852564326298,0.4216874110012715,0.5801422898089212,0.4
19,165 days,0.024166432157814804,0.15545556329001162,0.11231042153169801,0.4216874110012715,0.5319168083707784,0.6000000000000001
20,172 days,0.01834881515862156,0.135457798441513,0.07940661146095207,0.6118288609295733,0.8250463661173113,0.8
21,179 days,0.001000343484940803,0.031628207109173974,0.025028488254943762,0.6118288609295733,1.0340630754660587,1.0
22,186 days,0.0002555457883408863,0.01598579958403352,0.014571757879034395,inf,1.344826790801883,1.0
23,193 days,0.00018653854887593763,0.013657911585448839,0.01222274802683515,inf,1.693701217576992,1.0
24,200 days,0.00019117287681560925,0.013826528010155307,0.012393901660907411,inf,2.0,1.0
25,207 days,0.00026078547422290425,0.01614885365042684,0.015093537751785312,inf,2.0,1.0
26,214 days,0.0002757269132334627,0.016605026745942407,0.015400481323912151,inf,2.0,1.0
27,221 days,0.0005337837590274595,0.023103760711785853,0.020935835594323673,inf,2.0,1.0
28,228 days,0.0006155053493116254,0.02480938026859247,0.023583206236992026,inf,2.0,1.0
29,235 days,0.000577911336934917,0.024039786540959906,0.02132246628847025,inf,2.0,1.0
30,242 days,0.0005104668071083597,0.022593512500458175,0.018788150566453478,inf,2.0,1.0
31,249 days,0.0004163057618550177,0.020403572281711302,0.016292948062471693,inf,2.0,1.0
32,256 days,0.0001945061250992576,0.013946545274700026,0.012155681919815736,inf,2.0,1.0
33,263 days,9.730453182599458e-05,0.00986430594750561,0.00785873497427208,inf,2.0,1.0
34,270 days,9.869105087299498e-05,0.009934336961921262,0.008075130062223303,inf,2.0,1.0
35,277 days,8.918251386769217e-05,0.009443649393517961,0.006885465015973712,inf,2.0,1.0
36,284 days,6.449471671706055e-05,0.008030860272539957,0.005560853575311067,inf,2.0,1.0
37,291 days,1.3055578460200575e-05,0.0036132504009825524,0.0030114205559350717,inf,2.0,1.0
38,298 days,0.00011956625811565259,0.010934635710239851,0.007514608104858934,inf,2.0,1.0
39,305 days,0.00020264473199542183,0.01423533392637566,0.010910141122746127,inf,2.0,1.0
40,312 days,0.0002034452905471974,0.014263424923460614,0.011155048124581915,inf,2.0,1.0
41,319 days,0.00021577015961578606,0.0146891170468407,0.011930571477655437,inf,2.0,1.0
42,326 days,0.0002535617620161609,0.015923622766699824,0.014035477098268963,inf,2.0,1.0
43,333 days,0.000259595055620991,0.016111953811409434,0.01416435884008243,inf,2.0,1.0
44,340 days,0.0012854919760827066,0.035853758186314394,0.02493149879481932,inf,2.0,1.0
45,347 days,0.0067941415499620595,0.08242658278712069,0.057677520998717015,inf,2.0,0.8
46,354 days,0.021660659747822313,0.14717560853559367,0.11026436234489949,inf,1.9991639381739987,0.6000000000000001
47,361 days,0.04892335771195054,0.22118625118200846,0.18131271377992422,inf,1.9903905731603238,0.4
