,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.09593232636563259,0.30972944058586455,0.28991423247007203,0.981730229484958,1.8984560647414914,0.2
1,39 days,0.1236796984817386,0.3516812455644153,0.35040903660374123,0.9819450232335212,1.9288659789141955,0.0
2,46 days,0.13879842917864169,0.3725566120452591,0.3685065558398926,0.9819450232335212,1.9304644686420604,0.0
3,53 days,0.15268515496496893,0.3907494785216852,0.3861066638947017,0.9819450232335212,1.9339543374692492,0.0
4,60 days,0.18352186067112186,0.4283945152206338,0.421080264069049,0.9873914745387481,1.9396382719600374,0.0
5,67 days,0.21268566897069519,0.4611785651683035,0.45858157195951454,0.9873914745387481,1.9457621022385458,0.0
6,74 days,0.23730784501235141,0.4871425304901548,0.4859940622670422,0.9873914745387481,1.9463953554257216,0.0
7,81 days,0.2843725743872364,0.5332659508980827,0.5275156874660484,0.9861083251641861,1.9453955072304598,0.0
8,88 days,0.2763216098220462,0.525663019264287,0.5177972538801202,0.9845914992157869,1.9376692672357532,0.0
9,95 days,0.23999813677906598,0.4898960469110421,0.47458069741458525,0.9827647705828958,1.927987582752519,0.0
10,102 days,0.194043833649001,0.440504067687236,0.389237681675047,0.978281192491813,1.8668348675165567,0.2
11,109 days,0.14317295307054684,0.37838202001488763,0.30902815941086625,0.9765222784929626,1.849725246725216,0.2
12,116 days,0.054515288957260336,0.23348509365109443,0.19085969829205812,0.9653624824645356,1.8339039786943916,0.4
13,123 days,0.024343769709125135,0.15602490092650317,0.11973545929631163,0.9653624824645356,1.8320362043063136,0.6000000000000001
14,130 days,0.004857529173296201,0.06969597673679738,0.058600810151464046,0.9653624824645356,1.8503875341017233,0.8
15,137 days,0.004233193523479243,0.06506299657623558,0.04754947716248056,0.9758381308829139,1.9236799946892857,0.8
16,144 days,0.0015146147420105102,0.03891805162145852,0.02426297878889218,1.0638159830369789,1.9543441829345913,1.0
17,151 days,0.00024383448486217679,0.015615200442587242,0.008321925327711322,inf,1.9811265231829687,1.0
18,158 days,8.630769158699148e-06,0.0029378170737299402,0.0015041923325648523,inf,2.0,1.0
19,165 days,1.0735838102394523e-07,0.0003276558881264691,0.0002563674718747022,inf,2.0,1.0
20,172 days,3.14302386129824e-08,0.00017728575411742026,0.0001439342714844373,inf,2.0,1.0
21,179 days,2.6552786524681745e-08,0.00016295025782330554,0.00011313592877576395,inf,2.0,1.0
22,186 days,2.8058797027907315e-08,0.0001675076028958307,0.00012931481219136413,inf,2.0,1.0
23,193 days,5.738039753760969e-08,0.00023954205797231036,0.000175170644557363,inf,2.0,1.0
24,200 days,1.7948242265662472e-07,0.00042365365884956634,0.000283111445804992,inf,2.0,1.0
25,207 days,2.479717438278577e-07,0.0004979676132318825,0.0003893798420751205,inf,2.0,1.0
26,214 days,2.664194734914304e-07,0.0005161583802394672,0.00044968548651416453,inf,2.0,1.0
27,221 days,2.774523368139738e-07,0.000526737445805758,0.00048238007306719094,inf,2.0,1.0
28,228 days,2.8208339713145987e-07,0.0005311152390314741,0.00048755679680550124,inf,2.0,1.0
29,235 days,2.8146566172019006e-07,0.0005305333747467637,0.00048718668433092886,inf,2.0,1.0
30,242 days,2.6357512536199576e-07,0.0005133956810901274,0.0004708344774872119,inf,2.0,1.0
31,249 days,2.579846742912535e-07,0.0005079219175141525,0.00046080267961058283,inf,2.0,1.0
32,256 days,2.473662872628195e-07,0.0004973593140404827,0.00043034643557749764,inf,2.0,1.0
33,263 days,2.3017916656924829e-07,0.0004797699100290141,0.00040925895626232444,inf,2.0,1.0
34,270 days,1.508874162387149e-07,0.0003884422946059233,0.00035179634311578923,inf,2.0,1.0
35,277 days,1.6449083980822607e-07,0.00040557470311673293,0.0003644441853790716,inf,2.0,1.0
36,284 days,1.878466925101541e-07,0.0004334128430378524,0.0003988375202085164,inf,2.0,1.0
37,291 days,2.1956310106382543e-07,0.00046857560869493136,0.00046123090154114493,inf,2.0,1.0
38,298 days,2.534924781512626e-07,0.0005034803652092727,0.0004989961698146563,inf,2.0,1.0
39,305 days,3.0800676365242265e-07,0.000554983570614863,0.0005408680548420223,inf,2.0,1.0
40,312 days,2.9981213132607395e-07,0.0005475510307962848,0.0005334291945163242,inf,2.0,1.0
41,319 days,2.722492214955413e-07,0.0005217750679129287,0.0004899205515748248,inf,2.0,1.0
42,326 days,2.391777804985606e-07,0.0004890580543233704,0.00041859495415253216,inf,2.0,1.0
43,333 days,1.853297841103879e-07,0.00043049945889674226,0.0003422982390548755,inf,2.0,1.0
44,340 days,7.116063899747221e-08,0.0002667595152894686,0.00019364801087880284,inf,2.0,1.0
45,347 days,1.1725296421378897e-07,0.00034242220169520106,0.00023055344214763994,inf,2.0,1.0
46,354 days,8.07034037836473e-07,0.0008983507320843418,0.000562703845144712,inf,2.0,1.0
47,361 days,2.429384624507607e-06,0.0015586483325329057,0.001121723131230943,inf,2.0,1.0
