,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.13346399149581517,0.36532723891850055,0.3427624711480842,0.416128599533972,0.5304126576630748,0.2
1,39 days,0.10430113911769531,0.32295686881949937,0.3055784443243242,0.392259786935583,0.48264536152448023,0.2
2,46 days,0.10719474049194294,0.3274060788866678,0.3099594747249202,0.392259786935583,0.487368210590827,0.2
3,53 days,0.11127319199454944,0.33357636606113067,0.3168892766399514,0.4130192048693454,0.5006621225936203,0.2
4,60 days,0.1228910681484461,0.3505582236211926,0.3433915702531412,0.4130192048693454,0.5429791918198953,0.0
5,67 days,0.11032793145213196,0.33215648639177886,0.3292499978197458,0.4130192048693454,0.5318400930399964,0.0
6,74 days,0.11581987695842923,0.34032319485810725,0.3378152308487093,0.413053499011211,0.538360036843289,0.0
7,81 days,0.110460848072488,0.33235650749231316,0.329449048264155,0.4130192048693454,0.5200896937742715,0.0
8,88 days,0.12756986799109168,0.35716924278427403,0.35260212419464365,0.413053499011211,0.5354036383006855,0.0
9,95 days,0.11522936017203678,0.3394545038323056,0.3236381538755682,0.413053499011211,0.48994940833049133,0.2
10,102 days,0.11618399596609369,0.3408577356700207,0.32479743552667534,0.413053499011211,0.4979754701864292,0.2
11,109 days,0.12882406701863103,0.3589206973951642,0.3412886568252339,0.45980818353116604,0.5376314653850838,0.2
12,116 days,0.146249922100976,0.3824263616710752,0.3654987056955811,0.49336036157543467,0.5998619072298623,0.2
13,123 days,0.14879186178820414,0.38573548162983934,0.36842270135080857,0.5287864108533092,0.6495056090146053,0.2
14,130 days,0.15418497717363097,0.3926639494193871,0.3835372214903681,0.5287864108533092,0.713760631272521,0.0
15,137 days,0.12265337952370203,0.3502190450613759,0.32449634950386896,0.5287864108533092,0.6674369090653893,0.2
16,144 days,0.08687874769168763,0.2947520104964301,0.24680589539809739,0.450137742680333,0.5717281515798445,0.4
17,151 days,0.05390388037672857,0.23217209215736626,0.18451630581903572,0.450137742680333,0.8179536920375992,0.6000000000000001
18,158 days,0.016091811407233696,0.1268535037247048,0.11197607715976288,0.450137742680333,1.048894167206774,0.8
19,165 days,0.00733732556561334,0.08565819030083077,0.0796325057949596,inf,1.3327192644231416,1.0
20,172 days,0.004767631600342468,0.06904803835260252,0.06326984673228546,inf,1.6480600099467917,1.0
21,179 days,0.00471698574794672,0.06868031557838622,0.0625285175314885,inf,2.0,1.0
22,186 days,0.0027023286410228775,0.05198392675647808,0.049221333724362035,inf,2.0,1.0
23,193 days,0.0018547728123604152,0.04306707341299633,0.04241493652205529,inf,2.0,1.0
24,200 days,0.0013450958208681414,0.036675547996834916,0.03561514124650309,inf,2.0,1.0
25,207 days,0.0011030831362510462,0.03321269540779619,0.03095495978271183,inf,2.0,1.0
26,214 days,0.001050067765630739,0.032404749121552216,0.030074427484565736,inf,2.0,1.0
27,221 days,0.0007269257209653747,0.026961560061787498,0.02430580033265324,inf,2.0,1.0
28,228 days,0.0003325269972692908,0.018235322790378317,0.01699079802181317,inf,2.0,1.0
29,235 days,0.00025147210400460114,0.015857871988529896,0.013645406552962109,inf,2.0,1.0
30,242 days,0.00021645087038734095,0.014712269382639136,0.011874615306765467,inf,2.0,1.0
31,249 days,6.220561677567852e-05,0.007887053744946748,0.00683595790984355,inf,2.0,1.0
32,256 days,5.078533386796925e-05,0.007126382944241016,0.006376921778164679,inf,2.0,1.0
33,263 days,6.346732097317844e-05,0.00796663799687035,0.006997274958572603,inf,2.0,1.0
34,270 days,9.567276968617921e-05,0.009781245814628074,0.008893570989937294,inf,2.0,1.0
35,277 days,0.00011172733571581818,0.01057011521771727,0.009899839583979607,inf,2.0,1.0
36,284 days,0.00011350328703392835,0.010653792143360426,0.010163446506353691,inf,2.0,1.0
37,291 days,0.00010212232208980772,0.010105558969686323,0.009585563480693978,inf,2.0,1.0
38,298 days,0.00010329004738701355,0.010163171128492009,0.009634647453370025,inf,2.0,1.0
39,305 days,6.993058992746623e-05,0.008362451191335362,0.007564340252510381,inf,2.0,1.0
40,312 days,0.00015071822975210283,0.012276735305125009,0.010000241372354241,inf,2.0,1.0
41,319 days,0.0010531933094353788,0.032452939919757326,0.022653695877035626,inf,2.0,1.0
42,326 days,0.006094867417927089,0.07806963185469168,0.0527719376490266,inf,2.0,1.0
43,333 days,0.020906053995472653,0.14458925961312843,0.1048478468138606,inf,2.0,0.8
44,340 days,0.047575261292655234,0.21811754008482498,0.1773070974589581,inf,2.0,0.6000000000000001
45,347 days,0.08163014483658951,0.28570989628745713,0.2554257271213265,inf,2.0,0.4
46,354 days,0.0913503882678579,0.3022422675071405,0.2880665680284891,inf,1.6868811686047183,0.2
47,361 days,0.08864461235151913,0.29773245095474415,0.27794741189337013,inf,1.334911492787775,0.2
