,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.03553544173670438,0.18850846595499202,0.1741558047681605,0.1882835901241606,0.21695601525583688,0.6000000000000001
1,39 days,0.03973057715898559,0.19932530486364644,0.18214822696583244,0.1882835901241606,0.2220864483121495,0.6000000000000001
2,46 days,0.04826927783366401,0.21970270329166186,0.2043257659815878,0.26293922787772667,0.24621783455675347,0.4
3,53 days,0.06408419397215388,0.25314856107067624,0.24935764575067337,0.26428492788517083,0.2984205749289654,0.2
4,60 days,0.07685510899886597,0.277227540116176,0.27653537217940105,0.2830321078952502,0.32876226311231804,0.0
5,67 days,0.07941160163595994,0.28180064165285346,0.2812187062418674,0.28739422423005717,0.3349815539965911,0.0
6,74 days,0.07591638469658028,0.2755292810148865,0.2746487685919435,0.28739422423005717,0.32858333898710734,0.0
7,81 days,0.07720416265652201,0.2778563705523449,0.2771809517135934,0.28739422423005717,0.33033108366808456,0.0
8,88 days,0.07703469908783399,0.27755125488427174,0.27688617057222825,0.28739422423005717,0.32996204450663524,0.0
9,95 days,0.06407455472358513,0.25312952163583197,0.24913702708501542,0.2695063188527037,0.30253990012537807,0.2
10,102 days,0.07450903903285341,0.2729634390039322,0.26519992981476487,0.2695063188527037,0.32716866187704874,0.2
11,109 days,0.09057681533164275,0.30095982345097616,0.2908167310899728,0.29457195784856044,0.3674036860751697,0.2
12,116 days,0.11810009479819514,0.343656943474441,0.3293662177593963,0.37316765727382173,0.42467745163854004,0.2
13,123 days,0.14440247362002429,0.3800032547492512,0.3644833086556434,0.3992779721027449,0.4807716209360858,0.2
14,130 days,0.163268015599089,0.40406437061325884,0.40130178650212,0.41705731965027365,0.541669716018105,0.0
15,137 days,0.13675634129083392,0.3698058156530721,0.3333537776203995,0.41705731965027365,0.46147202154354605,0.2
16,144 days,0.108440897051295,0.3293036547797413,0.2643019232845202,0.41705731965027365,0.3787736277865642,0.4
17,151 days,0.06740746512978492,0.2596294766196337,0.17746747305065202,0.08918781593052504,0.2700760035582889,0.6000000000000001
18,158 days,0.03156117328464307,0.17765464611048895,0.1221468156011282,0.08918781593052504,0.3205514471472553,0.6000000000000001
19,165 days,0.019012171194133638,0.13788463001413043,0.10088339735359805,0.08918781593052504,0.5305993705543963,0.6000000000000001
20,172 days,0.026608634802178104,0.16312153383958264,0.13514287273067704,1.5660167962900462,0.7854269791610772,0.4
21,179 days,0.03398732487385886,0.18435651568051198,0.16762079670934674,3.9872669276174593,1.1038797004756964,0.2
22,186 days,0.038828972837111835,0.19705068595950595,0.19513696885130608,7.460265230483695,1.4930077364424166,0.2
23,193 days,0.03429686088096093,0.1851941167558001,0.17974240349358053,10.4086405338771,1.709110702169185,0.4
24,200 days,0.023509539223919726,0.1533282075285553,0.14490932242895502,31.62149741427062,1.7698806273111392,0.6000000000000001
25,207 days,0.01781777773962543,0.13348324891021132,0.1257650867038655,31.62149741427062,1.8721478689144302,0.8
26,214 days,0.012918719165571996,0.11366054357415328,0.11000009888257647,95.12302276073198,1.9366190732994637,1.0
27,221 days,0.00972400956248366,0.09861039277116616,0.09719669209557946,95.12302276073198,1.9366190732994635,1.0
28,228 days,0.007877380875310234,0.0887546104453748,0.08562318266222661,inf,1.9448560492219578,1.0
29,235 days,0.007076673383585204,0.08412296585109921,0.07692055852872222,inf,1.9686503493431786,1.0
30,242 days,0.005109971183993392,0.07148406244746722,0.06037251370684933,inf,2.0,1.0
31,249 days,0.0031623766668290696,0.056235012819675516,0.049361379177959866,inf,2.0,1.0
32,256 days,0.0018485354155521683,0.04299459751587597,0.03983027218143013,inf,2.0,1.0
33,263 days,0.0015061909194822765,0.038809675591046575,0.035572175001836744,inf,2.0,1.0
34,270 days,0.0016944268963149207,0.04116341696597746,0.03854349079737028,inf,2.0,1.0
35,277 days,0.0024799333813495658,0.04979892952011685,0.04797644705191291,inf,2.0,1.0
36,284 days,0.002742131639300698,0.05236536679238195,0.0499662867264957,inf,2.0,1.0
37,291 days,0.0035114053869394314,0.05925711254304779,0.05628333463659574,inf,2.0,1.0
38,298 days,0.003898965132451966,0.06244169386277062,0.06097675649246334,inf,2.0,1.0
39,305 days,0.003916758629893741,0.06258401257424887,0.061201056165724396,inf,2.0,1.0
40,312 days,0.004199846559254269,0.06480622315221177,0.06321576096460461,inf,2.0,1.0
41,319 days,0.007896321843834,0.08886125051918863,0.07970559583455072,inf,1.9905381976086498,1.0
42,326 days,0.01930297082692487,0.13893513172313499,0.11453436654798457,inf,1.9864790613025014,0.8
43,333 days,0.028946447900667346,0.17013655662633867,0.14910917798804535,195.0862616237491,1.7739847032992349,0.6000000000000001
44,340 days,0.042296978450509295,0.20566229224266974,0.19335970928357704,82.55048699086555,1.463360827955957,0.4
45,347 days,0.06076798161125895,0.24651162571217397,0.24091881698065148,1.7648058401047149,1.1538636953560077,0.2
46,354 days,0.06361604195843579,0.2522222075044856,0.24911266254752953,0.3690207475433064,0.8190262012003295,0.0
47,361 days,0.056853893739011604,0.23844054550141341,0.2330665536939473,0.3652655704011537,0.47031419376751826,0.2
