,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.06501216434332129,0.2549748308035938,0.1921079384634759,0.9999598806894089,1.999652004657106,0.2
1,39 days,0.07740878881475763,0.27822434978764465,0.23945057159205063,0.9999679973506232,1.9998583746137037,0.0
2,46 days,0.11055170303247122,0.3324931623845387,0.29967969749177115,0.9999815679190796,1.9998816953376557,0.0
3,53 days,0.13406345576940767,0.36614676807177704,0.3515665517292852,0.9999832220969226,1.9999350862990903,0.0
4,60 days,0.18470534577797693,0.4297735982793463,0.41633895325918124,0.9999921533164245,1.9999609031623633,0.0
5,67 days,0.2628233440364928,0.512662992653549,0.47659604698386226,0.9999921533164245,1.9999657195653042,0.0
6,74 days,0.34283323275724276,0.5855196262784389,0.5627090139248199,0.9999921533164245,1.9999673069625374,0.0
7,81 days,0.3518727574159525,0.5931886356092406,0.572735563250687,0.9999892427663755,1.9999505546848535,0.0
8,88 days,0.44178492422935994,0.6646690336019574,0.6533337713102556,0.9999868518598324,1.999942407784594,0.0
9,95 days,0.4581370722944361,0.6768582364826745,0.6672472593913553,0.9999867076522331,1.9999380513453318,0.0
10,102 days,0.3777987449868983,0.6146533535147256,0.6047333718198914,0.9999864376366474,1.999935807296124,0.0
11,109 days,0.3005795413169628,0.5482513486686219,0.5239346447702864,0.9999864376366474,1.999934949256461,0.0
12,116 days,0.25651932483988144,0.506477368536721,0.4444219935515321,0.9999864376366474,1.9999217389306363,0.2
13,123 days,0.14220335147602364,0.3770985964917181,0.30659500947586715,0.9999824796488205,1.99990861593128,0.4
14,130 days,0.06498526125681911,0.25492206898740466,0.18936776762047225,0.9999704474101785,1.9998826592332466,0.6000000000000001
15,137 days,0.017699683081505522,0.13304015589853133,0.0933688085868552,0.9999596944008382,1.9997168288551745,0.8
16,144 days,0.002480782874225416,0.049807458018106245,0.0381985344124386,0.9999596944008382,1.9997308448905529,1.0
17,151 days,0.0012551509990869874,0.03542811029517363,0.02254205408337117,0.9999704474101785,1.9997630880703015,1.0
18,158 days,0.00027120505988087343,0.016468304705733176,0.0085139763532504,inf,1.9997867294434948,1.0
19,165 days,7.89855075393004e-06,0.0028104360433801085,0.0012572366608105425,inf,1.9998233198783943,1.0
20,172 days,2.409053557421234e-13,4.908211036030576e-07,3.724202981996795e-07,inf,2.0,1.0
21,179 days,6.312529839294788e-14,2.5124748435148136e-07,1.999488094556635e-07,inf,2.0,1.0
22,186 days,6.092265883739185e-14,2.468251584368819e-07,1.9206976872343157e-07,inf,2.0,1.0
23,193 days,5.808866686090104e-14,2.4101590582553064e-07,1.8840850286487744e-07,inf,2.0,1.0
24,200 days,6.835111665899694e-14,2.614404648461996e-07,2.0162698722210209e-07,inf,2.0,1.0
25,207 days,7.91550292936544e-14,2.81345036020994e-07,2.471726716247685e-07,inf,2.0,1.0
26,214 days,8.261836257803389e-14,2.874341012789434e-07,2.61576695224887e-07,inf,2.0,1.0
27,221 days,9.300822299747617e-14,3.049724954770121e-07,2.8908478142465057e-07,inf,2.0,1.0
28,228 days,9.691215810386149e-14,3.113071764413109e-07,2.9408506884364006e-07,inf,2.0,1.0
29,235 days,9.959243436137916e-14,3.155826902118986e-07,2.972086375792981e-07,inf,2.0,1.0
30,242 days,1.0290132633405651e-13,3.2078236599610105e-07,3.038509897222393e-07,inf,2.0,1.0
31,249 days,9.879440887751816e-14,3.143157789190962e-07,2.850523693561635e-07,inf,2.0,1.0
32,256 days,9.549049821095479e-14,3.090153688911844e-07,2.7818196770272443e-07,inf,2.0,1.0
33,263 days,9.516894133225834e-14,3.084946374448968e-07,2.7778189355509656e-07,inf,2.0,1.0
34,270 days,8.098303507591182e-14,2.84575183520826e-07,2.596674560486554e-07,inf,2.0,1.0
35,277 days,7.196953377751515e-14,2.682713808394685e-07,2.3848054696004744e-07,inf,2.0,1.0
36,284 days,7.260625665142058e-14,2.6945548176168283e-07,2.4283435559574943e-07,inf,2.0,1.0
37,291 days,6.890623272223947e-14,2.624999670899779e-07,2.3359182383691573e-07,inf,2.0,1.0
38,298 days,5.272156979774722e-14,2.2961178061621147e-07,2.0990632823955227e-07,inf,2.0,1.0
39,305 days,4.031400212766441e-14,2.0078347075310858e-07,1.8876330295153433e-07,inf,2.0,1.0
40,312 days,3.52102831175214e-14,1.876440329920496e-07,1.5694026418632785e-07,inf,2.0,1.0
41,319 days,4.1969097598220054e-14,2.0486360730549498e-07,1.8056224347439304e-07,inf,2.0,1.0
42,326 days,7.661582952855133e-14,2.767956457904483e-07,2.356125651080302e-07,inf,2.0,1.0
43,333 days,2.2455403648731275e-13,4.7387132904124166e-07,3.6017245713380245e-07,inf,2.0,1.0
44,340 days,7.145822572655882e-13,8.453296737164668e-07,6.287940365229897e-07,inf,2.0,1.0
45,347 days,1.6633730568704127e-12,1.289718208319326e-06,1.0642801590161144e-06,inf,2.0,1.0
46,354 days,2.6088784297733115e-12,1.615202287570604e-06,1.4605890986431778e-06,inf,2.0,1.0
47,361 days,3.0742584750558914e-12,1.7533563457140968e-06,1.6883401536422846e-06,inf,2.0,1.0
