,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.10431710020814021,0.32298157874426864,0.2407129108317106,0.9697772454031947,1.8385210120052067,0.4
1,39 days,0.13209501211144203,0.36344877508590123,0.3068585900152472,0.9750712978458919,1.8854045213986124,0.2
2,46 days,0.18807917102894392,0.4336809553449908,0.38041183650632776,0.9877354188142016,1.901084745532068,0.2
3,53 days,0.24107580528020958,0.49099471003281653,0.469103795161822,0.9894362184900064,1.9500290566036167,0.0
4,60 days,0.3160504513445451,0.5621836455683722,0.5527940496691977,0.9909704931388822,1.9663390016372846,0.0
5,67 days,0.37690238885342775,0.6139237646918612,0.5934600949798882,0.9909704931388822,1.9661467161124877,0.0
6,74 days,0.45315621477729834,0.6731687862470291,0.6629119377864962,0.9909704931388822,1.9640494791615706,0.0
7,81 days,0.45702209231002067,0.6760340910856646,0.6662859685984546,0.9891906969698766,1.9540195299609469,0.0
8,88 days,0.5045376057996692,0.7103081062466268,0.7048041492368029,0.9878530631234776,1.9490874891263181,0.0
9,95 days,0.5363063330493921,0.7323293883556716,0.7270866917409002,0.9878530631234776,1.948800152077903,0.0
10,102 days,0.5099688836810924,0.7141210567411469,0.7108123350290346,0.9878530631234776,1.9511172104715473,0.0
11,109 days,0.4335993196477742,0.6584825887202898,0.6412061556519404,0.987933099509414,1.953368813185465,0.0
12,116 days,0.3679553677007557,0.606593247325385,0.5446553956877409,0.987933099509414,1.9473188906269523,0.2
13,123 days,0.26705621294979365,0.5167748184168746,0.41468648342255054,0.987933099509414,1.9424793490297776,0.4
14,130 days,0.14993299271978458,0.38721181893091094,0.27522809752408894,0.987933099509414,1.9419590371442794,0.6000000000000001
15,137 days,0.03185134166407206,0.178469441821484,0.12406023640530595,0.9816176003588606,1.918999538022338,0.8
16,144 days,0.003791257893181918,0.061573191351284674,0.04930116927284575,0.9816176003588606,1.9285379592351939,1.0
17,151 days,0.0018481515411305986,0.042990133067142264,0.02967592566189233,0.9899415698404738,1.9483955083533122,1.0
18,158 days,0.001048192007913058,0.032375793548777426,0.017063533519602977,inf,1.9628359775897146,1.0
19,165 days,3.214472392295031e-05,0.005669631727277382,0.0028168949333164813,inf,1.9708025901017752,1.0
20,172 days,2.3431876707149622e-07,0.00048406483767311195,0.00040526134780852934,inf,2.0,1.0
21,179 days,1.9958685945718385e-07,0.000446751451544574,0.00038085071259431484,inf,2.0,1.0
22,186 days,2.0711405736277855e-07,0.0004550978547112462,0.0003889879786894639,inf,2.0,1.0
23,193 days,2.01607550138076e-07,0.00044900729408114964,0.00036761604230758834,inf,2.0,1.0
24,200 days,2.3632206397696135e-07,0.0004861296781487028,0.0004428551169648605,inf,2.0,1.0
25,207 days,1.9219133706097267e-07,0.00043839632418734154,0.000395837977400041,inf,2.0,1.0
26,214 days,1.273878518013693e-07,0.00035691434799033973,0.0003286836951054588,inf,2.0,1.0
27,221 days,1.1771038966675422e-07,0.000343089477639222,0.0003180805642021079,inf,2.0,1.0
28,228 days,2.158574073034117e-07,0.0004646045709024091,0.00044391550605214693,inf,2.0,1.0
29,235 days,4.271272639864017e-07,0.0006535497410193058,0.0005821242628063661,inf,2.0,1.0
30,242 days,5.631790004880632e-07,0.0007504525304694916,0.0006911034412194451,inf,2.0,1.0
31,249 days,5.499465275342742e-07,0.0007415837967042391,0.0006644126124670579,inf,2.0,1.0
32,256 days,5.387100716950765e-07,0.0007339687130219356,0.0006501608176894142,inf,2.0,1.0
33,263 days,5.334668831672417e-07,0.0007303881729376796,0.0006463895115284837,inf,2.0,1.0
34,270 days,3.734160829689608e-07,0.0006110778043497905,0.0005557969078996017,inf,2.0,1.0
35,277 days,2.4079645033987125e-07,0.0004907101490084256,0.00045153783634765835,inf,2.0,1.0
36,284 days,2.4935210989466036e-07,0.0004993516895882704,0.00047029593357454766,inf,2.0,1.0
37,291 days,2.6951568156941435e-07,0.0005191489974654813,0.0004943707222657058,inf,2.0,1.0
38,298 days,2.763632298884874e-07,0.0005257026059365574,0.0004992760031352196,inf,2.0,1.0
39,305 days,3.192806761710153e-07,0.0005650492687996467,0.0005286582779815718,inf,2.0,1.0
40,312 days,3.093603486730343e-07,0.0005562017158127385,0.000514016018307555,inf,2.0,1.0
41,319 days,2.95845203376159e-07,0.0005439165408186802,0.000476937931278924,inf,2.0,1.0
42,326 days,2.5150677497499226e-07,0.0005015045114203782,0.00039870467188436373,inf,2.0,1.0
43,333 days,1.5173301194569038e-07,0.00038952921834657075,0.0002715865633970199,inf,2.0,1.0
44,340 days,7.457195877460828e-08,0.0002730786677399175,0.0002128618703173782,inf,2.0,1.0
45,347 days,6.245519771380318e-07,0.0007902860097066326,0.0004895485725198552,inf,2.0,1.0
46,354 days,1.9094170151290856e-06,0.0013818165634877466,0.0009788785134999408,inf,2.0,1.0
47,361 days,3.358318392960221e-06,0.001832571524650599,0.0014999191901619742,inf,2.0,1.0
