,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.024566710561996424,0.15673771263482322,0.12671775375155997,0.17097258173175484,0.16250779765246323,0.6000000000000001
1,39 days,0.01787706436676749,0.13370513964230205,0.11272124027617893,0.17097258173175484,0.13875138333470335,0.6000000000000001
2,46 days,0.02264160856542921,0.15047128817628036,0.1265314764345306,0.1709836142297188,0.1486620919286013,0.4
3,53 days,0.03206983406669567,0.17908052397370203,0.16045029303867006,0.20655130547577943,0.1837046202814675,0.2
4,60 days,0.04137393835834142,0.20340584642124085,0.2022137914932117,0.21149771346749582,0.2309346516241101,0.0
5,67 days,0.04484608351734455,0.2117689389814865,0.21164586594675847,0.21149771346749582,0.2403351833039494,0.0
6,74 days,0.04364661882815787,0.20891773220135687,0.20859143146413717,0.21149771346749582,0.2371249475965382,0.0
7,81 days,0.041231606812269374,0.2030556741691041,0.20227737440427626,0.20946605289837691,0.23051271689271724,0.0
8,88 days,0.039293232000354415,0.19822520525996287,0.19771370256161375,0.208775061167546,0.2260663902683794,0.0
9,95 days,0.03138342934092357,0.17715368847676746,0.17131126460082086,0.19355075760994256,0.19792562932461955,0.2
10,102 days,0.02944827825911116,0.17160500650945812,0.16635574029006736,0.19355075760994256,0.19439094658063838,0.2
11,109 days,0.03050369446762247,0.17465306887547802,0.16905554604982645,0.19518780132339222,0.20008943734107998,0.2
12,116 days,0.04053753699635455,0.20133935779264459,0.19086920407572458,0.208775061167546,0.22836163924677147,0.2
13,123 days,0.0587748164077382,0.24243517980635196,0.22322264464587566,0.21650002010660707,0.2726906965435897,0.2
14,130 days,0.08174434173650061,0.2859096740869406,0.2762844166469561,0.29410342653310456,0.3478189343639507,0.0
15,137 days,0.0751916069105216,0.2742108803649512,0.24490885761219927,0.29410342653310456,0.31477830805554763,0.2
16,144 days,0.08422421703300717,0.2902140882745136,0.2631360142162415,0.37050880981205064,0.47190281067582446,0.2
17,151 days,0.08206158013350937,0.28646392466331494,0.25919940251037704,0.3873923055458578,0.6696983759302467,0.2
18,158 days,0.06045562344418986,0.24587725279941994,0.21734052047794036,2.1169357420531507,0.795939983642988,0.4
19,165 days,0.038699379761010615,0.19672157929675793,0.17040074814260597,2.376185807258916,1.0006735319746667,0.6000000000000001
20,172 days,0.03912927135048386,0.19781120127658053,0.17583325830471022,4.004075558323355,1.3381225618083232,0.6000000000000001
21,179 days,0.022044537541333606,0.1484740298548322,0.12217859176554238,6.066504033440976,1.5324418444311398,0.8
22,186 days,0.008208036028013942,0.09059821205749008,0.07540150308568422,13.28696077231266,1.6656846712791415,1.0
23,193 days,0.003543429721738175,0.05952671435362593,0.047673614102248615,inf,1.848492265662592,1.0
24,200 days,0.0010443896265181056,0.032317017599371785,0.029658213076586247,inf,1.9476678188741783,1.0
25,207 days,0.0010815439349623787,0.03288683528347443,0.03000218492401494,inf,2.0,1.0
26,214 days,0.001326627377869372,0.03642289634102939,0.03359933399219854,inf,2.0,1.0
27,221 days,0.0014555460866342753,0.038151619711806146,0.035415319714139255,inf,2.0,1.0
28,228 days,0.0015354886504444912,0.03918531166705825,0.037430733322190816,inf,2.0,1.0
29,235 days,0.001452070701493517,0.03810604547172951,0.035207726969127315,inf,2.0,1.0
30,242 days,0.000933857032631386,0.030559074472754997,0.028330021402313263,inf,2.0,1.0
31,249 days,0.0010811942064477085,0.032881517702924065,0.02989812304342071,inf,2.0,1.0
32,256 days,0.0010019695030859183,0.031653901861949316,0.02883859113270679,inf,2.0,1.0
33,263 days,0.0009297216398262124,0.030491337127554974,0.027072712240739386,inf,2.0,1.0
34,270 days,0.000993813114240185,0.03152480157336736,0.02888067241695941,inf,2.0,1.0
35,277 days,0.0012578038999105658,0.035465531152240846,0.0331259415439146,inf,2.0,1.0
36,284 days,0.0009194728303702396,0.030322810396964193,0.028943084828325156,inf,2.0,1.0
37,291 days,0.0011821802369719467,0.034382848005538265,0.03203594527697346,inf,2.0,1.0
38,298 days,0.0014276693548519286,0.03778451210286999,0.036534151182289414,inf,2.0,1.0
39,305 days,0.001338032562444408,0.036579127415021916,0.033451122004622275,inf,2.0,1.0
40,312 days,0.00099119534296628,0.03148325496142799,0.025564529179038658,inf,2.0,1.0
41,319 days,0.0008118212183725069,0.028492476522277016,0.019867849193356314,inf,2.0,1.0
42,326 days,0.000575307633460372,0.023985571359889928,0.017142300644352473,inf,2.0,1.0
43,333 days,0.0030753063173435753,0.05545544443373956,0.03308716273355516,inf,2.0,1.0
44,340 days,0.015052193222752934,0.12268738004682037,0.08068290053373753,inf,2.0,0.8
45,347 days,0.044186853576524326,0.21020669251126217,0.15656408592837565,inf,1.989503414202019,0.6000000000000001
46,354 days,0.04859617134328815,0.2204453931096954,0.18596138439770563,inf,1.65552535863071,0.6000000000000001
47,361 days,0.055975221591353035,0.23659083158768648,0.21775299671345652,74.21525850375573,1.311809463341396,0.4
