,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.03705254020936913,0.19249036393900118,0.17871113647119657,0.23093684609164622,0.24408928316620784,0.2
1,39 days,0.04166410689557484,0.20411787500259462,0.18695139355236168,0.23093684609164622,0.24486600975369255,0.2
2,46 days,0.05094668288870061,0.2257137188757046,0.2068991343514233,0.2592359626410672,0.26263353186572486,0.2
3,53 days,0.06985640830961848,0.26430362901333476,0.2581222078008541,0.2978153996771728,0.32013302177899916,0.0
4,60 days,0.08148470051379514,0.28545525133336597,0.28435715203002465,0.2978153996771728,0.3479494968777199,0.0
5,67 days,0.08203523121284452,0.2864179310253541,0.2854954388929891,0.2978153996771728,0.34798766809199777,0.0
6,74 days,0.07075358449730232,0.2659954595426439,0.2622048840004216,0.2970069786117959,0.3218175160780258,0.0
7,81 days,0.06016365770492512,0.2452828116785298,0.2384868974192148,0.2593805364856352,0.2943536754393691,0.0
8,88 days,0.0512271335076557,0.22633411918589671,0.222028893637432,0.25517460663949193,0.2766751220964539,0.0
9,95 days,0.03508089827526423,0.18729895428235638,0.17296859552113963,0.20743725561222565,0.21914281386575368,0.2
10,102 days,0.03596703459775924,0.1896497682512669,0.17474715466319785,0.20743725561222565,0.22407334622831132,0.2
11,109 days,0.04010801113523034,0.20026984579619153,0.18466508886763486,0.25517460663949193,0.2391371188630778,0.2
12,116 days,0.05731129363135275,0.23939777282036845,0.21907491077879848,0.2659668516150171,0.2822844128684916,0.2
13,123 days,0.07248811962902518,0.2692361781578122,0.24482282270593952,0.2778552332361382,0.31903158729865394,0.2
14,130 days,0.08850210449776388,0.29749303268776545,0.29365242127182895,0.3524050959819783,0.3923589702506184,0.0
15,137 days,0.07584282698903641,0.2753957642902963,0.24925708449160686,0.3524050959819783,0.340942008506207,0.2
16,144 days,0.0683613482457508,0.26146003183230665,0.22873076029901757,0.35278329457671675,0.36050640289553865,0.4
17,151 days,0.0484991656642917,0.22022526118565894,0.18484211256186564,0.38464043229183115,0.37884487572544745,0.6000000000000001
18,158 days,0.02317644054183721,0.15223810476302316,0.12268141129140853,0.3780768958278347,0.347192822227136,0.8
19,165 days,0.007187745055072152,0.08478057003271536,0.07414831957717329,0.5071814282382433,0.3684153509781901,1.0
20,172 days,0.0072720585414629306,0.08527636566753376,0.07536568539795624,0.7027593506985931,0.6245864328998347,1.0
21,179 days,0.0040431451717822,0.06358573088187475,0.05549524379031051,0.7283154726514114,0.9436698430550173,1.0
22,186 days,0.00148240713855371,0.0385020407063536,0.03777655280524911,4.12047269275426,1.2396636390965408,1.0
23,193 days,0.001028329161827221,0.032067571810588044,0.029683111978513838,inf,1.5760699182221414,1.0
24,200 days,0.0007240673195765708,0.02690849902124923,0.02480630416511749,inf,1.869291141361176,1.0
25,207 days,0.0013419132641927292,0.036632134311185435,0.03070076365814737,inf,2.0,1.0
26,214 days,0.0015589683158157366,0.03948377281638289,0.03351223185809587,inf,2.0,1.0
27,221 days,0.0017279431661466585,0.04156853577102107,0.03598628908451406,inf,2.0,1.0
28,228 days,0.0017806575506454595,0.04219783822241916,0.038026467241397396,inf,2.0,1.0
29,235 days,0.0017554260347330793,0.041897804652906094,0.03729151321066555,inf,2.0,1.0
30,242 days,0.000925664756479725,0.03042473921794113,0.02765546966468841,inf,2.0,1.0
31,249 days,0.0010559395359928518,0.0324952232796276,0.02898598059096158,inf,2.0,1.0
32,256 days,0.0008438565206728036,0.029049208606652326,0.02567914909442958,inf,2.0,1.0
33,263 days,0.0007900526578359196,0.028107875370364077,0.023567673499164145,inf,2.0,1.0
34,270 days,0.0008471168014954267,0.029105271025974433,0.025063952612619518,inf,2.0,1.0
35,277 days,0.0010987780702866722,0.03314782150136977,0.029315773896508867,inf,2.0,1.0
36,284 days,0.0006887466138077955,0.026243982430412413,0.02408737536377483,inf,2.0,1.0
37,291 days,0.0008457093128464473,0.029081081700075177,0.026679232318684548,inf,2.0,1.0
38,298 days,0.0010294508303084358,0.032085056183657146,0.03142985333940071,inf,2.0,1.0
39,305 days,0.0009751763183553318,0.03122781321763232,0.030023260304571302,inf,2.0,1.0
40,312 days,0.0006694441041136254,0.025873617916975303,0.023868581606767823,inf,2.0,1.0
41,319 days,0.0005380653091681051,0.02319623480584953,0.019669092889279427,inf,2.0,1.0
42,326 days,0.00040891388332744245,0.020221619206370257,0.017629465446081113,inf,2.0,1.0
43,333 days,0.0017167700282026662,0.041433923639967604,0.028722705762758663,inf,2.0,1.0
44,340 days,0.009196446498330204,0.09589810476922996,0.06437323545444858,inf,2.0,0.8
45,347 days,0.030341494732385368,0.17418810158097875,0.12754139733507636,inf,1.9954842303577593,0.6000000000000001
46,354 days,0.03919247269968594,0.1979708885156753,0.16859896075543793,inf,1.714829056698341,0.4
47,361 days,0.05021966583890827,0.2240974471940907,0.21054826868721263,175.15695515484202,1.3872064090502794,0.2
