,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.007617322534298284,0.08727727387068344,0.08025804167988433,0.10382262376329865,0.08693825953213416,1.0
1,39 days,0.0072702251211880405,0.08526561511645853,0.07862109519995486,0.10258689829231575,0.08447643743181647,1.0
2,46 days,0.007093767781787763,0.08422450820151912,0.0777589108382957,0.10130492345260815,0.08302351274185586,1.0
3,53 days,0.009102146714490457,0.0954051713194335,0.09407231039947059,0.10258689829231575,0.10015029556324313,1.0
4,60 days,0.01031479479006268,0.10156177819466672,0.10155205467129934,0.10258689829231575,0.10794309186375758,1.0
5,67 days,0.00998399067458191,0.09991992130992652,0.09988797392694433,0.10130492345260815,0.1064107042112569,1.0
6,74 days,0.008963636025443304,0.09467648084631845,0.09404542686745013,0.10103160963104009,0.1005389618290444,1.0
7,81 days,0.007610059826269897,0.08723565685125491,0.08544238922110421,0.09691041494008985,0.09169907049709251,1.0
8,88 days,0.007411159524238551,0.08608809165174096,0.08444638986215183,0.09691041494008985,0.0907323194717895,1.0
9,95 days,0.0056468351797152455,0.07514542687160175,0.07121936918805274,0.07578957196032163,0.07690301109215009,1.0
10,102 days,0.004245165359079948,0.06515493349762509,0.06125285607238973,0.060616021776472254,0.06656120821180578,1.0
11,109 days,0.004304317794456966,0.0656072998564715,0.061654065237951965,0.060616021776472254,0.06722201667223449,1.0
12,116 days,0.007343535065756679,0.08569442844057412,0.07739794332153822,0.07884309364148596,0.08398003639158257,1.0
13,123 days,0.009290351139335584,0.09638646761519785,0.08564819555667895,0.07884309364148596,0.09342969606851655,1.0
14,130 days,0.012610208885853121,0.11229518638772154,0.10555374363053471,0.136328234584639,0.1156713230395004,0.8
15,137 days,0.016187927905961748,0.12723178811115463,0.12472209969982773,0.13820862111223145,0.13757584993817396,0.6000000000000001
16,144 days,0.020222267515210484,0.1422050193038575,0.14187461173028168,0.1407216997393142,0.15762582367787248,0.4
17,151 days,0.019645919248268338,0.14016390137360024,0.13966389939071425,0.1407216997393142,0.15771642641970543,0.4
18,158 days,0.01907602356239596,0.1381159786642949,0.13752570083360927,0.14125874924123955,0.1578407464099017,0.4
19,165 days,0.01786828336760673,0.1336722984301786,0.1325201577051373,0.14125874924123955,0.1546182438052543,0.6000000000000001
20,172 days,0.017589031866641125,0.13262364746394636,0.13151368852337986,0.14125874924123955,0.15678052842396997,0.8
21,179 days,0.021492992202345823,0.14660488464695104,0.14197272982135434,0.14125874924123955,0.17464179908160166,0.8
22,186 days,0.026874303430572736,0.16393383857694768,0.1582327484895395,0.15708152126422417,0.20537938656934024,0.6000000000000001
23,193 days,0.04020267515733621,0.2005060476826976,0.19027007175330124,0.23915372761765644,0.2690533909024777,0.4
24,200 days,0.07807060891064167,0.2794111825082197,0.25831774770899396,0.2612034468678568,0.3955807676759212,0.2
25,207 days,0.1340488931445532,0.36612688120998876,0.34033559345613545,0.38080542720349775,0.5592712046507468,0.0
26,214 days,0.12657503211260474,0.35577384967504955,0.31556233738210254,0.38080542720349775,0.5744919733316911,0.2
27,221 days,0.12110314136770721,0.34799876633072596,0.2989368222823825,0.5533416219419415,0.8210817490750756,0.4
28,228 days,0.1059684077275937,0.32552789085974443,0.2584405765088162,0.661725122677766,1.1270089468062758,0.6000000000000001
29,235 days,0.06719965150262511,0.2592289557565379,0.1857230996685199,6.572479104014821,1.3740103867219726,0.8
30,242 days,0.008148010074244089,0.09026632857408176,0.08775345523957358,inf,1.5762258705837582,1.0
31,249 days,0.006671365827324291,0.08167842938820684,0.07454117736447985,inf,1.90667810439744,1.0
32,256 days,0.0036854610229541955,0.060707998014711335,0.052764749644410316,inf,2.0,1.0
33,263 days,0.0022202021277998698,0.047119020870555764,0.036104132523436125,inf,2.0,1.0
34,270 days,0.0008696236297392862,0.02948938164389491,0.02331670548234499,inf,2.0,1.0
35,277 days,0.0004894608045376891,0.022123761084808548,0.01919864270320319,inf,2.0,1.0
36,284 days,0.0005781943615671755,0.024045672408297827,0.02084403251850488,inf,2.0,1.0
37,291 days,0.001135219557278196,0.03369301941468286,0.028946576206764225,inf,2.0,1.0
38,298 days,0.002147030950653575,0.046336065334181914,0.042715128304527256,inf,2.0,1.0
39,305 days,0.005521162044811442,0.07430452237119516,0.06485674609855382,inf,2.0,1.0
40,312 days,0.017289244162304297,0.13148857046262347,0.10672561597885015,inf,2.0,0.8
41,319 days,0.017609846448781847,0.13270209662541826,0.11064680541557458,inf,1.6273396775715687,0.8
42,326 days,0.02815802925789855,0.16780354363927644,0.14693326581809488,inf,1.2971100330459777,0.6000000000000001
43,333 days,0.031822437934142335,0.17838844675074206,0.16328556259170035,0.2970402651480633,0.9368477148354594,0.4
44,340 days,0.031204252515738405,0.17664725448117896,0.16082042378220535,0.1807335756525205,0.5649297444321462,0.4
45,347 days,0.021237054456652874,0.14572938775913688,0.1320674725859958,0.1467270644398638,0.18767121243911405,0.6000000000000001
46,354 days,0.021940493940016167,0.14812323902756167,0.1375333399030529,0.13119929198216526,0.17781777764740858,0.6000000000000001
47,361 days,0.011696141526662117,0.10814870099387286,0.10374264238060353,0.10759042927197797,0.12325465549458284,0.8
