,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.012146405843717355,0.11021073379538562,0.10638103592037172,0.1164761350043196,0.11702498243951212,0.8
1,39 days,0.009916746432954567,0.09958286214482172,0.09774508815190526,0.10945647048218768,0.10747059438951942,1.0
2,46 days,0.010561391177727992,0.10276862934635253,0.10044393942294079,0.10945647048218768,0.10988047162469482,1.0
3,53 days,0.013139354866434326,0.11462702502653695,0.11297075685026933,0.11896943175754715,0.12159509999825072,1.0
4,60 days,0.01287790243913633,0.11348084613332916,0.11120287801383351,0.11896943175754715,0.12000312974768323,1.0
5,67 days,0.011685554264756173,0.1080997422048553,0.10548728155985812,0.10945647048218768,0.11445451498555638,1.0
6,74 days,0.009428809786016318,0.0971020586085399,0.08729104791585214,0.094104369346122,0.09505771443674575,1.0
7,81 days,0.0062862997669217244,0.0792861890049063,0.06494005459826753,0.07459821669493989,0.07125953165584495,1.0
8,88 days,0.005313185164196947,0.07289159872164244,0.061030075988252094,0.07459821669493989,0.0671739424106267,1.0
9,95 days,0.007023298642815546,0.0838051230105627,0.07026313422661788,0.094104369346122,0.08053753330790885,1.0
10,102 days,0.0054037459944056504,0.07351017612824534,0.05272420042294821,0.01863439676462195,0.061335669905784033,1.0
11,109 days,0.006905012960338721,0.08309640762595409,0.06706008877745949,0.09558773046598591,0.07765084862645032,1.0
12,116 days,0.012624504226012615,0.112358819084274,0.09812009353644312,0.11683473051102361,0.11190603497513656,0.8
13,123 days,0.016183765313754393,0.1272154287567133,0.11036912008385658,0.15552828724406223,0.12689886415385615,0.6000000000000001
14,130 days,0.01853917214672143,0.1361586286164833,0.11895564636157524,0.17022293167360084,0.13524931110402347,0.4
15,137 days,0.027011640462273653,0.16435218423335193,0.15965791994832987,0.17185759993314753,0.18278847094827919,0.2
16,144 days,0.034828507006409486,0.18662397221795887,0.18531389221054173,0.18103064991262777,0.2138254928282803,0.0
17,151 days,0.032935860566096056,0.18148239740012267,0.179184814504554,0.18103064991262777,0.21120909366177565,0.2
18,158 days,0.0276330563841933,0.16623193551238372,0.1573149495388279,0.17022293167360084,0.18923733977754606,0.4
19,165 days,0.02372941962738362,0.1540435640570018,0.14061452875155847,0.1608615052402968,0.17289648052629675,0.6000000000000001
20,172 days,0.024243598125163517,0.1557035584858725,0.1418451461266976,0.1608615052402968,0.18115604294408472,0.6000000000000001
21,179 days,0.02532507374109192,0.1591385363169208,0.1442748359900747,0.1608615052402968,0.19408606250172716,0.6000000000000001
22,186 days,0.022232645859156665,0.1491061563422405,0.12891762152619723,0.14795770141415318,0.18665297632037417,0.6000000000000001
23,193 days,0.02793371436176784,0.16713382171711338,0.15190184932544107,0.24694812680739162,0.3109798129951044,0.4
24,200 days,0.028074013406539797,0.1675530167037878,0.15280831992642557,0.27602610715968023,0.36016549949343796,0.4
25,207 days,0.019122709515075872,0.13828488534570896,0.1131098186614857,0.27602610715968023,0.3150124092472122,0.6000000000000001
26,214 days,0.013537917281189618,0.11635255597188064,0.09859118601756725,0.4246579855079176,0.527793638639086,0.8
27,221 days,0.016587069269384958,0.12879079652438274,0.11379237958787179,1.1027544936018905,0.8994157713026553,0.8
28,228 days,0.0113200684734929,0.10639581041325312,0.0937449057324417,4.494844449979192,1.1572511887195533,1.0
29,235 days,0.01117323442794189,0.10570352136017934,0.09279487569431034,968.073036736113,1.4871946301375047,1.0
30,242 days,0.01213060914796037,0.11013904461161977,0.10419411424107633,inf,1.8760006993779788,1.0
31,249 days,0.008241846285632116,0.09078461480687196,0.0869916287687199,inf,1.9991753198267508,1.0
32,256 days,0.004630260332403508,0.06804601628606563,0.06586813928155771,inf,2.0,1.0
33,263 days,0.003380175019858072,0.05813927261204832,0.05336220409591763,inf,2.0,1.0
34,270 days,0.002331493743293252,0.048285543833462743,0.042213654400969185,inf,2.0,1.0
35,277 days,0.0015503370830652293,0.03937432009654553,0.03463680192032018,inf,2.0,1.0
36,284 days,0.0009097703058531503,0.03016239887431287,0.028879334834014933,inf,2.0,1.0
37,291 days,0.001893077655009051,0.04350951223593585,0.03781541824712453,inf,2.0,1.0
38,298 days,0.003571227912296654,0.05975975160839153,0.052771109030876985,inf,2.0,1.0
39,305 days,0.006557931909382133,0.08098105895443782,0.07367811170400967,inf,2.0,1.0
40,312 days,0.01455010548214501,0.12062381805491405,0.10766555839875115,inf,2.0,0.8
41,319 days,0.016268880859267865,0.12754952316362403,0.1197105626299694,inf,1.6668725584118396,0.8
42,326 days,0.025434613178671527,0.1594823287347897,0.1497637172401286,inf,1.337168799754707,0.6000000000000001
43,333 days,0.034894734688274975,0.18680132410739217,0.17841127375159918,0.4014833367856447,0.995968937551814,0.4
44,340 days,0.03717435300226366,0.1928065170119093,0.18635161233252928,0.2989445169374347,0.6334754866612679,0.2
45,347 days,0.033529105472186,0.18310954500567686,0.17604071518775072,0.25632136066667827,0.2666000013898096,0.4
46,354 days,0.036199771410151314,0.1902623751826706,0.1865041384840242,0.17145594362323696,0.23338851699525245,0.2
47,361 days,0.028642404286815387,0.1692406697186447,0.16466566115879996,0.1552413902657129,0.18972134441809585,0.4
