,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.08245361828106385,0.28714738076650437,0.25589674752556285,0.35346893506355637,0.4266772832356934,0.4
1,39 days,0.08450672505509085,0.2907004042912408,0.264769002231176,0.35346893506355637,0.4213569807020878,0.4
2,46 days,0.08924346072733222,0.298736440240109,0.2778585946702261,0.35346893506355637,0.43005632093187196,0.2
3,53 days,0.047964861586131995,0.21900881622923765,0.20409805008271953,0.2866259457250587,0.32720125583849036,0.4
4,60 days,0.05585243290205963,0.2363311932480764,0.2175895416246949,0.2866259457250587,0.33729061136089206,0.4
5,67 days,0.04153779078406723,0.20380822059982573,0.18783741705048865,0.24265605477236055,0.2975924290290981,0.4
6,74 days,0.06412528246921287,0.25322970297580194,0.23291026096632378,0.2866259457250587,0.35539190772486406,0.2
7,81 days,0.10281232544976159,0.3206436112723308,0.28797115833209636,0.38696449895383866,0.4195757458597338,0.2
8,88 days,0.12370869872193595,0.35172247400747075,0.33629337882215254,0.4123808844889303,0.4914532782850839,0.0
9,95 days,0.13932760961109172,0.37326613777717865,0.3569679856568709,0.4166676973033443,0.526299182473989,0.0
10,102 days,0.18548022636660727,0.4306741533533296,0.4253933136366596,0.49285584538431276,0.6219998054454052,0.0
11,109 days,0.22145817726182693,0.4705934309590678,0.4644287379579026,0.493688964307624,0.6826369493853696,0.0
12,116 days,0.1809845309324772,0.4254227672944611,0.4049594845299349,0.49285584538431276,0.6341486526814105,0.0
13,123 days,0.1786974435205836,0.42272620396727667,0.4014764372966245,0.5019667647446874,0.6629187114629072,0.0
14,130 days,0.1648788417991115,0.4060527574085805,0.38350656442843045,0.547918012696551,0.6927470464201732,0.0
15,137 days,0.12066666130642473,0.34737107148757324,0.32048082540675105,0.5083754644091674,0.6781419649445566,0.0
16,144 days,0.08255886089484898,0.28733057772337595,0.2784520659592868,0.5083754644091674,0.7362502950157719,0.0
17,151 days,0.07578240199593159,0.2752860366889893,0.25077739752477446,0.5083754644091674,0.7423116781875045,0.2
18,158 days,0.055352921187809295,0.23527201530953334,0.18718832340896102,0.5083754644091674,0.6150078071743362,0.4
19,165 days,0.03238165122353641,0.1799490239582766,0.12352043800747124,0.5083754644091674,0.7629961518398893,0.6000000000000001
20,172 days,0.024920689908323614,0.15786288325101508,0.08565173071872212,0.7151580424909267,1.0266681544708196,0.8
21,179 days,0.0007748608813867859,0.02783632305795408,0.02077520298158286,6.754833886594408,1.2040234818521245,1.0
22,186 days,0.0003432536514289443,0.018527105856796528,0.015329824119886976,inf,1.5153515844191374,1.0
23,193 days,0.00042878479590728125,0.02070711944977575,0.01914635287273475,inf,1.9086219098657056,1.0
24,200 days,0.0004210151970021952,0.020518654853625157,0.01895923905843308,inf,2.0,1.0
25,207 days,0.0004950137813396911,0.02224890517170881,0.022114328305120626,inf,2.0,1.0
26,214 days,0.0005489214363878548,0.02342907246110812,0.023133484130941566,inf,2.0,1.0
27,221 days,0.0007700232892420615,0.027749293490863178,0.02637375323640229,inf,2.0,1.0
28,228 days,0.0008409074127588504,0.028998403624317846,0.027827435514342233,inf,2.0,1.0
29,235 days,0.0007724968182679801,0.027793826981327707,0.025439458818980284,inf,2.0,1.0
30,242 days,0.0006960615203977424,0.02638297785311094,0.021836255041215478,inf,2.0,1.0
31,249 days,0.0005600041964830662,0.02366440779912031,0.01857044778566498,inf,2.0,1.0
32,256 days,0.0002522119116737327,0.01588118105411977,0.013247261012269678,inf,2.0,1.0
33,263 days,9.654667623911669e-05,0.009825816822998315,0.008154896394862873,inf,2.0,1.0
34,270 days,8.947125429484936e-05,0.009458924584478372,0.007657336822400216,inf,2.0,1.0
35,277 days,9.296000934316237e-05,0.00964157711907976,0.008232032802125496,inf,2.0,1.0
36,284 days,6.155184146492678e-05,0.00784549816550401,0.0060669672096863685,inf,2.0,1.0
37,291 days,1.6123017724367768e-05,0.004015347771285542,0.003753816190510029,inf,2.0,1.0
38,298 days,4.220078815425026e-05,0.006496213370437448,0.0055833166048834615,inf,2.0,1.0
39,305 days,7.871676083300792e-05,0.008872246662092298,0.00735620420518338,inf,2.0,1.0
40,312 days,8.59790199586257e-05,0.009272487258477399,0.007962601428711589,inf,2.0,1.0
41,319 days,8.73968226547568e-05,0.00934862677909204,0.008241828188589907,inf,2.0,1.0
42,326 days,8.735664684227811e-05,0.009346477777338269,0.008236836570213575,inf,2.0,1.0
43,333 days,0.00014026158057166315,0.011843208204353377,0.009903839555000366,inf,2.0,1.0
44,340 days,0.0008162780561957912,0.028570580256546966,0.018952830421182454,inf,2.0,1.0
45,347 days,0.004297317825695828,0.06555393066548967,0.04388042510856292,inf,2.0,1.0
46,354 days,0.014544445280069415,0.12060035356527532,0.0885082607772132,inf,2.0,0.8
47,361 days,0.03452085022153022,0.18579787464212344,0.1509192187137629,inf,2.0,0.6000000000000001
