,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.05382859460796306,0.23200990196102206,0.19597672528667429,0.3080219110849187,0.3322171907437108,0.4
1,39 days,0.06493632640854226,0.2548260708964886,0.24253846391992495,0.30999391809222904,0.4041823039515337,0.2
2,46 days,0.08485733441744414,0.2913028225360066,0.2854538372706273,0.36136670354818573,0.45119698384042883,0.0
3,53 days,0.05913006691792769,0.24316674714674227,0.22871870646916354,0.30999391809222904,0.36325744393515086,0.2
4,60 days,0.06410445367605744,0.2531885733520718,0.23749749981983603,0.30999391809222904,0.36921003399903274,0.2
5,67 days,0.06483479114297139,0.25462676831584574,0.23911119113558682,0.31788208866717305,0.37198158933365894,0.2
6,74 days,0.08377532633034833,0.2894396764964132,0.2694984874671444,0.3811053043345395,0.41220299319014014,0.2
7,81 days,0.11679985353117014,0.34175993552663564,0.30750914010089136,0.3811053043345395,0.4587624434131616,0.2
8,88 days,0.14514188939973996,0.3809749196466087,0.36770998706851643,0.4423447986167506,0.5500835708527515,0.0
9,95 days,0.15898081187060736,0.39872397955303285,0.38725010451657244,0.467997992935374,0.5860996558462843,0.0
10,102 days,0.20023907031837485,0.4474808044133009,0.4430357937527641,0.49107966054110275,0.6640115549472838,0.0
11,109 days,0.22653628210659427,0.4759582776952138,0.4716692614363958,0.5308790570368261,0.7098065055285148,0.0
12,116 days,0.18009950337769648,0.4243813183655667,0.40965455377721466,0.49107966054110275,0.6559037023184218,0.0
13,123 days,0.1770236223552532,0.42074175256949864,0.4055606164105118,0.5286209048042221,0.6774187773038476,0.0
14,130 days,0.1740592201971989,0.41720405103162517,0.4017943866597971,0.5546595668746253,0.7147984247525063,0.0
15,137 days,0.12634242713684657,0.3554467993059532,0.3287586220413915,0.5286209048042221,0.6651768548033833,0.2
16,144 days,0.11465802419341549,0.33861190793209783,0.3171132138275802,0.5286209048042221,0.7438520842117466,0.2
17,151 days,0.105277872767052,0.32446551861030165,0.28022616003602385,0.5286209048042221,0.7076217513882613,0.4
18,158 days,0.07861133378041624,0.28037712777688595,0.21000405354129256,0.4123243203331728,0.6113133482433464,0.6000000000000001
19,165 days,0.04919601905466496,0.221801756202842,0.1375723703256275,0.4123243203331728,0.7456345222793218,0.8
20,172 days,0.04506019538830066,0.21227386883057617,0.11053804450950547,0.7462046465888132,1.0417532760994472,0.8
21,179 days,0.000657573486580741,0.02564319571700729,0.023238489083134924,6.153383794346587,1.203690614738126,1.0
22,186 days,0.00073669243896186,0.02714207875167007,0.02429166083697742,inf,1.549280427887461,1.0
23,193 days,0.00081946799821704,0.028626351465337666,0.026403570106453902,inf,1.901881228680207,1.0
24,200 days,0.0007885870755974149,0.02808179259943024,0.025633520135775634,inf,2.0,1.0
25,207 days,0.0008319529501652154,0.028843594612412916,0.02729407427217266,inf,2.0,1.0
26,214 days,0.0007495926508726494,0.027378689721618332,0.02604381582442971,inf,2.0,1.0
27,221 days,0.000866846545511248,0.02944225781952274,0.027389708785401413,inf,2.0,1.0
28,228 days,0.0009324447823101586,0.03053595884052372,0.028568510975635446,inf,2.0,1.0
29,235 days,0.0008753223785642394,0.029585847605979442,0.026253923917370164,inf,2.0,1.0
30,242 days,0.0008161176726393807,0.02856777332308874,0.022883508669518576,inf,2.0,1.0
31,249 days,0.0006744326403314016,0.025969840976243993,0.019606768048559403,inf,2.0,1.0
32,256 days,0.0002958507184789805,0.017200311580869123,0.013737582412705722,inf,2.0,1.0
33,263 days,0.00011274121592824471,0.010617966656956723,0.008702535607760062,inf,2.0,1.0
34,270 days,0.00011823576567576214,0.010873627070842651,0.009070195123998826,inf,2.0,1.0
35,277 days,0.0001285213235171252,0.01133672454975974,0.010434842132232024,inf,2.0,1.0
36,284 days,9.352707903100495e-05,0.009670939924898973,0.008211371197985894,inf,2.0,1.0
37,291 days,3.247061505606666e-05,0.005698299312607812,0.005081799359857459,inf,2.0,1.0
38,298 days,4.339726873765243e-05,0.006587660338667472,0.0058167770965163925,inf,2.0,1.0
39,305 days,9.663156736742289e-05,0.009830135673907196,0.007807750042589786,inf,2.0,1.0
40,312 days,0.00012522310758809752,0.011190313113943574,0.009161068617647327,inf,2.0,1.0
41,319 days,0.00013696301391993667,0.011703119837032204,0.010299427776098226,inf,2.0,1.0
42,326 days,0.00013644132854019405,0.011680810268992217,0.010124891997384658,inf,2.0,1.0
43,333 days,0.00016591880692390034,0.012880947438907603,0.011325796762373126,inf,2.0,1.0
44,340 days,0.0006184262702978973,0.024868177864449524,0.01785285160379485,inf,2.0,1.0
45,347 days,0.0036086762321603295,0.060072258424004085,0.039677118346438875,inf,2.0,1.0
46,354 days,0.013422729467926785,0.1158565037791439,0.08240915639809612,inf,2.0,0.8
47,361 days,0.03334971986574086,0.18261905668834472,0.14532788953619777,inf,2.0,0.6000000000000001
