,horizon,mse,rmse,mae,mdape,smape,coverage
0,32 days,0.0013100451084176882,0.036194545285411286,0.03178908200847112,0.03240321930680941,0.0328748726272112,1.0
1,39 days,0.0015904001487854346,0.039879821323389034,0.035263614925885235,0.04939045452137448,0.0364157121063534,1.0
2,46 days,0.0016541900537787953,0.04067173531801656,0.03586557305487161,0.04939045452137448,0.03703783128440375,1.0
3,53 days,0.0021345007763708384,0.046200657748248976,0.04449187387804845,0.049518839249953595,0.045874747747613666,1.0
4,60 days,0.0024307162978133745,0.04930229505624839,0.049175068735130806,0.049518839249953595,0.05063820013949847,1.0
5,67 days,0.002200989302559158,0.046914702413626774,0.04649921032558271,0.04939045452137448,0.04792432083807401,1.0
6,74 days,0.0019109459707567413,0.043714368012779746,0.0428697672075266,0.043601190912208834,0.044253301620816296,1.0
7,81 days,0.0013585285173583189,0.03685822184205742,0.03484990008477027,0.03684145751293353,0.036073431152641555,1.0
8,88 days,0.0012679076940895126,0.03560769150183023,0.03388575200802018,0.03684145751293353,0.03513004949833942,1.0
9,95 days,0.0009076858361762627,0.030127824949309944,0.02697031343262952,0.031773039204562925,0.028067043718130017,1.0
10,102 days,0.0021269185308844347,0.04611852698086133,0.036938444742539975,0.031773039204562925,0.03951039053584255,1.0
11,109 days,0.0019820092545223987,0.044519762516464514,0.03378988515667258,0.01591354027088085,0.03626143566209742,1.0
12,116 days,0.0029267191979957647,0.05409916078827623,0.044955420372607295,0.04502227282661779,0.047843378438638645,1.0
13,123 days,0.003328672651673708,0.05769465011310588,0.04868372424006382,0.06434792481478896,0.05192897077492531,1.0
14,130 days,0.004231460243192967,0.0650496751966754,0.06048329742565216,0.06995253676740085,0.064574973742529,1.0
15,137 days,0.005356135554238832,0.07318562395879967,0.06610001016086807,0.06995253676740085,0.07074902944842212,1.0
16,144 days,0.013294200751814124,0.11530048027573052,0.1030316524896793,0.07053092055394647,0.11295179480041545,0.8
17,151 days,0.0209596542153754,0.14477449435372033,0.13058501288627047,0.11819597210718542,0.14932417082265814,0.6000000000000001
18,158 days,0.03148667329370169,0.17744484577947506,0.16553496871722131,0.20390605771177941,0.1950352174459628,0.4
19,165 days,0.030585005780712764,0.17488569347065747,0.15379822779929642,0.20390605771177941,0.18316386141564567,0.4
20,172 days,0.028403164234752677,0.16853238334145956,0.14018220452735367,0.20390605771177941,0.17094568382850434,0.4
21,179 days,0.027501815155431215,0.16583671232700922,0.1378590305939208,0.21820119374365093,0.17451915734373108,0.4
22,186 days,0.030215886984385307,0.1738271756210326,0.1439393194292522,0.21820119374365093,0.19069446511796578,0.4
23,193 days,0.026119039564521218,0.16161385944442147,0.13436956337880604,0.21820119374365093,0.19835470688567186,0.4
24,200 days,0.028631850472934116,0.16920948694719842,0.15504667498520097,0.22856885877890235,0.24734073244090374,0.4
25,207 days,0.028372016113711963,0.1684399480934139,0.15157247021271006,0.22856885877890235,0.25040026909947793,0.4
26,214 days,0.028661007185650456,0.16929562069247525,0.15233263951333365,0.2857217693984457,0.4018547765576962,0.4
27,221 days,0.026198815239137606,0.16186048078248627,0.14685352950240757,0.2857217693984457,0.6955878961116453,0.4
28,228 days,0.02345612047958078,0.1531539110815678,0.13878465607322304,2.00879894427177,1.0214319301902124,0.6000000000000001
29,235 days,0.02456646516858177,0.15673692981739107,0.1432735084784088,18.461735960245235,1.3698196821134752,0.6000000000000001
30,242 days,0.029425862684801397,0.1715396825367279,0.16923099582630824,104.84813724749094,1.753854352563663,0.6000000000000001
31,249 days,0.03004495321698719,0.17333480094022433,0.17081084516943346,inf,1.9534153709936672,0.6000000000000001
32,256 days,0.026081038346505013,0.16149624870722235,0.16004362119884938,inf,1.9925127379792598,0.8
33,263 days,0.024796574846363086,0.1574692822310532,0.1553952274209767,inf,2.0,0.8
34,270 days,0.023719248824517356,0.15401054777033082,0.1510527061930153,inf,1.9950144131512682,0.8
35,277 days,0.020445138415721327,0.14298649731957674,0.13806235291377555,inf,1.9573837437982884,0.8
36,284 days,0.013683303601988741,0.11697565388570709,0.113762547568343,158.462554213352,1.8489722916496696,1.0
37,291 days,0.009027207819512908,0.09501161939211913,0.08986082378904584,19.259255117040784,1.5265068864874696,1.0
38,298 days,0.0064076822158336795,0.08004799944929092,0.07535079110756951,5.379294199502973,1.2245489330710817,1.0
39,305 days,0.00545727628268176,0.07387338006807162,0.07066810355107846,0.6493754873773174,0.8933077794436171,1.0
40,312 days,0.02449680375452972,0.1565145480603312,0.11644113985114384,0.48088628173183595,0.6465993632886716,0.8
41,319 days,0.034923061325623735,0.18687712895275263,0.14904491058806463,0.4485929076319497,0.42242712023329093,0.6000000000000001
42,326 days,0.03575703380155146,0.18909530348887954,0.1564650177073477,0.28846364195799024,0.36332782884758685,0.6000000000000001
43,333 days,0.035640127516435104,0.1887859303985207,0.15532185964932643,0.2750191315009627,0.27594248388653064,0.6000000000000001
44,340 days,0.03413790348582396,0.18476445406469277,0.1420500679080569,0.08811543050982855,0.2172977347173679,0.6000000000000001
45,347 days,0.013350663946821818,0.11554507322608705,0.07826369023195164,0.05190078028898546,0.10238107766524598,0.8
46,354 days,0.002073101611878191,0.04553132561081646,0.038672257467807336,0.044664393625989667,0.044101699232248215,1.0
47,361 days,0.0011501172519305905,0.03391337865696355,0.02995887437904512,0.032330178791439165,0.03223867298702247,1.0
